name,team,mlbam,batter_hand,throws_hand,source
CJ Abrams,Washington Nationals,682928,L,R,MLB_STATS_API
Colby Thomas,Athletics,687515,R,R,MLB_STATS_API
Cole Young,Seattle Mariners,702284,L,R,MLB_STATS_API
Colson Montgomery,Chicago White Sox,695657,L,R,MLB_STATS_API
Colt Keith,Detroit Tigers,690993,L,R,MLB_STATS_API
Connor Norby,Miami Marlins,681393,R,R,MLB_STATS_API
Connor Wong,Boston Red Sox,657136,R,R,MLB_STATS_API
Corbin Carroll,Arizona Diamondbacks,682998,L,L,MLB_STATS_API
Corey Seager,Texas Rangers,608369,L,R,MLB_STATS_API
Dalton Rushing,Los Angeles Dodgers,687221,L,R,MLB_STATS_API
Danny Jansen,Texas Rangers,643376,R,R,MLB_STATS_API
Dansby Swanson,Chicago Cubs,621020,R,R,MLB_STATS_API
Darell Hernaiz,Athletics,687231,R,R,MLB_STATS_API
Daulton Varsho,Toronto Blue Jays,662139,L,R,MLB_STATS_API
David Hamilton,Milwaukee Brewers,666152,L,R,MLB_STATS_API
Daylen Lile,Washington Nationals,695734,L,R,MLB_STATS_API
Dillon Dingler,Detroit Tigers,693307,R,R,MLB_STATS_API
Dominic Canzone,Seattle Mariners,686527,L,R,MLB_STATS_API
Drake Baldwin,Atlanta Braves,686948,L,R,MLB_STATS_API
Edmundo Sosa,Philadelphia Phillies,624641,R,R,MLB_STATS_API
Edouard Julien,Colorado Rockies,666397,L,R,MLB_STATS_API
Elly De La Cruz,Cincinnati Reds,682829,S,R,MLB_STATS_API
Ernie Clement,Toronto Blue Jays,676391,R,R,MLB_STATS_API
Evan Carter,Texas Rangers,694497,L,R,MLB_STATS_API
Ezequiel Duran,Texas Rangers,677649,R,R,MLB_STATS_API
Ezequiel Tovar,Colorado Rockies,678662,R,R,MLB_STATS_API
Fernando Tatis Jr.,San Diego Padres,665487,R,R,MLB_STATS_API
Freddie Freeman,Los Angeles Dodgers,518692,L,R,MLB_STATS_API
Freddy Fermin,San Diego Padres,666023,R,R,MLB_STATS_API
Gabriel Moreno,Arizona Diamondbacks,672515,R,R,MLB_STATS_API
Garrett Mitchell,Milwaukee Brewers,669003,L,R,MLB_STATS_API
Gavin Sheets,San Diego Padres,657757,L,L,MLB_STATS_API
George Springer,Toronto Blue Jays,543807,R,R,MLB_STATS_API
Geraldo Perdomo,Arizona Diamondbacks,672695,S,R,MLB_STATS_API
Ha-Seong Kim,Atlanta Braves,673490,R,R,MLB_STATS_API
Harrison Bader,San Francisco Giants,664056,R,R,MLB_STATS_API
Heliot Ramos,San Francisco Giants,671218,R,R,MLB_STATS_API
Henry Davis,Pittsburgh Pirates,680779,R,R,MLB_STATS_API
Heriberto Hernández,Miami Marlins,681715,R,R,MLB_STATS_API
Hunter Goodman,Colorado Rockies,696100,R,R,MLB_STATS_API
Ian Happ,Chicago Cubs,664023,S,R,MLB_STATS_API
Isaac Collins,Kansas City Royals,686555,S,R,MLB_STATS_API
Isaac Paredes,Houston Astros,670623,R,R,MLB_STATS_API
Ivan Herrera,St. Louis Cardinals,671056,R,R,MLB_STATS_API
J.P. Crawford,Seattle Mariners,641487,L,R,MLB_STATS_API
J.T. Realmuto,Philadelphia Phillies,592663,R,R,MLB_STATS_API
Jackson Chourio,Milwaukee Brewers,694192,R,R,MLB_STATS_API
Jackson Merrill,San Diego Padres,701538,L,R,MLB_STATS_API
Jacob Young,Washington Nationals,696285,R,R,MLB_STATS_API
Jake Bauers,Milwaukee Brewers,641343,L,L,MLB_STATS_API
Jake Burger,Texas Rangers,669394,R,R,MLB_STATS_API
Jake Fraley,Tampa Bay Rays,641584,L,L,MLB_STATS_API
Jake McCarthy,Colorado Rockies,664983,L,L,MLB_STATS_API
Jakob Marsee,Miami Marlins,805300,L,L,MLB_STATS_API
James McCann,Arizona Diamondbacks,543510,R,R,MLB_STATS_API
James Wood,Washington Nationals,695578,L,R,MLB_STATS_API
Jared Triolo,Pittsburgh Pirates,669707,R,R,MLB_STATS_API
Jarren Duran,Boston Red Sox,680776,L,R,MLB_STATS_API
Jeff McNeil,Athletics,643446,L,R,MLB_STATS_API
Jesus Rodriguez,San Francisco Giants,683679,R,R,MLB_STATS_API
Jesús Sánchez,Toronto Blue Jays,660821,L,R,MLB_STATS_API
JJ Bleday,Cincinnati Reds,668709,L,L,MLB_STATS_API
Joc Pederson,Texas Rangers,592626,L,L,MLB_STATS_API
Joe Mack,Miami Marlins,691788,L,R,MLB_STATS_API
Joey Wiemer,Washington Nationals,686894,R,R,MLB_STATS_API
Jonathan Aranda,Tampa Bay Rays,666018,L,R,MLB_STATS_API
