rank,player,team,game,pitcher,odds,consensus_score,composite_sim_score,correlation_score,matchup_score,pitcher_splits_score,per_pitch_score,weather_environment_score,market_score,estimated_plate_appearances,raw_hr_probability,adjusted_hr_probability,no_hr_probability,two_plus_hr_probability,market_implied_probability,model_fair_odds,ev_percent,edge_vs_market,book_tax_estimate,probability_tier,value_label,betting_tier,consensus_decision,consensus_confidence
27,Teoscar Hernández,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,440,59.19,58.36,46.38,54.10,57.50,70.60,51.10,56.00,4.05,8.35%,10.39%,89.61%,0.453%,18.52%,863,-43.91%,-8.13%,8.13%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
28,Pete Crow-Armstrong,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,550,63.03,61.74,51.72,60.80,69.10,66.50,47.20,52.00,4.05,9.39%,10.35%,89.65%,0.450%,15.38%,866,-32.73%,-5.04%,5.04%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,LEANS_PLAYABLE,LOW_MEDIUM
29,Freddie Freeman,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,520,60.83,60.21,47.33,55.30,59.40,75.40,51.10,56.00,4.05,8.74%,9.92%,90.08%,0.414%,16.13%,908,-38.48%,-6.21%,6.21%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
30,Josh Jung,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,550,61.10,60.51,50.95,57.70,62.80,69.50,50.30,56.00,4.05,8.87%,9.91%,90.09%,0.412%,15.38%,909,-35.59%,-5.48%,5.48%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
31,Miguel Vargas,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Seth Lugo,550,59.25,58.67,46.80,55.70,60.50,70.40,48.60,52.00,4.05,8.09%,9.25%,90.75%,0.360%,15.38%,981,-39.85%,-6.13%,6.13%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
32,Austin Riley,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,441,55.91,55.52,43.21,47.90,51.90,75.80,47.20,52.00,4.05,6.81%,9.14%,90.86%,0.351%,18.48%,994,-50.53%,-9.34%,9.34%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
33,Mookie Betts,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,390,53.85,53.43,45.46,51.30,51.10,58.70,51.10,59.00,3.93,6.32%,9.13%,90.87%,0.350%,20.41%,995,-55.24%,-11.27%,11.27%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
34,Michael Harris II,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,590,59.71,59.44,44.45,52.50,60.10,79.10,47.20,52.00,4.05,8.01%,9.05%,90.95%,0.344%,14.49%,1005,-37.57%,-5.44%,5.44%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
35,Dalton Rushing,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,520,58.50,57.62,46.77,54.10,56.10,68.70,51.10,56.00,4.05,7.65%,9.00%,91.00%,0.341%,16.13%,1011,-44.17%,-7.12%,7.12%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
36,Alex Bregman,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,576,57.58,58.04,51.20,58.80,64.30,61.30,47.20,52.00,4.05,7.82%,8.93%,91.07%,0.335%,14.79%,1019,-39.61%,-5.86%,5.86%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
37,Carson Kelly,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,680,58.97,58.68,51.21,59.10,67.00,60.80,47.20,49.00,4.05,8.09%,8.85%,91.15%,0.329%,12.82%,1030,-31.00%,-3.97%,3.97%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
38,Vladimir Guerrero Jr.,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,544,58.49,58.82,50.23,58.80,62.80,65.10,45.70,56.00,4.05,7.35%,8.66%,91.34%,0.315%,15.53%,1055,-44.24%,-6.87%,6.87%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
39,Junior Caminero,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,440,56.41,55.67,43.23,51.60,51.30,71.70,45.70,56.00,4.05,6.07%,8.56%,91.44%,0.308%,18.52%,1069,-53.79%,-9.96%,9.96%,LEAN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
40,Andrew Benintendi,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Seth Lugo,650,57.48,57.01,46.13,53.40,57.90,70.20,48.60,49.00,4.05,7.41%,8.35%,91.65%,0.293%,13.33%,1097,-37.34%,-4.98%,4.98%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
41,George Springer,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,503,57.05,57.22,49.62,58.30,59.60,62.20,45.70,56.00,4.05,6.69%,8.27%,91.73%,0.287%,16.58%,1109,-50.12%,-8.31%,8.31%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
42,Daulton Varsho,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,520,57.01,57.41,49.87,55.70,59.60,65.60,45.70,56.00,4.05,6.76%,8.26%,91.74%,0.287%,16.13%,1110,-48.78%,-7.87%,7.87%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
43,Kyle Tucker,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,533,56.39,55.50,46.07,50.70,52.20,67.20,51.10,56.00,4.05,6.80%,8.24%,91.76%,0.285%,15.80%,1114,-47.85%,-7.56%,7.56%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
44,Casey Schmitt,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,550,56.77,56.14,43.10,47.60,52.20,74.50,51.10,56.00,4.05,6.66%,8.05%,91.95%,0.272%,15.38%,1142,-47.65%,-7.33%,7.33%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
45,Danny Jansen,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,620,55.62,55.77,49.42,54.50,57.70,61.20,50.30,53.00,4.05,6.91%,8.02%,91.98%,0.270%,13.89%,1146,-42.23%,-5.86%,5.86%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
46,Drake Baldwin,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,525,56.19,55.64,43.56,49.80,53.90,71.90,47.20,52.00,4.05,6.46%,7.98%,92.02%,0.268%,16.00%,1153,-50.11%,-8.02%,8.02%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
47,Heliot Ramos,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,575,56.38,55.81,42.93,46.80,51.10,75.20,51.10,56.00,4.05,6.52%,7.85%,92.15%,0.259%,14.81%,1174,-47.01%,-6.96%,6.96%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
48,Jesús Sánchez,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,690,56.47,56.90,49.87,56.10,63.00,60.80,45.70,53.00,4.05,6.56%,7.54%,92.46%,0.239%,12.66%,1227,-40.47%,-5.12%,5.12%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
49,Vinnie Pasquantino,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,680,54.67,55.05,48.49,54.00,57.00,62.80,48.60,49.00,3.93,6.45%,7.47%,92.53%,0.234%,12.82%,1239,-41.74%,-5.35%,5.35%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
50,Maikel Garcia,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,725,54.98,55.49,48.61,52.00,59.20,64.20,48.60,49.00,3.93,6.63%,7.29%,92.71%,0.223%,12.12%,1272,-39.88%,-4.83%,4.83%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
51,Carter Jensen,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,800,55.96,56.41,48.48,54.90,59.50,65.20,48.60,49.00,4.05,6.66%,7.20%,92.80%,0.217%,11.11%,1290,-35.24%,-3.92%,3.92%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
52,Isaac Collins,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,850,55.38,55.86,48.31,52.90,59.70,64.50,48.60,49.00,4.05,6.44%,6.93%,93.07%,0.202%,10.53%,1342,-34.14%,-3.59%,3.59%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
53,Lane Thomas,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,680,52.05,52.42,47.85,49.60,52.20,61.00,48.60,49.00,3.93,5.74%,6.88%,93.12%,0.199%,12.82%,1354,-46.37%,-5.94%,5.94%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
54,Rafael Devers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,525,49.26,50.97,41.82,43.30,46.00,68.00,51.10,56.00,3.93,5.10%,6.84%,93.16%,0.197%,16.00%,1362,-57.24%,-9.16%,9.16%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
55,Nolan Arenado,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,840,54.69,54.93,49.80,52.00,56.70,60.90,50.30,53.00,3.93,5.90%,6.47%,93.53%,0.176%,10.64%,1445,-39.17%,-4.17%,4.17%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
56,James McCann,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,950,53.87,54.32,49.15,51.80,57.90,60.30,50.30,48.00,3.93,5.66%,6.12%,93.88%,0.158%,9.52%,1533,-35.70%,-3.40%,3.40%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
57,Ozzie Albies,Atlanta Braves,Chicago Cubs @ Atlanta Braves,Shota Imanaga,518,39.27,44.62,41.62,38.40,39.60,62.70,47.20,52.00,3.93,4.02%,5.96%,94.04%,0.149%,16.18%,1577,-63.15%,-10.22%,10.22%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
58,Lourdes Gurriel Jr.,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,890,52.55,52.97,49.30,50.70,54.80,58.80,50.30,48.00,3.93,5.34%,5.91%,94.09%,0.147%,10.10%,1592,-41.51%,-4.19%,4.19%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
59,Nick Loftin,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Noah Schultz,940,48.55,51.85,48.11,48.30,56.30,63.10,48.60,44.00,3.93,5.15%,5.68%,94.32%,0.136%,9.62%,1660,-40.91%,-3.93%,3.93%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
