rank,name,team,opponent,game,pitcher,odds,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,hitter_pitch_sample,pitcher_pitch_sample,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,direct_overlap_score,arsenal_pressure_score,pitch_type_score,contact_score,handedness_split_score,market_score,per_pitch_score,per_pitch_grade,split_engine_score,matchup_intel_score,master_score,master_tier
196,Luke Keaschall,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,1360,Slider,26.4,100,91.9,263,254,Slider,100,Sweeper,100,Sweeper 29.9% | Slider 26.4% | 4-Seam Fastball 25.2% | Sinker 9.8%,85.7,59.3,84.6,30,50,34.1,55.8,THIN,36.8,30.4,42.1,DEEP FADE
197,Luis Rengifo,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,1500,Sinker,20.8,88.4,100,182,284,Curveball,100,Sweeper,100,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,80.7,54.7,82.2,41.8,50,32.6,55.7,THIN,43.7,37,42.8,DEEP FADE
198,Andrés Giménez,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,1120,4-Seam Fastball,30.4,78.4,100,178,135,Slider,100,4-Seam Fastball,100,4-Seam Fastball 30.4% | Changeup 18.5% | Sinker 17.0% | Sweeper 17.0%,83,56.2,76.5,30.5,62,37.5,55.6,THIN,47.1,45.5,54.6,LOTTO
199,Mickey Gasper,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,790,,0,0,0,9,283,,0,4-Seam Fastball,100,4-Seam Fastball 39.2% | Slider 17.0% | Sinker 13.4% | Split-Finger 11.3%,44.3,58.4,50,85.8,58,51.1,55.2,THIN,74.9,67.3,75.1,STRONG
200,Zach Cole,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,420,,0,0,0,70,0,,0,,0,,41.6,50,50,83,62,78,55.2,THIN,56.4,51,69.1,GOOD
201,Darell Hernaiz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,1000,Slider,25.7,72.6,100,134,241,Slider,72.6,4-Seam Fastball,100,4-Seam Fastball 32.4% | Slider 25.7% | Changeup 16.2% | Curveball 13.7%,75.8,59.1,73.7,40,50,39.7,55.2,THIN,55.5,50.1,62.7,STANDARD
202,Cedric Mullins,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,980,Changeup,13.5,99.7,92.8,163,310,Changeup,99.7,Sinker,100,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,79.7,55.8,80.3,30,62,40.1,55.2,THIN,39.5,34.6,49.3,LOTTO
203,Ernie Clement,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,1200,4-Seam Fastball,30.4,78.3,100,209,135,Changeup,100,4-Seam Fastball,100,4-Seam Fastball 30.4% | Changeup 18.5% | Sinker 17.0% | Sweeper 17.0%,82.9,58.2,80.8,30,50,36.2,55.1,THIN,44.9,45.1,54.2,LOTTO
204,Nasim Nuñez,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,1200,Curveball,20.5,75.7,99.5,207,78,Splitter,100,Sinker,100,Changeup 32.1% | Sinker 24.4% | 4-Seam Fastball 23.1% | Curveball 20.5%,71.8,54.7,81.4,40,58,36.2,55,THIN,61.6,50.7,60.3,STANDARD
205,Edmundo Sosa,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,Sonny Gray,1020,4-Seam Fastball,11.4,100,85.1,97,70,4-Seam Fastball,100,Cutter,96.1,Cutter 30.0% | Curveball 21.4% | Sinker 18.6% | Sweeper 11.4%,74.7,55.6,80.6,39.4,50,39.3,54.7,THIN,46.4,41.6,52.8,LOTTO
206,Nick Yorke,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,920,4-Seam Fastball,28.2,77.1,86.2,41,245,Changeup,84.7,Slurve,100,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,68.6,54.5,73.4,49.6,50,41.5,54.5,THIN,53,48.1,59.4,STANDARD
207,Freddy Fermin,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,1050,4-Seam Fastball,61.3,59.4,91.3,128,271,Sweeper,89.4,4-Seam Fastball,91.3,4-Seam Fastball 61.3% | Slider 23.6% | Curveball 13.7%,73.3,60.4,69.6,42.7,50,38.7,54,THIN,40.8,36.2,51.1,LOTTO
208,Victor Scott II,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,2200,Cutter,17.4,97.2,90.1,146,230,Curveball,100,Sinker,100,Sinker 31.7% | Changeup 18.7% | Slider 17.8% | Cutter 17.4%,79.8,56,74.3,30,62,32,53.2,THIN,44.9,39,40.5,DEEP FADE
209,David Hamilton,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,1600,4-Seam Fastball,22.9,96,78.5,154,284,4-Seam Fastball,96,Sweeper,100,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,81,56.9,76.7,30,50,32,52.8,THIN,37.4,33.8,41.8,DEEP FADE
210,Tyler Heineman,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,1280,4-Seam Fastball,30.4,55.2,100,95,135,Sweeper,62.5,4-Seam Fastball,100,4-Seam Fastball 30.4% | Changeup 18.5% | Sinker 17.0% | Sweeper 17.0%,71.4,58,67.7,40,50,35.1,52,THIN,47,46.6,51.6,LOTTO
211,Christian Walker,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,350,,0,0,0,230,0,,0,,0,,41.6,50,50,68.9,50,83,51.5,THIN,48.1,48.1,66.4,GOOD
212,Masyn Winn,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,1450,4-Seam Fastball,14.3,79.9,100,257,230,Slider,100,Sinker,100,Sinker 31.7% | Changeup 18.7% | Slider 17.8% | Cutter 17.4%,73.7,57.9,76.7,30,50,33.1,51.5,THIN,43,39.2,47.3,WATCH
213,Sal Frelick,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,2000,Sweeper,22.5,74.6,100,192,284,Cutter,100,Sweeper,100,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,79.5,54.7,74.2,30,50,32,51.5,THIN,37.9,33.8,38,DEEP FADE
214,Jonny DeLuca,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,990,Sinker,9.7,92,100,168,310,Sinker,92,Sinker,100,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,83.5,55.4,77.9,33.6,50,39.9,51.3,THIN,38.7,35.5,50.6,LOTTO
215,Billy Cook,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,900,4-Seam Fastball,28.2,58,86.2,40,245,4-Seam Fastball,58,Slurve,100,4-Seam Fastball 28.2% | Curveball 21.2% | Slurve 17.1% | Sinker 16.7%,64.9,57.6,65.1,40,50,42,50.9,THIN,46.8,45.6,59.2,STANDARD
216,Ha-Seong Kim,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,Shota Imanaga,680,,0,0,0,0,286,,0,,0,,41.6,50,50,70,62,55.1,50,THIN,47.8,45.6,58.4,STANDARD
217,Ryan Vilade,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,1060,Sinker,9.7,76.6,100,112,310,Sinker,76.6,Sinker,100,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,75.6,55.4,78.6,36.6,50,38.6,49.8,THIN,40,36.1,49.3,LOTTO
218,Alejandro Osuna,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,1220,Curveball,5.1,96.7,100,146,277,Curveball,96.7,4-Seam Fastball,100,4-Seam Fastball 61.0% | Slider 13.4% | Cutter 9.7% | Sinker 9.0%,71.2,60.8,91.1,40,62,35.9,48.4,THIN,60.4,49,55.6,STANDARD
219,Chandler Simpson,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,2200,Sinker,9.7,67.7,100,224,310,Slider,85.6,Sinker,100,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,67.1,57.8,77.6,40,62,32,48.4,THIN,43.5,35.9,33.8,DEEP FADE
220,Zach McKinstry,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,Christian Scott,1260,4-Seam Fastball,55.3,60.7,76.7,67,199,Curveball,78.5,Sweeper,100,4-Seam Fastball 55.3% | Cutter 24.1% | Sweeper 15.6%,64.2,56.2,64.3,30,62,35.4,48.3,THIN,39.7,37,44.3,DEEP FADE
221,Cam Smith,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,910,,0,0,0,261,0,,0,,0,,41.6,50,50,69.9,50,41.8,47.6,AVOID,48.6,41.8,59.8,STANDARD
222,Brice Matthews,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,520,,0,0,0,233,0,,0,,0,,41.6,50,50,53.6,50,68.3,46.7,AVOID,42.2,41.8,58.4,STANDARD
223,Vidal Bruján,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,Framber Valdez,1050,,0,0,0,14,248,4-Seam Fastball,45.2,Sinker,100,Sinker 39.9% | Curveball 31.9% | Changeup 24.2% | Slider 3.6%,43.9,57.5,50,50,50,38.7,44.9,AVOID,48,47.7,55.3,STANDARD
224,Jose Altuve,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,537,,0,0,0,178,0,,0,,0,,41.6,50,50,43.9,50,67.2,44.5,AVOID,38.3,39.1,54.6,WATCH
225,Christian Yelich,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,790,,0,0,0,0,284,,0,,0,,41.6,50,50,43.6,50,51.1,43,AVOID,34.8,40.4,54.8,LOTTO
226,César Salazar,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,750,,0,0,0,26,0,,0,,0,,38.6,50,50,44.6,50,52.4,42.5,AVOID,36.6,35,55,STANDARD
227,Isaac Paredes,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,541,,0,0,0,320,0,,0,,0,,41.6,50,50,30,50,67,41.6,AVOID,32.7,35.4,53.3,WATCH
