rank,name,team,pitcher,odds,brl,hh,contact,pitcherScore,env,recent,intel,grade
73,Xavier Edwards,Miami Marlins,Simeon Woods Richardson,950,6.7,37.3,44.6,93.6,35,50,54.9,THIN
74,Masataka Yoshida,Boston Red Sox,Andrew Painter,1040,0,42.9,52.3,86.7,35,50,54.9,THIN
75,Mark Vientos,New York Mets,Framber Valdez,570,10.3,46,60.6,59.3,35,50,54.7,THIN
76,Spencer Torkelson,Detroit Tigers,Christian Scott,500,16.3,48.3,77.4,34.6,35,50,54.7,THIN
77,Jeff McNeil,Athletics,Matthew Liberatore,1200,90,30.3,67.2,71.5,35,50,54.7,THIN
78,Bryce Harper,Philadelphia Phillies,Sonny Gray,490,14.6,40.7,67.1,44.8,35,50,54.6,THIN
79,Matt Olson,Atlanta Braves,Shota Imanaga,400,19,51.2,84,10.7,49.3,50,54.6,THIN
80,Andy Pages,Los Angeles Dodgers,Robbie Ray,490,7.4,52.5,58.5,40.3,53.3,50,54.5,THIN
81,Trevor Story,Boston Red Sox,Andrew Painter,760,2.9,42.9,42.3,86.7,35,50,54.5,THIN
82,Danny Jansen,Texas Rangers,Ryne Nelson,620,5.3,36.8,40.7,69.3,51.4,50,54.5,THIN
83,Riley Greene,Detroit Tigers,Christian Scott,423,13.9,50.5,73.2,34.6,35,50,54.1,THIN
84,Dalton Rushing,Los Angeles Dodgers,Robbie Ray,520,11.1,44.4,61.3,40.3,53.3,50,54.1,THIN
85,Teoscar Hernández,Los Angeles Dodgers,Robbie Ray,440,9,43.3,55.1,40.3,53.3,50,54.1,THIN
86,Colby Thomas,Athletics,Matthew Liberatore,430,5.6,33.3,38.6,71.5,35,50,54,THIN
87,Vinnie Pasquantino,Kansas City Royals,Noah Schultz,680,10,40,55,56.5,51.9,50,54,THIN
88,Jakob Marsee,Miami Marlins,Simeon Woods Richardson,900,3.8,40.2,40.2,93.6,35,50,53.9,THIN
89,Joe Mack,Miami Marlins,Simeon Woods Richardson,900,6.3,31.3,38.8,93.6,35,50,53.6,THIN
90,Ezequiel Duran,Texas Rangers,Ryne Nelson,930,6.6,44.2,49.9,69.3,51.4,50,53.5,THIN
91,Dillon Dingler,Detroit Tigers,Christian Scott,525,15.2,51,76.8,34.6,35,50,53.4,THIN
92,Andrew Benintendi,Chicago White Sox,Seth Lugo,650,10.3,53.2,66.3,37,52.5,50,53.4,THIN
93,Ceddanne Rafaela,Boston Red Sox,Andrew Painter,980,7.2,36,44.8,86.7,35,50,53.2,THIN
94,Cole Young,Seattle Mariners,Lance McCullers Jr.,1000,8,41.1,50.9,80.6,35,50,53.2,THIN
95,Isaac Collins,Kansas City Royals,Noah Schultz,850,9.3,41.3,54.3,56.5,51.9,50,52.9,THIN
96,Michael Harris II,Atlanta Braves,Shota Imanaga,590,17,58.9,87.6,10.7,49.3,50,52.5,THIN
97,Daylen Lile,Washington Nationals,Nick Lodolo,820,6.9,36.6,44.5,77.2,35,50,52.4,THIN
98,J.P. Crawford,Seattle Mariners,Lance McCullers Jr.,1060,8.3,36.1,47.6,80.6,35,50,52.2,THIN
99,Brendan Donovan,Seattle Mariners,Lance McCullers Jr.,589,3.3,29,31.2,80.6,35,50,52.1,THIN
100,Maikel Garcia,Kansas City Royals,Noah Schultz,725,6.1,43.9,48.4,56.5,51.9,50,52,THIN
101,Nolan Arenado,Arizona Diamondbacks,Kumar Rocker,840,7.8,28.2,40.1,68.6,51.2,50,52,THIN
102,Connor Wong,Boston Red Sox,Andrew Painter,920,2.6,38.5,38.8,86.7,35,50,51.8,THIN
103,James McCann,Arizona Diamondbacks,Kumar Rocker,950,5,42.5,44.5,68.6,51.2,50,51.8,THIN
104,Alec Burleson,St. Louis Cardinals,J.T. Ginn,575,11.4,46.2,63.5,43.6,35,50,51.7,THIN
105,Junior Caminero,Tampa Bay Rays,Dylan Cease,440,10.9,43.8,66.4,17,54.4,50,51.6,THIN
106,Byron Buxton,Minnesota Twins,Max Meyer,330,20,46.7,80.4,11.9,35,50,51.3,THIN
107,Mookie Betts,Los Angeles Dodgers,Robbie Ray,390,6.3,34.4,41.3,40.3,53.3,50,51.3,THIN
108,Marcell Ozuna,Pittsburgh Pirates,Jose Quintana,650,8.6,36.8,48.9,59.2,35,50,51,THIN
109,Yordan Alvarez,Houston Astros,Bryce Miller,285,18,51.9,84.5,2.9,35,50,50.9,THIN
110,Hunter Goodman,Colorado Rockies,Mitch Keller,407,15.1,52.9,78.1,15.8,35,50,50.9,THIN
111,Adolis García,Philadelphia Phillies,Sonny Gray,561,8.3,49.5,58.4,44.8,35,50,50.8,THIN
112,Kyle Tucker,Los Angeles Dodgers,Robbie Ray,533,6.8,41.9,48.5,40.3,53.3,50,50.7,THIN
113,Lourdes Gurriel Jr.,Arizona Diamondbacks,Kumar Rocker,890,6.1,32.7,39.4,68.6,51.2,50,50.7,THIN
114,Keibert Ruiz,Washington Nationals,Nick Lodolo,880,4.5,40.9,42,77.2,35,50,50.5,THIN
115,Bryan Reynolds,Pittsburgh Pirates,Jose Quintana,800,7.9,43.6,52.6,59.2,35,50,50.3,THIN
116,Nolan Gorman,St. Louis Cardinals,J.T. Ginn,650,9.8,46.7,59.9,43.6,35,50,50.1,THIN
117,Alejandro Osuna,Texas Rangers,Ryne Nelson,1220,0,26.9,40,69.3,51.4,50,50,THIN
118,Tyler Heineman,Toronto Blue Jays,Griffin Jax,1280,0,15.2,40,67.8,53.8,50,50,THIN
119,Luis Torrens,New York Mets,Framber Valdez,930,0,48.7,57,59.3,35,50,49.9,THIN
120,Drake Baldwin,Atlanta Braves,Shota Imanaga,525,14.7,50.4,75.1,10.7,49.3,50,49.8,THIN
121,Jackson Chourio,Milwaukee Brewers,Michael King,725,19,42.9,77.3,27.6,35,50,49.6,THIN
122,Lane Thomas,Kansas City Royals,Noah Schultz,680,3.6,37.5,38,56.5,51.9,50,49.6,THIN
123,Ryan O'Hearn,Pittsburgh Pirates,Jose Quintana,770,6.1,43.5,48.1,59.2,35,50,49.3,THIN
124,Henry Davis,Pittsburgh Pirates,Jose Quintana,760,7.6,37.9,47.3,59.2,35,50,49.2,THIN
125,Zach Cole,Houston Astros,Bryce Miller,420,20,50,83,2.9,35,50,49.1,THIN
126,Nico Hoerner,Chicago Cubs,JR Ritchie,1280,2,26.1,30,78.2,49.5,50,49.1,THIN
127,Nasim Nuñez,Washington Nationals,Nick Lodolo,1200,0,18.9,40,77.2,35,50,49,THIN
128,Ke'Bryan Hayes,Cincinnati Reds,Jake Irvin,1020,11.3,40.5,58.7,54.3,35,50,48.9,THIN
129,Marcus Semien,New York Mets,Framber Valdez,790,7.8,34.2,44.9,59.3,35,50,48.4,THIN
130,Geraldo Perdomo,Arizona Diamondbacks,Kumar Rocker,1100,3.6,31.9,33.5,68.6,51.2,50,48.4,THIN
131,Nick Loftin,Kansas City Royals,Noah Schultz,940,5.1,38.5,41.6,56.5,51.9,50,48.3,THIN
132,Darell Hernaiz,Athletics,Matthew Liberatore,1000,0,20.5,40,71.5,35,50,48.2,THIN
133,Nick Yorke,Pittsburgh Pirates,Jose Quintana,920,5.2,48.3,49.6,59.2,35,50,48.1,THIN
134,Bo Bichette,New York Mets,Framber Valdez,850,4.4,44.5,44.6,59.3,35,50,48,THIN
135,Austin Riley,Atlanta Braves,Shota Imanaga,441,10.6,46,61.3,10.7,49.3,50,47.9,THIN
136,Andrés Giménez,Toronto Blue Jays,Griffin Jax,1120,4.2,26.3,30.5,67.8,53.8,50,47.9,THIN
137,Fernando Tatis Jr.,San Diego Padres,Jacob Misiorowski,502,11.7,58.6,74.1,13,35,50,47.8,THIN
138,Vidal Bruján,New York Mets,Framber Valdez,1050,0,0,50,59.3,35,50,47.7,THIN
139,Casey Schmitt,San Francisco Giants,Shohei Ohtani,550,14.7,47.6,72.8,3.6,51,50,47.6,THIN
140,Ernie Clement,Toronto Blue Jays,Griffin Jax,1200,1.3,26.6,30,67.8,53.8,50,47.6,THIN
141,Mickey Moniak,Colorado Rockies,Mitch Keller,404,12.6,41.4,62.6,15.8,35,50,46.9,THIN
142,Brett Baty,New York Mets,Framber Valdez,1040,7.2,38.6,46.9,59.3,35,50,46.9,THIN
143,Heliot Ramos,San Francisco Giants,Shohei Ohtani,575,13.1,50,70.8,3.6,51,50,46.8,THIN
144,Jacob Young,Washington Nationals,Nick Lodolo,1600,4.5,31,34.1,77.2,35,50,46.8,THIN
145,Ivan Herrera,St. Louis Cardinals,J.T. Ginn,670,0,0,50,43.6,35,50,46.6,THIN
146,Ryan Jeffers,Minnesota Twins,Max Meyer,600,16.3,44.2,74.1,11.9,35,50,46.6,THIN
147,Ha-Seong Kim,Atlanta Braves,Shota Imanaga,680,0,66.7,70,10.7,49.3,50,46.5,THIN
148,Jake Bauers,Milwaukee Brewers,Michael King,800,10.8,52.1,66.7,27.6,35,50,46.4,THIN
149,Brice Turang,Milwaukee Brewers,Michael King,680,10.7,49,64,27.6,35,50,46.4,THIN
150,Christian Walker,Houston Astros,Bryce Miller,350,13,48,68.9,2.9,35,50,46.2,THIN
151,Matt McLain,Cincinnati Reds,Jake Irvin,760,7.5,29.6,40.4,54.3,35,50,46.2,THIN
152,Billy Cook,Pittsburgh Pirates,Jose Quintana,900,0,15.4,40,59.2,35,50,45.6,THIN
153,Ramón Laureano,San Diego Padres,Jacob Misiorowski,575,13.5,44.9,67.7,13,35,50,45.4,THIN
154,Jonathan Aranda,Tampa Bay Rays,Dylan Cease,720,10.1,43.1,57.7,17,54.4,50,45.4,THIN
155,Nick Gonzales,Pittsburgh Pirates,Jose Quintana,1080,1.8,41.6,41.3,59.2,35,50,45.4,THIN
156,Kody Clemens,Minnesota Twins,Max Meyer,625,15.2,40.9,68.7,11.9,35,50,45,THIN
157,Brandon Marsh,Philadelphia Phillies,Sonny Gray,1060,6.3,48.2,52.3,44.8,35,50,44.8,AVOID
158,Garrett Mitchell,Milwaukee Brewers,Michael King,1000,11.5,50.8,67.4,27.6,35,50,44.8,AVOID
159,Nathan Church,St. Louis Cardinals,J.T. Ginn,1000,10.8,33.3,51.6,43.6,35,50,44.5,AVOID
160,Cesar Prieto,St. Louis Cardinals,J.T. Ginn,920,0,0,50,43.6,35,50,44.4,AVOID
161,Wenceel Pérez,Detroit Tigers,Christian Scott,800,8.6,40,51.5,34.6,35,50,44.1,AVOID
162,Royce Lewis,Minnesota Twins,Max Meyer,650,13.3,41.7,64.6,11.9,35,50,43.8,AVOID
163,Colt Keith,Detroit Tigers,Christian Scott,680,5.6,44.4,47.5,34.6,35,50,43.8,AVOID
164,Trea Turner,Philadelphia Phillies,Sonny Gray,820,4.5,39.6,40.9,44.8,35,50,43.7,AVOID
165,Tyrone Taylor,New York Mets,Framber Valdez,980,4.9,29.5,33.9,59.3,35,50,43.7,AVOID
166,Jared Triolo,Pittsburgh Pirates,Jose Quintana,1200,3.6,34.5,35.6,59.2,35,50,43.6,AVOID
167,Jackson Merrill,San Diego Padres,Jacob Misiorowski,568,9.6,47.8,60.2,13,35,50,43.5,AVOID
168,Pedro Pagés,St. Louis Cardinals,J.T. Ginn,760,6.1,33.3,39.9,43.6,35,50,43.5,AVOID
169,Rafael Devers,San Francisco Giants,Shohei Ohtani,525,8.4,45.4,55.3,3.6,51,50,43.3,AVOID
170,Bryson Stott,Philadelphia Phillies,Sonny Gray,1160,6.8,40.8,47.6,44.8,35,50,43.3,AVOID
171,Gavin Sheets,San Diego Padres,Jacob Misiorowski,590,10.6,43.5,59.3,13,35,50,43.1,AVOID
172,Sung-Mun Song,San Diego Padres,Jacob Misiorowski,1000,25,37.5,73,13,35,50,42.8,AVOID
173,Yandy Díaz,Tampa Bay Rays,Dylan Cease,770,6.2,43,47.9,17,54.4,50,42.6,AVOID
174,TJ Friedl,Cincinnati Reds,Jake Irvin,880,3,30.2,32.2,54.3,35,50,42.5,AVOID
175,Chase Meidroth,Chicago White Sox,Seth Lugo,1200,4.7,37,39.4,37,52.5,50,42.3,AVOID
176,J.T. Realmuto,Philadelphia Phillies,Sonny Gray,980,2.8,40.3,40.2,44.8,35,50,41.9,AVOID
177,Matt Vierling,Detroit Tigers,Christian Scott,760,5,38.3,41.1,34.6,35,50,41.6,AVOID
178,Edmundo Sosa,Philadelphia Phillies,Sonny Gray,1020,3.9,39.2,39.4,44.8,35,50,41.6,AVOID
179,Edouard Julien,Colorado Rockies,Mitch Keller,830,8.5,49.3,58.7,15.8,35,50,41.3,AVOID
180,Jorge Mateo,Atlanta Braves,Shota Imanaga,960,11.1,41.7,59.1,10.7,49.3,50,41.3,AVOID
181,Alec Bohm,Philadelphia Phillies,Sonny Gray,1120,1.7,38.5,38.8,44.8,35,50,41.1,AVOID
182,Manny Machado,San Diego Padres,Jacob Misiorowski,556,6.6,44.3,49.9,13,35,50,41,AVOID
183,William Contreras,Milwaukee Brewers,Michael King,900,7,43,49.9,27.6,35,50,40.6,AVOID
184,Josh Bell,Minnesota Twins,Max Meyer,700,9.9,41.4,55.9,11.9,35,50,40.4,AVOID
185,Christian Yelich,Milwaukee Brewers,Michael King,790,5.1,41,43.6,27.6,35,50,40.4,AVOID
186,Willy Adames,San Francisco Giants,Shohei Ohtani,720,8.6,40.5,51.9,3.6,51,50,40.1,AVOID
187,Cam Smith,Houston Astros,Bryce Miller,910,14.6,44.3,69.9,2.9,35,50,39.9,AVOID
188,Brice Matthews,Houston Astros,Bryce Miller,520,10,38.3,53.6,2.9,35,50,39.9,AVOID
189,Mike Yastrzemski,Atlanta Braves,Shota Imanaga,620,4.7,37.2,39.5,10.7,49.3,50,39.8,AVOID
190,Nick Fortes,Tampa Bay Rays,Dylan Cease,1100,1.1,47.1,45.7,17,54.4,50,39.8,AVOID
191,Jake Fraley,Tampa Bay Rays,Dylan Cease,940,9.4,22.6,43.5,17,54.4,50,39.7,AVOID
192,Andrew Vaughn,Milwaukee Brewers,Michael King,900,7.1,35.7,44.3,27.6,35,50,39.2,AVOID
193,Ozzie Albies,Atlanta Braves,Shota Imanaga,518,4.2,28,30.9,10.7,49.3,50,38.4,AVOID
194,Xander Bogaerts,San Diego Padres,Jacob Misiorowski,720,7.6,37,46.6,13,35,50,38.1,AVOID
195,Harrison Bader,San Francisco Giants,Shohei Ohtani,900,7.3,43.9,51.4,3.6,51,50,38.1,AVOID
196,Masyn Winn,St. Louis Cardinals,J.T. Ginn,1450,2.8,25.9,30,43.6,35,50,37.8,AVOID
197,Taylor Walls,Tampa Bay Rays,Dylan Cease,1300,0,14.7,40,17,54.4,50,37.8,AVOID
198,Willi Castro,Colorado Rockies,Mitch Keller,900,6.9,43.1,49.7,15.8,35,50,37.7,AVOID
199,Victor Scott II,St. Louis Cardinals,J.T. Ginn,2200,1.4,26.7,30,43.6,35,50,37.7,AVOID
200,Ryan Vilade,Tampa Bay Rays,Dylan Cease,1060,4.3,34.8,36.6,17,54.4,50,37.5,AVOID
201,Ben Williamson,Tampa Bay Rays,Dylan Cease,1300,1.1,38.6,38.9,17,54.4,50,37.5,AVOID
202,Chandler Simpson,Tampa Bay Rays,Dylan Cease,2200,0,15.3,40,17,54.4,50,37.4,AVOID
203,Jose Altuve,Houston Astros,Bryce Miller,537,6.7,36.4,43.9,2.9,35,50,37.2,AVOID
204,Jonny DeLuca,Tampa Bay Rays,Dylan Cease,990,4,32,33.6,17,54.4,50,37,AVOID
205,Luis Rengifo,Milwaukee Brewers,Michael King,1500,6.1,35.7,41.8,27.6,35,50,37,AVOID
206,Jesus Rodriguez,San Francisco Giants,Shohei Ohtani,1220,0,38.9,49.1,3.6,51,50,36.5,AVOID
207,Ezequiel Tovar,Colorado Rockies,Mitch Keller,980,8.2,33.7,45.5,15.8,35,50,36.3,AVOID
208,Cedric Mullins,Tampa Bay Rays,Dylan Cease,980,2,27,30,17,54.4,50,36.1,AVOID
209,Zach McKinstry,Detroit Tigers,Christian Scott,1260,2.2,24.4,30,34.6,35,50,36.1,AVOID
210,Trevor Larnach,Minnesota Twins,Max Meyer,725,6.6,31.6,39.8,11.9,35,50,36,AVOID
211,Miguel Andujar,San Diego Padres,Jacob Misiorowski,880,4.7,42.4,43.7,13,35,50,35.6,AVOID
212,Troy Johnston,Colorado Rockies,Mitch Keller,900,2.2,41.9,41.5,15.8,35,50,35.6,AVOID
213,Matt Chapman,San Francisco Giants,Shohei Ohtani,790,5.4,30.7,36.1,3.6,51,50,35.6,AVOID
214,Kyle Karros,Colorado Rockies,Mitch Keller,1240,6.2,39,44.7,15.8,35,50,35.4,AVOID
215,Mauricio Dubón,Atlanta Braves,Shota Imanaga,890,5,30.6,35,10.7,49.3,50,35.3,AVOID
216,César Salazar,Houston Astros,Bryce Miller,750,0,33.3,44.6,2.9,35,50,35,AVOID
217,Freddy Fermin,San Diego Padres,Jacob Misiorowski,1050,0,30.9,42.7,13,35,50,34.7,AVOID
218,Tyler Freeman,Colorado Rockies,Mitch Keller,1560,0,31.5,43.2,15.8,35,50,34.5,AVOID
219,David Hamilton,Milwaukee Brewers,Michael King,1600,2.6,25,30,27.6,35,50,33.8,AVOID
220,Sal Frelick,Milwaukee Brewers,Michael King,2000,3.7,25,30,27.6,35,50,33.8,AVOID
221,Luis Arraez,San Francisco Giants,Shohei Ohtani,1500,0,19,40,3.6,51,50,33.6,AVOID
222,Isaac Paredes,Houston Astros,Bryce Miller,541,3.6,26.1,30,2.9,35,50,33.5,AVOID
223,Jake McCarthy,Colorado Rockies,Mitch Keller,1200,6.2,22.7,35.5,15.8,35,50,33.1,AVOID
224,Jung Hoo Lee,San Francisco Giants,Shohei Ohtani,1080,2.2,31.9,33.5,3.6,51,50,32.9,AVOID
225,Brooks Lee,Minnesota Twins,Max Meyer,880,4.5,30.6,33.7,11.9,35,50,32.7,AVOID
226,Austin Martin,Minnesota Twins,Max Meyer,1800,2.5,35,36,11.9,35,50,31.6,AVOID
227,Luke Keaschall,Minnesota Twins,Max Meyer,1360,3.2,24,30,11.9,35,50,30.4,AVOID
