player,player_key,team,team_key,game,game_key,market,line,odds,book,consensus_odds,trusted_books_count,trusted_books,raw_books_seen,removed_outliers,odds_quality,source_file
Byron Buxton,byron buxton,Minnesota Twins,minnesota twins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,330,DraftKings,328,4,DraftKings:+330 | FanDuel:+330 | BetMGM:+325 | Caesars:+320,DraftKings:+330 | FanDuel:+330 | BetMGM:+325 | Caesars:+320 | DraftKings:+330,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Colson Montgomery,colson montgomery,Chicago White Sox,chicago white sox,Kansas City Royals @ Chicago White Sox,kansas city royals @ chicago white sox,HR,0.5,350,BetMGM,338,4,BetMGM:+350 | DraftKings:+346 | Caesars:+330 | FanDuel:+330,BetMGM:+350 | DraftKings:+346 | Caesars:+330 | FanDuel:+330 | BetMGM:+350,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Christian Walker,christian walker,Houston Astros,houston astros,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,350,FanDuel,339,4,FanDuel:+350 | DraftKings:+347 | Caesars:+330 | BetMGM:+310,FanDuel:+350 | DraftKings:+347 | Caesars:+330 | BetMGM:+310 | FanDuel:+350,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Sal Stewart,sal stewart,Cincinnati Reds,cincinnati reds,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,369,DraftKings,340,4,DraftKings:+369 | FanDuel:+350 | Caesars:+330 | BetMGM:+310,DraftKings:+369 | FanDuel:+350 | Caesars:+330 | BetMGM:+310 | DraftKings:+369,1,CLEANED_CONSENSUS,sgo_best_lines.csv
JJ Bleday,jj bleday,Cincinnati Reds,cincinnati reds,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,390,FanDuel,352,4,FanDuel:+390 | DraftKings:+374 | Caesars:+330 | BetMGM:+310,FanDuel:+390 | DraftKings:+374 | Caesars:+330 | BetMGM:+310 | FanDuel:+390,1,CLEANED_CONSENSUS,sgo_best_lines.csv
James Wood,james wood,Washington Nationals,washington nationals,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,362,DraftKings,355,4,DraftKings:+362 | FanDuel:+360 | Caesars:+350 | BetMGM:+340,DraftKings:+362 | FanDuel:+360 | Caesars:+350 | BetMGM:+340,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Kazuma Okamoto,kazuma okamoto,Toronto Blue Jays,toronto blue jays,Tampa Bay Rays @ Toronto Blue Jays,tampa bay rays @ toronto blue jays,HR,0.5,398,DraftKings,355,4,DraftKings:+398 | FanDuel:+360 | Caesars:+350 | BetMGM:+340,DraftKings:+398 | FanDuel:+360 | Caesars:+350 | BetMGM:+340 | DraftKings:+398,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Kyle Stowers,kyle stowers,Miami Marlins,miami marlins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,400,BetMGM,365,4,BetMGM:+400 | Caesars:+370 | FanDuel:+360 | DraftKings:+349,BetMGM:+400 | Caesars:+370 | FanDuel:+360 | DraftKings:+349 | BetMGM:+400,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Oneil Cruz,oneil cruz,Pittsburgh Pirates,pittsburgh pirates,Colorado Rockies @ Pittsburgh Pirates,colorado rockies @ pittsburgh pirates,HR,0.5,400,BetMGM,365,4,BetMGM:+400 | FanDuel:+370 | DraftKings:+359 | Caesars:+350,BetMGM:+400 | FanDuel:+370 | DraftKings:+359 | Caesars:+350 | BetMGM:+400,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Matt Olson,matt olson,Atlanta Braves,atlanta braves,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,400,DraftKings,385,4,DraftKings:+400 | FanDuel:+390 | BetMGM:+380 | Caesars:+350,DraftKings:+400 | FanDuel:+390 | BetMGM:+380 | Caesars:+350 | DraftKings:+400,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Riley Greene,riley greene,Detroit Tigers,detroit tigers,Detroit Tigers @ New York Mets,detroit tigers @ new york mets,HR,0.5,423,DraftKings,390,4,DraftKings:+423 | FanDuel:+390 | Caesars:+390 | BetMGM:+375,DraftKings:+423 | FanDuel:+390 | Caesars:+390 | BetMGM:+375 | DraftKings:+423,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Zack Gelof,zack gelof,Oakland Athletics,oakland athletics,St. Louis Cardinals @ Athletics,st louis cardinals @ athletics,HR,0.5,450,BetMGM,390,4,BetMGM:+450 | FanDuel:+390 | Caesars:+390 | DraftKings:+373,BetMGM:+450 | FanDuel:+390 | Caesars:+390 | DraftKings:+373 | BetMGM:+450,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Junior Caminero,junior caminero,Tampa Bay Rays,tampa bay rays,Tampa Bay Rays @ Toronto Blue Jays,tampa bay rays @ toronto blue jays,HR,0.5,440,FanDuel,391,4,FanDuel:+440 | DraftKings:+411 | Caesars:+370 | BetMGM:+310,FanDuel:+440 | DraftKings:+411 | Caesars:+370 | DraftKings:+367 | FanDuel:+360 | Caesars:+350 | BetMGM:+310 | BetMGM:+310 | FanDuel:+440,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Colby Thomas,colby thomas,Oakland Athletics,oakland athletics,St. Louis Cardinals @ Athletics,st louis cardinals @ athletics,HR,0.5,430,FanDuel,392,4,FanDuel:+430 | DraftKings:+413 | Caesars:+370 | BetMGM:+333,FanDuel:+430 | DraftKings:+413 | Caesars:+370 | BetMGM:+333 | FanDuel:+430,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Hunter Goodman,hunter goodman,Colorado Rockies,colorado rockies,Colorado Rockies @ Pittsburgh Pirates,colorado rockies @ pittsburgh pirates,HR,0.5,407,DraftKings,395,4,DraftKings:+407 | BetMGM:+400 | Caesars:+390 | FanDuel:+390,DraftKings:+407 | BetMGM:+400 | Caesars:+390 | FanDuel:+390,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Mickey Moniak,mickey moniak,Colorado Rockies,colorado rockies,Colorado Rockies @ Pittsburgh Pirates,colorado rockies @ pittsburgh pirates,HR,0.5,404,DraftKings,395,4,DraftKings:+404 | BetMGM:+400 | FanDuel:+390 | Caesars:+370,DraftKings:+404 | BetMGM:+400 | FanDuel:+390 | Caesars:+370 | DraftKings:+404,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Teoscar Hernández,teoscar hernandez,Los Angeles Dodgers,los angeles dodgers,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,440,DraftKings,395,4,DraftKings:+440 | FanDuel:+420 | Caesars:+370 | BetMGM:+300,DraftKings:+440 | FanDuel:+420 | Caesars:+370 | BetMGM:+300 | DraftKings:+440,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Zach Cole,zach cole,Houston Astros,houston astros,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,420,FanDuel,397,4,FanDuel:+420 | Caesars:+400 | DraftKings:+394 | BetMGM:+340,FanDuel:+420 | Caesars:+400 | DraftKings:+394 | BetMGM:+340,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Julio Rodríguez,julio rodriguez,Seattle Mariners,seattle mariners,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,470,FanDuel,400,4,FanDuel:+470 | DraftKings:+429 | Caesars:+370 | BetMGM:+310,FanDuel:+470 | DraftKings:+429 | Caesars:+370 | BetMGM:+310 | FanDuel:+470,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Salvador Perez,salvador perez,Kansas City Royals,kansas city royals,Kansas City Royals @ Chicago White Sox,kansas city royals @ chicago white sox,HR,0.5,430,FanDuel,401,4,FanDuel:+430 | DraftKings:+402 | Caesars:+400 | BetMGM:+400,FanDuel:+430 | DraftKings:+402 | Caesars:+400 | BetMGM:+400,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Austin Riley,austin riley,Atlanta Braves,atlanta braves,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,441,DraftKings,405,4,DraftKings:+441 | FanDuel:+410 | Caesars:+400 | BetMGM:+390,DraftKings:+441 | FanDuel:+410 | Caesars:+400 | BetMGM:+390 | DraftKings:+441,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Corey Seager,corey seager,Texas Rangers,texas rangers,Arizona Diamondbacks @ Texas Rangers,arizona diamondbacks @ texas rangers,HR,0.5,441,DraftKings,405,4,DraftKings:+441 | FanDuel:+420 | Caesars:+390 | BetMGM:+340,DraftKings:+441 | FanDuel:+420 | Caesars:+390 | BetMGM:+340 | DraftKings:+441,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Ketel Marte,ketel marte,Arizona Diamondbacks,arizona diamondbacks,Arizona Diamondbacks @ Texas Rangers,arizona diamondbacks @ texas rangers,HR,0.5,426,DraftKings,405,4,DraftKings:+426 | FanDuel:+420 | Caesars:+390 | BetMGM:+350,DraftKings:+426 | FanDuel:+420 | Caesars:+390 | BetMGM:+350 | DraftKings:+426,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Tyler Soderstrom,tyler soderstrom,Oakland Athletics,oakland athletics,St. Louis Cardinals @ Athletics,st louis cardinals @ athletics,HR,0.5,475,BetMGM,405,4,BetMGM:+475 | FanDuel:+410 | Caesars:+400 | DraftKings:+381,BetMGM:+475 | FanDuel:+410 | Caesars:+400 | DraftKings:+381 | BetMGM:+475,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Ian Happ,ian happ,Chicago Cubs,chicago cubs,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,430,DraftKings,408,4,DraftKings:+430 | BetMGM:+425 | Caesars:+390 | FanDuel:+390,DraftKings:+430 | BetMGM:+425 | Caesars:+390 | FanDuel:+390 | DraftKings:+430,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Will Smith,will smith,Los Angeles Dodgers,los angeles dodgers,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,420,FanDuel,408,4,FanDuel:+420 | DraftKings:+415 | BetMGM:+400 | Caesars:+390,FanDuel:+420 | DraftKings:+415 | BetMGM:+400 | Caesars:+390,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Seiya Suzuki,seiya suzuki,Chicago Cubs,chicago cubs,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,425,BetMGM,412,4,BetMGM:+425 | DraftKings:+413 | FanDuel:+410 | Caesars:+390,BetMGM:+425 | DraftKings:+413 | FanDuel:+410 | Caesars:+390,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Corbin Carroll,corbin carroll,Arizona Diamondbacks,arizona diamondbacks,Arizona Diamondbacks @ Texas Rangers,arizona diamondbacks @ texas rangers,HR,0.5,451,DraftKings,420,4,DraftKings:+451 | FanDuel:+440 | Caesars:+400 | BetMGM:+380,DraftKings:+451 | FanDuel:+440 | Caesars:+400 | BetMGM:+380 | DraftKings:+451,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Michael Busch,michael busch,Chicago Cubs,chicago cubs,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,450,DraftKings,423,4,DraftKings:+450 | BetMGM:+425 | FanDuel:+420 | Caesars:+400,DraftKings:+450 | BetMGM:+425 | FanDuel:+420 | Caesars:+400,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Spencer Steer,spencer steer,Cincinnati Reds,cincinnati reds,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,470,FanDuel,426,4,FanDuel:+470 | DraftKings:+451 | Caesars:+400 | BetMGM:+390,FanDuel:+470 | DraftKings:+451 | Caesars:+400 | BetMGM:+390 | FanDuel:+470,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Juan Soto,juan soto,New York Mets,new york mets,Detroit Tigers @ New York Mets,detroit tigers @ new york mets,HR,0.5,470,FanDuel,432,4,FanDuel:+470 | DraftKings:+464 | Caesars:+400 | BetMGM:+400,FanDuel:+470 | DraftKings:+464 | Caesars:+400 | BetMGM:+400 | FanDuel:+470,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Rafael Devers,rafael devers,San Francisco Giants,san francisco giants,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,525,DraftKings,433,4,DraftKings:+525 | FanDuel:+440 | Caesars:+425 | BetMGM:+400,DraftKings:+525 | FanDuel:+440 | Caesars:+425 | BetMGM:+400 | DraftKings:+525,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Jake Burger,jake burger,Texas Rangers,texas rangers,Arizona Diamondbacks @ Texas Rangers,arizona diamondbacks @ texas rangers,HR,0.5,470,FanDuel,439,4,FanDuel:+470 | DraftKings:+453 | Caesars:+425 | BetMGM:+380,FanDuel:+470 | DraftKings:+453 | Caesars:+425 | BetMGM:+380,0,CLEAN_CONSENSUS,sgo_best_lines.csv
George Springer,george springer,Toronto Blue Jays,toronto blue jays,Tampa Bay Rays @ Toronto Blue Jays,tampa bay rays @ toronto blue jays,HR,0.5,503,DraftKings,445,4,DraftKings:+503 | FanDuel:+490 | Caesars:+400 | BetMGM:+340,DraftKings:+503 | FanDuel:+490 | Caesars:+400 | BetMGM:+340 | DraftKings:+503,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Andy Pages,andy pages,Los Angeles Dodgers,los angeles dodgers,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,490,FanDuel,447,4,FanDuel:+490 | DraftKings:+468 | Caesars:+425 | BetMGM:+390,FanDuel:+490 | DraftKings:+468 | Caesars:+425 | BetMGM:+390 | FanDuel:+490,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Bryce Harper,bryce harper,Philadelphia Phillies,philadelphia phillies,Philadelphia Phillies @ Boston Red Sox,philadelphia phillies @ boston red sox,HR,0.5,490,FanDuel,447,4,FanDuel:+490 | DraftKings:+469 | Caesars:+425 | BetMGM:+400,FanDuel:+490 | DraftKings:+469 | Caesars:+425 | BetMGM:+400 | FanDuel:+490,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Dalton Rushing,dalton rushing,Los Angeles Dodgers,los angeles dodgers,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,520,FanDuel,448,4,FanDuel:+520 | DraftKings:+495 | Caesars:+400 | BetMGM:+340,FanDuel:+520 | DraftKings:+495 | Caesars:+400 | BetMGM:+340 | FanDuel:+520,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Luke Raley,luke raley,Seattle Mariners,seattle mariners,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,474,DraftKings,448,4,DraftKings:+474 | FanDuel:+470 | Caesars:+425 | BetMGM:+425,DraftKings:+474 | FanDuel:+470 | Caesars:+425 | BetMGM:+425 | DraftKings:+474,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Willson Contreras,willson contreras,Boston Red Sox,boston red sox,Philadelphia Phillies @ Boston Red Sox,philadelphia phillies @ boston red sox,HR,0.5,490,FanDuel,449,4,FanDuel:+490 | DraftKings:+472 | Caesars:+425 | BetMGM:+425,FanDuel:+490 | FanDuel:+490 | DraftKings:+472 | DraftKings:+471 | Caesars:+425 | BetMGM:+425 | Caesars:+425 | BetMGM:+400,4,CLEANED_CONSENSUS,sgo_best_lines.csv
Wilyer Abreu,wilyer abreu,Boston Red Sox,boston red sox,Philadelphia Phillies @ Boston Red Sox,philadelphia phillies @ boston red sox,HR,0.5,490,FanDuel,450,4,FanDuel:+490 | DraftKings:+475 | BetMGM:+425 | Caesars:+425,FanDuel:+490 | DraftKings:+475 | FanDuel:+470 | DraftKings:+438 | BetMGM:+425 | Caesars:+425 | Caesars:+400 | BetMGM:+400 | FanDuel:+490,5,CLEANED_CONSENSUS,sgo_best_lines.csv
Freddie Freeman,freddie freeman,Los Angeles Dodgers,los angeles dodgers,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,520,FanDuel,457,4,FanDuel:+520 | DraftKings:+489 | Caesars:+425 | BetMGM:+390,FanDuel:+520 | DraftKings:+489 | Caesars:+425 | BetMGM:+390 | FanDuel:+520,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Brandon Lowe,brandon lowe,Pittsburgh Pirates,pittsburgh pirates,Colorado Rockies @ Pittsburgh Pirates,colorado rockies @ pittsburgh pirates,HR,0.5,543,DraftKings,458,4,DraftKings:+543 | FanDuel:+490 | Caesars:+425 | BetMGM:+425,DraftKings:+543 | FanDuel:+490 | Caesars:+425 | BetMGM:+425 | DraftKings:+543,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Kody Clemens,kody clemens,Minnesota Twins,minnesota twins,Miami Marlins @ Minnesota Twins,miami marlins @ minnesota twins,HR,0.5,625,BetMGM,458,4,BetMGM:+625 | Caesars:+475 | FanDuel:+440 | DraftKings:+434,BetMGM:+625 | Caesars:+475 | FanDuel:+440 | DraftKings:+434 | BetMGM:+625,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Ozzie Albies,ozzie albies,Atlanta Braves,atlanta braves,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,518,DraftKings,458,4,DraftKings:+518 | FanDuel:+490 | Caesars:+425 | BetMGM:+400,DraftKings:+518 | FanDuel:+490 | Caesars:+425 | BetMGM:+400 | DraftKings:+518,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Bobby Witt Jr.,bobby witt,Kansas City Royals,kansas city royals,Kansas City Royals @ Chicago White Sox,kansas city royals @ chicago white sox,HR,0.5,475,BetMGM,466,4,BetMGM:+475 | FanDuel:+470 | DraftKings:+461 | Caesars:+425,BetMGM:+475 | FanDuel:+470 | DraftKings:+461 | Caesars:+425 | BetMGM:+475,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Spencer Torkelson,spencer torkelson,Detroit Tigers,detroit tigers,Detroit Tigers @ New York Mets,detroit tigers @ new york mets,HR,0.5,500,BetMGM,471,4,BetMGM:+500 | DraftKings:+471 | FanDuel:+470 | Caesars:+425,BetMGM:+500 | DraftKings:+471 | FanDuel:+470 | Caesars:+425 | BetMGM:+500,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Daulton Varsho,daulton varsho,Toronto Blue Jays,toronto blue jays,Tampa Bay Rays @ Toronto Blue Jays,tampa bay rays @ toronto blue jays,HR,0.5,520,FanDuel,472,4,FanDuel:+520 | DraftKings:+518 | Caesars:+425 | BetMGM:+360,FanDuel:+520 | DraftKings:+518 | Caesars:+425 | BetMGM:+360 | FanDuel:+520,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Kyle Tucker,kyle tucker,Los Angeles Dodgers,los angeles dodgers,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,533,DraftKings,473,4,DraftKings:+533 | FanDuel:+520 | Caesars:+425 | BetMGM:+360,DraftKings:+533 | FanDuel:+520 | Caesars:+425 | BetMGM:+360 | DraftKings:+533,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Dillon Dingler,dillon dingler,Detroit Tigers,detroit tigers,Detroit Tigers @ New York Mets,detroit tigers @ new york mets,HR,0.5,525,BetMGM,479,4,BetMGM:+525 | FanDuel:+490 | DraftKings:+468 | Caesars:+425,BetMGM:+525 | FanDuel:+490 | DraftKings:+468 | Caesars:+425 | BetMGM:+525,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Casey Schmitt,casey schmitt,San Francisco Giants,san francisco giants,San Francisco Giants @ Los Angeles Dodgers,san francisco giants @ los angeles dodgers,HR,0.5,550,BetMGM,483,4,BetMGM:+550 | FanDuel:+490 | Caesars:+475 | DraftKings:+446,BetMGM:+550 | FanDuel:+490 | Caesars:+475 | DraftKings:+446 | BetMGM:+550,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Vladimir Guerrero Jr.,vladimir guerrero,Toronto Blue Jays,toronto blue jays,Tampa Bay Rays @ Toronto Blue Jays,tampa bay rays @ toronto blue jays,HR,0.5,544,DraftKings,483,4,DraftKings:+544 | FanDuel:+490 | Caesars:+475 | BetMGM:+425,DraftKings:+544 | FanDuel:+490 | Caesars:+475 | BetMGM:+425 | DraftKings:+544,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Brice Matthews,brice matthews,Houston Astros,houston astros,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,520,FanDuel,492,4,FanDuel:+520 | DraftKings:+509 | Caesars:+475 | BetMGM:+475,FanDuel:+520 | DraftKings:+509 | Caesars:+475 | BetMGM:+475,0,CLEAN_CONSENSUS,sgo_best_lines.csv
Drake Baldwin,drake baldwin,Atlanta Braves,atlanta braves,Chicago Cubs @ Atlanta Braves,chicago cubs @ atlanta braves,HR,0.5,525,DraftKings,495,4,DraftKings:+525 | BetMGM:+500 | FanDuel:+490 | Caesars:+475,DraftKings:+525 | BetMGM:+500 | FanDuel:+490 | Caesars:+475 | DraftKings:+525,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Fernando Tatis Jr.,fernando tatis,San Diego Padres,san diego padres,San Diego Padres @ Milwaukee Brewers,san diego padres @ milwaukee brewers,HR,0.5,502,DraftKings,495,4,DraftKings:+502 | BetMGM:+500 | FanDuel:+490 | Caesars:+475,DraftKings:+502 | BetMGM:+500 | FanDuel:+490 | Caesars:+475 | DraftKings:+502,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Miguel Vargas,miguel vargas,Chicago White Sox,chicago white sox,Kansas City Royals @ Chicago White Sox,kansas city royals @ chicago white sox,HR,0.5,550,BetMGM,496,4,BetMGM:+550 | DraftKings:+517 | Caesars:+475 | FanDuel:+440,BetMGM:+550 | DraftKings:+517 | Caesars:+475 | FanDuel:+440 | BetMGM:+550,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Tyler Stephenson,tyler stephenson,Cincinnati Reds,cincinnati reds,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,540,FanDuel,496,4,FanDuel:+540 | DraftKings:+517 | Caesars:+475 | BetMGM:+450,FanDuel:+540 | DraftKings:+517 | Caesars:+475 | BetMGM:+450 | FanDuel:+540,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Jose Altuve,jose altuve,Houston Astros,houston astros,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,537,DraftKings,498,4,DraftKings:+537 | FanDuel:+520 | Caesars:+475 | BetMGM:+450,DraftKings:+537 | FanDuel:+520 | Caesars:+475 | BetMGM:+450 | DraftKings:+537,1,CLEANED_CONSENSUS,sgo_best_lines.csv
CJ Abrams,cj abrams,Washington Nationals,washington nationals,Washington Nationals @ Cincinnati Reds,washington nationals @ cincinnati reds,HR,0.5,543,DraftKings,508,4,DraftKings:+543 | FanDuel:+540 | Caesars:+475 | BetMGM:+450,DraftKings:+543 | FanDuel:+540 | Caesars:+475 | BetMGM:+450 | DraftKings:+543,1,CLEANED_CONSENSUS,sgo_best_lines.csv
Isaac Paredes,isaac paredes,Houston Astros,houston astros,Seattle Mariners @ Houston Astros,seattle mariners @ houston astros,HR,0.5,541,DraftKings,508,4,DraftKings:+541 | FanDuel:+540 | Caesars:+475 | BetMGM:+390,DraftKings:+541 | FanDuel:+540 | Caesars:+475 | BetMGM:+390 | DraftKings:+541,1,CLEANED_CONSENSUS,sgo_best_lines.csv
