rank,name,team,opponent,game,pitcher,odds,book,final_hr_score,decision_tier,confidence,consensus_score,consensus_label,agreement_count,disagreement_count,model_score_avg,model_score_min,model_score_max,model_score_range,volatility,model_probability_est,market_implied_probability,market_edge_points,value_score,sharp_flag,nuke_flag,core_flag,value_flag,ladder_flag,stealth_flag,all_flags,master_score,matchup_score,split_score,per_pitch_score,primary_pitch_match,primary_pitch_usage_pct,signal_flags,note
46,Connor Norby,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,650,BetMGM,62.1,LOTTO ONLY,SPECULATIVE,44.9,NO CONSENSUS,0,0,67.6,62.4,73.4,11,MEDIUM,10.2,13.3,-3.1,50.7,NO,NO,NO,NO,NO,NO,,73.4,62.4,68,66.4,4-Seam Fastball,37.7,,Thin agreement
47,Dansby Swanson,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,650,BetMGM,61.8,WATCH,SPECULATIVE,44.8,NO CONSENSUS,0,0,67.3,60.8,71.4,10.6,MEDIUM,10.2,13.3,-3.1,50.7,NO,NO,NO,NO,NO,NO,,71.4,60.8,68.3,68.6,4-Seam Fastball,25.7,,Thin agreement
48,Heriberto Hernández,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,598,DraftKings,61.5,WATCH,SPECULATIVE,44.4,NO CONSENSUS,0,0,66.6,61.8,72.4,10.6,LOW,10.2,14.3,-4.1,43.7,NO,NO,NO,NO,NO,NO,,72.4,61.8,66.5,65.5,4-Seam Fastball,37.7,,Thin agreement
49,Josh Naylor,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,567,DraftKings,61.1,WATCH,SPECULATIVE,43.2,NO CONSENSUS,0,0,65.9,60.7,73.6,12.9,LOW,10.1,15,-4.9,41.3,NO,NO,NO,NO,NO,NO,,73.6,60.7,65.8,63.3,Cutter,21.8,,Thin agreement
50,Vladimir Guerrero Jr.,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,544,DraftKings,59.4,WATCH,SPECULATIVE,43.2,NO CONSENSUS,0,0,63.5,58.8,67.3,8.5,LOW,9.9,15.5,-5.6,39.2,NO,NO,NO,NO,NO,NO,,67.3,58.8,62.8,65.1,4-Seam Fastball,30.4,,Thin agreement
51,Brandon Lowe,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,543,DraftKings,61.6,WATCH,SPECULATIVE,43,NO CONSENSUS,0,0,66,58.2,72.4,14.2,LOW,10.2,15.6,-5.4,39.8,NO,NO,NO,NO,NO,NO,,72.4,58.2,65.4,68,4-Seam Fastball,28.2,,Thin agreement
52,Zack Gelof,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,450,BetMGM,61.6,WATCH,SPECULATIVE,43,NO CONSENSUS,0,0,64.8,59.2,71.9,12.7,LOW,10.2,18.2,-8,32,NO,NO,NO,NO,NO,NO,,71.9,59.2,62.4,65.8,Slider,25.7,,Thin agreement
53,Marcelo Mayer,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,820,FanDuel,58.4,WATCH,SPECULATIVE,42.9,NO CONSENSUS,0,0,64.9,58.2,68,9.8,MEDIUM,9.8,10.9,-1.1,56.7,NO,NO,NO,NO,NO,NO,,65.5,58.2,67.7,68,4-Seam Fastball,39.2,,Thin agreement
54,Randy Arozarena,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,591,DraftKings,59.4,WATCH,SPECULATIVE,42.8,NO CONSENSUS,0,0,64,60,70.1,10.1,LOW,9.9,14.5,-4.6,42.2,NO,NO,NO,NO,NO,NO,,70.1,60,63.5,62.2,Cutter,21.8,,Thin agreement
55,Carson Kelly,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,680,DraftKings,58.8,WATCH,SPECULATIVE,42.6,NO CONSENSUS,0,0,64.2,59.2,69.6,10.4,MEDIUM,9.8,12.8,-3,51,NO,NO,NO,NO,NO,NO,,69.6,59.2,67.1,60.8,4-Seam Fastball,25.7,,Thin agreement
56,Alex Bregman,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,576,DraftKings,59.2,WATCH,SPECULATIVE,42.4,NO CONSENSUS,0,0,63.6,59,69.7,10.7,LOW,9.9,14.8,-4.9,41.3,NO,NO,NO,NO,NO,NO,,69.7,59,64.3,61.3,4-Seam Fastball,25.7,,Thin agreement
57,Bryce Harper,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,Sonny Gray,490,FanDuel,62.6,WATCH,SPECULATIVE,42.2,NO CONSENSUS,1,1,66.4,57.5,72.4,14.9,LOW,10.3,16.9,-6.6,36.2,NO,NO,NO,NO,NO,NO,,72.4,57.5,65.2,70.4,4-Seam Fastball,11.4,,Thin agreement
58,Carlos Narváez,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,850,Caesars,57.8,PASS,SPECULATIVE,42.1,NO CONSENSUS,0,0,64,58.8,69.6,10.8,MEDIUM,9.7,10.5,-0.8,57.6,NO,NO,NO,NO,NO,NO,,69.6,58.8,66,61.6,Sinker,13.4,,Thin agreement
59,George Springer,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,503,DraftKings,58.4,WATCH,SPECULATIVE,42,NO CONSENSUS,0,0,61.9,58.3,67.4,9.1,LOW,9.8,16.6,-6.8,35.6,NO,NO,NO,NO,NO,NO,,67.4,58.3,59.6,62.2,4-Seam Fastball,30.4,,Thin agreement
60,Mark Vientos,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,Framber Valdez,570,FanDuel,61.5,WATCH,SPECULATIVE,41.5,NO CONSENSUS,1,1,66.5,57.5,73.6,16.1,LOW,10.2,14.9,-4.7,41.9,NO,NO,NO,NO,NO,NO,,69.7,57.5,65.1,73.6,Sinker,39.9,,Thin agreement
61,Colson Montgomery,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,350,BetMGM,62.9,WATCH,SPECULATIVE,41.3,NO CONSENSUS,1,1,66.1,57.2,74.8,17.6,LOW,10.3,22.2,-11.9,14.3,NO,NO,NO,NO,NO,NO,,71.4,57.2,61,74.8,Cutter,15.9,,Thin agreement
62,Riley Greene,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,Christian Scott,423,DraftKings,62.4,WATCH,SPECULATIVE,40.9,NO CONSENSUS,1,1,65.9,56.5,74.6,18.1,MEDIUM,10.3,19.1,-8.8,23.6,NO,NO,NO,NO,NO,NO,,70.3,56.5,62.2,74.6,Sweeper,15.6,,Thin agreement
63,Spencer Torkelson,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,Christian Scott,500,BetMGM,61.5,WATCH,SPECULATIVE,40.8,NO CONSENSUS,1,1,65.2,57.1,73.7,16.6,LOW,10.2,16.7,-6.5,36.5,NO,NO,NO,NO,NO,NO,,69.3,57.1,60.6,73.7,Sweeper,15.6,,Thin agreement
64,Miguel Vargas,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,550,BetMGM,60.4,WATCH,SPECULATIVE,40.5,NO CONSENSUS,1,1,64.5,55.8,71.3,15.5,LOW,10,15.4,-5.4,39.8,NO,NO,NO,NO,NO,NO,,71.3,55.8,60.6,70.4,Sweeper,12.6,,Thin agreement
65,Will Smith,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,420,FanDuel,61.6,WATCH,SPECULATIVE,40.2,NO CONSENSUS,1,1,64.9,55.9,74,18.1,MEDIUM,10.2,19.2,-9,23,NO,NO,NO,NO,NO,NO,,69.4,55.9,60.4,74,4-Seam Fastball,52.4,,Thin agreement
66,Jeff McNeil,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,1200,FanDuel,50.6,PASS,SPECULATIVE,39.9,NO CONSENSUS,0,0,64,58,67.7,9.7,HIGH,8.7,7.7,1,63,NO,NO,NO,NO,NO,NO,,64.6,58,67.7,65.6,4-Seam Fastball,32.4,,Thin agreement
67,Freddie Freeman,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,520,FanDuel,60.6,WATCH,SPECULATIVE,39,NO CONSENSUS,1,1,64.7,55.3,75.4,20.1,MEDIUM,10,16.1,-6.1,37.7,NO,NO,NO,NO,NO,NO,,68.6,55.3,59.4,75.4,4-Seam Fastball,52.4,,Thin agreement
68,Caleb Durbin,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,1220,DraftKings,50.8,PASS,SPECULATIVE,39,NO CONSENSUS,1,1,64.5,60.9,71.2,10.3,HIGH,8.8,7.6,1.2,63.6,NO,NO,NO,NO,NO,NO,,61.6,60.9,71.2,64.3,Slider,17,,Thin agreement
69,Andy Pages,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,490,FanDuel,56.9,PASS,SPECULATIVE,37.3,NO CONSENSUS,1,1,64.3,54.5,75.6,21.1,MEDIUM,9.6,16.9,-7.3,34.1,NO,NO,NO,NO,NO,NO,,68.1,54.5,59.1,75.6,4-Seam Fastball,52.4,,Thin agreement
70,Byron Buxton,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,330,DraftKings,58.5,WATCH,SPECULATIVE,37.2,NO CONSENSUS,1,1,65.7,53.9,78.2,24.3,MEDIUM,9.8,23.3,-13.5,9.5,NO,NO,NO,NO,NO,NO,,70.4,53.9,60.1,78.2,Sweeper,29.9,PITCH|CONTACT,Thin agreement
71,Nolan Gorman,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,650,BetMGM,54.7,PASS,SPECULATIVE,37,NO CONSENSUS,1,1,63.4,53.2,71.6,18.4,MEDIUM,9.3,13.3,-4,48,NO,NO,NO,NO,NO,NO,,67.9,53.2,60.7,71.6,Sinker,31.7,,Thin agreement
72,Jackson Chourio,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Michael King,725,BetMGM,54.1,PASS,SPECULATIVE,37,NO CONSENSUS,1,1,63.3,53,70.9,17.9,MEDIUM,9.2,12.1,-2.9,51.3,NO,NO,NO,NO,NO,NO,,69.4,53,59.8,70.9,Sinker,20.8,,Thin agreement
73,Andrew Benintendi,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,650,BetMGM,53.5,PASS,SPECULATIVE,36.6,NO CONSENSUS,1,1,61.9,53.5,70.2,16.7,MEDIUM,9.1,13.3,-4.2,47.4,NO,NO,NO,NO,NO,NO,,65.9,53.5,58,70.2,4-Seam Fastball,15.6,,Thin agreement
74,Josh Jung,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,550,DraftKings,60.7,WATCH,SPECULATIVE,35.9,NO CONSENSUS,0,1,65,57.7,70,12.3,LOW,10,15.4,-5.4,39.8,NO,NO,NO,NO,NO,NO,,70,57.7,62.8,69.5,4-Seam Fastball,61,,Thin agreement
75,Hunter Goodman,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,407,DraftKings,57.1,PASS,SPECULATIVE,35.8,NO CONSENSUS,1,1,64.4,53.1,78.8,25.7,MEDIUM,9.6,19.7,-10.1,19.7,NO,NO,NO,NO,NO,NO,VOLATILE,67.2,53.1,58.5,78.8,4-Seam Fastball,39.7,PITCH,Thin agreement
76,Michael Harris II,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,Shota Imanaga,590,DraftKings,56.4,PASS,SPECULATIVE,35.5,NO CONSENSUS,1,1,65.2,52.6,79.1,26.5,MEDIUM,9.5,14.5,-5,41,NO,NO,NO,NO,NO,NO,VOLATILE,68.9,52.6,60.2,79.1,4-Seam Fastball,34.6,PITCH|CONTACT|VALUE,Thin agreement
77,Salvador Perez,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,430,FanDuel,60.3,WATCH,SPECULATIVE,35.3,NO CONSENSUS,0,1,63.3,57.2,69,11.8,LOW,10,18.9,-8.9,23.3,NO,NO,NO,NO,NO,NO,,69,57.2,59.5,67.6,4-Seam Fastball,25.1,,Thin agreement
78,Colby Thomas,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,430,FanDuel,60,WATCH,SPECULATIVE,34.4,NO CONSENSUS,0,1,62.8,57.3,70.8,13.5,LOW,10,18.9,-8.9,23.3,NO,NO,NO,NO,NO,NO,,70.8,57.3,59.4,63.7,Slider,25.7,,Thin agreement
79,Dillon Dingler,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,Christian Scott,525,BetMGM,59.7,WATCH,SPECULATIVE,34.4,NO CONSENSUS,0,1,63.6,55.9,70,14.1,LOW,9.9,16,-6.1,37.7,NO,NO,NO,NO,NO,NO,,70,55.9,59.6,68.8,Sweeper,15.6,,Thin agreement
80,Daulton Varsho,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,520,FanDuel,58.2,WATCH,SPECULATIVE,34.4,NO CONSENSUS,0,1,61.8,55.7,66.1,10.4,LOW,9.7,16.1,-6.4,36.8,NO,NO,NO,NO,NO,NO,,66.1,55.7,59.6,65.6,4-Seam Fastball,30.4,,Thin agreement
81,Adrian Del Castillo,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,780,DraftKings,56.5,PASS,SPECULATIVE,34.3,NO CONSENSUS,0,1,62.3,55.5,65.2,9.7,MEDIUM,9.5,11.4,-1.9,54.3,NO,NO,NO,NO,NO,NO,,65.2,55.5,63.6,64.8,Sinker,32.6,,Thin agreement
82,Evan Carter,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,770,DraftKings,57.9,PASS,SPECULATIVE,34.1,NO CONSENSUS,0,1,64,55.2,68.9,13.7,MEDIUM,9.7,11.5,-1.8,54.6,NO,NO,NO,NO,NO,NO,,67,55.2,64.7,68.9,4-Seam Fastball,61,,Thin agreement
83,Daylen Lile,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,820,FanDuel,56.8,PASS,SPECULATIVE,34,NO CONSENSUS,0,1,62.7,56.5,67.7,11.2,MEDIUM,9.5,10.9,-1.4,55.8,NO,NO,NO,NO,NO,NO,,67.7,56.5,65.2,61.3,4-Seam Fastball,23.1,,Thin agreement
84,Jesús Sánchez,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,690,DraftKings,56.6,PASS,SPECULATIVE,33.9,NO CONSENSUS,0,1,61.5,56.1,66.2,10.1,MEDIUM,9.5,12.7,-3.2,50.4,NO,NO,NO,NO,NO,NO,,66.2,56.1,63,60.8,4-Seam Fastball,30.4,,Thin agreement
85,Brendan Donovan,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,589,DraftKings,57.6,PASS,SPECULATIVE,33.2,NO CONSENSUS,0,1,61.6,56,69.1,13.1,LOW,9.6,14.5,-4.9,41.3,NO,NO,NO,NO,NO,NO,,69.1,56,59.9,61.4,Sinker,20.3,,Thin agreement
86,Carter Jensen,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,800,BetMGM,56.2,PASS,SPECULATIVE,33.1,NO CONSENSUS,0,1,61.7,55,67.1,12.1,MEDIUM,9.5,11.1,-1.6,55.2,NO,NO,NO,NO,NO,NO,,67.1,55,59.6,65.2,Sinker,23.1,,Thin agreement
87,Alec Burleson,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,575,Caesars,55.1,PASS,SPECULATIVE,32.6,NO CONSENSUS,0,1,63.5,54.8,69.3,14.5,LOW,9.3,14.8,-5.5,39.5,NO,NO,NO,NO,NO,NO,,68.4,54.8,61.4,69.3,4-Seam Fastball,14.3,,Thin agreement
88,Xavier Edwards,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,950,Caesars,50.4,PASS,SPECULATIVE,32.4,NO CONSENSUS,0,1,62.8,57.7,67.3,9.6,HIGH,8.7,9.5,-0.8,57.6,NO,NO,NO,NO,NO,NO,,62.3,57.7,67.3,63.7,4-Seam Fastball,37.7,,Thin agreement
