name,team,game,lineup_spot,commence_time,game_pk,side,status,confirmed
Bo Bichette,New York Mets,Detroit Tigers @ New York Mets,2,2026-05-13T23:10:00Z,823631,home,Pre-Game,yes
Colt Keith,Detroit Tigers,Detroit Tigers @ New York Mets,3,2026-05-13T23:10:00Z,823631,away,Pre-Game,yes
Juan Soto,New York Mets,Detroit Tigers @ New York Mets,3,2026-05-13T23:10:00Z,823631,home,Pre-Game,yes
Riley Greene,Detroit Tigers,Detroit Tigers @ New York Mets,4,2026-05-13T23:10:00Z,823631,away,Pre-Game,yes
Mark Vientos,New York Mets,Detroit Tigers @ New York Mets,4,2026-05-13T23:10:00Z,823631,home,Pre-Game,yes
Matt Vierling,Detroit Tigers,Detroit Tigers @ New York Mets,5,2026-05-13T23:10:00Z,823631,away,Pre-Game,yes
Marcus Semien,New York Mets,Detroit Tigers @ New York Mets,5,2026-05-13T23:10:00Z,823631,home,Pre-Game,yes
Wenceel Pérez,Detroit Tigers,Detroit Tigers @ New York Mets,6,2026-05-13T23:10:00Z,823631,away,Pre-Game,yes
Brett Baty,New York Mets,Detroit Tigers @ New York Mets,6,2026-05-13T23:10:00Z,823631,home,Pre-Game,yes
Spencer Torkelson,Detroit Tigers,Detroit Tigers @ New York Mets,7,2026-05-13T23:10:00Z,823631,away,Pre-Game,yes
Tyrone Taylor,New York Mets,Detroit Tigers @ New York Mets,7,2026-05-13T23:10:00Z,823631,home,Pre-Game,yes
Zach McKinstry,Detroit Tigers,Detroit Tigers @ New York Mets,8,2026-05-13T23:10:00Z,823631,away,Pre-Game,yes
A.J. Ewing,New York Mets,Detroit Tigers @ New York Mets,8,2026-05-13T23:10:00Z,823631,home,Pre-Game,yes
Zack Short,Detroit Tigers,Detroit Tigers @ New York Mets,9,2026-05-13T23:10:00Z,823631,away,Pre-Game,yes
Luis Torrens,New York Mets,Detroit Tigers @ New York Mets,9,2026-05-13T23:10:00Z,823631,home,Pre-Game,yes
Mauricio Dubón,Atlanta Braves,Chicago Cubs @ Atlanta Braves,1,2026-05-13T23:15:00Z,824928,home,Pre-Game,yes
Drake Baldwin,Atlanta Braves,Chicago Cubs @ Atlanta Braves,2,2026-05-13T23:15:00Z,824928,home,Pre-Game,yes
Ozzie Albies,Atlanta Braves,Chicago Cubs @ Atlanta Braves,3,2026-05-13T23:15:00Z,824928,home,Pre-Game,yes
Matt Olson,Atlanta Braves,Chicago Cubs @ Atlanta Braves,4,2026-05-13T23:15:00Z,824928,home,Pre-Game,yes
Austin Riley,Atlanta Braves,Chicago Cubs @ Atlanta Braves,5,2026-05-13T23:15:00Z,824928,home,Pre-Game,yes
Michael Harris II,Atlanta Braves,Chicago Cubs @ Atlanta Braves,6,2026-05-13T23:15:00Z,824928,home,Pre-Game,yes
Ha-Seong Kim,Atlanta Braves,Chicago Cubs @ Atlanta Braves,7,2026-05-13T23:15:00Z,824928,home,Pre-Game,yes
Sandy León,Atlanta Braves,Chicago Cubs @ Atlanta Braves,8,2026-05-13T23:15:00Z,824928,home,Pre-Game,yes
José Azocar,Atlanta Braves,Chicago Cubs @ Atlanta Braves,9,2026-05-13T23:15:00Z,824928,home,Pre-Game,yes
Maikel Garcia,Kansas City Royals,Kansas City Royals @ Chicago White Sox,1,2026-05-13T23:40:00Z,824603,away,Pre-Game,yes
Sam Antonacci,Chicago White Sox,Kansas City Royals @ Chicago White Sox,1,2026-05-13T23:40:00Z,824603,home,Pre-Game,yes
Bobby Witt Jr.,Kansas City Royals,Kansas City Royals @ Chicago White Sox,2,2026-05-13T23:40:00Z,824603,away,Pre-Game,yes
Munetaka Murakami,Chicago White Sox,Kansas City Royals @ Chicago White Sox,2,2026-05-13T23:40:00Z,824603,home,Pre-Game,yes
Lane Thomas,Kansas City Royals,Kansas City Royals @ Chicago White Sox,3,2026-05-13T23:40:00Z,824603,away,Pre-Game,yes
Miguel Vargas,Chicago White Sox,Kansas City Royals @ Chicago White Sox,3,2026-05-13T23:40:00Z,824603,home,Pre-Game,yes
Salvador Perez,Kansas City Royals,Kansas City Royals @ Chicago White Sox,4,2026-05-13T23:40:00Z,824603,away,Pre-Game,yes
Colson Montgomery,Chicago White Sox,Kansas City Royals @ Chicago White Sox,4,2026-05-13T23:40:00Z,824603,home,Pre-Game,yes
Nick Loftin,Kansas City Royals,Kansas City Royals @ Chicago White Sox,5,2026-05-13T23:40:00Z,824603,away,Pre-Game,yes
Chase Meidroth,Chicago White Sox,Kansas City Royals @ Chicago White Sox,5,2026-05-13T23:40:00Z,824603,home,Pre-Game,yes
Vinnie Pasquantino,Kansas City Royals,Kansas City Royals @ Chicago White Sox,6,2026-05-13T23:40:00Z,824603,away,Pre-Game,yes
Andrew Benintendi,Chicago White Sox,Kansas City Royals @ Chicago White Sox,6,2026-05-13T23:40:00Z,824603,home,Pre-Game,yes
Starling Marte,Kansas City Royals,Kansas City Royals @ Chicago White Sox,7,2026-05-13T23:40:00Z,824603,away,Pre-Game,yes
Jarred Kelenic,Chicago White Sox,Kansas City Royals @ Chicago White Sox,7,2026-05-13T23:40:00Z,824603,home,Pre-Game,yes
Isaac Collins,Kansas City Royals,Kansas City Royals @ Chicago White Sox,8,2026-05-13T23:40:00Z,824603,away,Pre-Game,yes
Tristan Peters,Chicago White Sox,Kansas City Royals @ Chicago White Sox,8,2026-05-13T23:40:00Z,824603,home,Pre-Game,yes
Elias Díaz,Kansas City Royals,Kansas City Royals @ Chicago White Sox,9,2026-05-13T23:40:00Z,824603,away,Pre-Game,yes
Drew Romo,Chicago White Sox,Kansas City Royals @ Chicago White Sox,9,2026-05-13T23:40:00Z,824603,home,Pre-Game,yes
Ketel Marte,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,1,2026-05-14T00:05:00Z,822900,away,Pre-Game,yes
Corbin Carroll,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,2,2026-05-14T00:05:00Z,822900,away,Pre-Game,yes
Geraldo Perdomo,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,3,2026-05-14T00:05:00Z,822900,away,Pre-Game,yes
Nolan Arenado,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,4,2026-05-14T00:05:00Z,822900,away,Pre-Game,yes
Ildemaro Vargas,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,5,2026-05-14T00:05:00Z,822900,away,Pre-Game,yes
Lourdes Gurriel Jr.,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,6,2026-05-14T00:05:00Z,822900,away,Pre-Game,yes
Adrian Del Castillo,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,7,2026-05-14T00:05:00Z,822900,away,Pre-Game,yes
Gabriel Moreno,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,8,2026-05-14T00:05:00Z,822900,away,Pre-Game,yes
Ryan Waldschmidt,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,9,2026-05-14T00:05:00Z,822900,away,Pre-Game,yes
