name,team,game,lineup_spot,player_id,avg,obp,ops,slg,iso,hits,doubles,triples,home_runs,extra_base_hits,total_bases,rbi,walks,strikeouts,plate_appearances,at_bats,strikeout_rate,walk_rate,hit_rate,total_bases_per_at_bat,stat_status
Christopher Morel,Miami Marlins,Miami Marlins @ Minnesota Twins,,666624,.171,.237,.437,0.200,0.029,6,1,0,0,1,7,1,2,14,38,35,36.8,5.3,17.1,0.200,ok
Seiya Suzuki,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,673548,.266,.377,.863,0.486,0.220,29,3,0,7,10,53,16,18,32,130,109,24.6,13.8,26.6,0.486,ok
Moisés Ballesteros,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,694208,.248,.308,.775,0.467,0.219,26,5,0,6,11,49,20,10,22,117,105,18.8,8.5,24.8,0.467,ok
Jake Burger,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,669394,.226,.262,.652,0.390,0.164,36,5,0,7,12,62,27,7,45,168,159,26.8,4.2,22.6,0.390,ok
Josh Naylor,Seattle Mariners,Seattle Mariners @ Houston Astros,,647304,.247,.311,.678,0.367,0.120,41,5,0,5,10,61,20,15,30,183,166,16.4,8.2,24.7,0.367,ok
Connor Norby,Miami Marlins,Miami Marlins @ Minnesota Twins,,681393,.234,.338,.709,0.371,0.137,29,8,0,3,11,46,12,15,45,145,124,31.0,10.3,23.4,0.371,ok
Brandon Nimmo,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,607043,.281,.359,.784,0.425,0.144,45,7,2,4,13,68,12,17,35,181,160,19.3,9.4,28.1,0.425,ok
Heriberto Hernández,Miami Marlins,Miami Marlins @ Minnesota Twins,,681715,.162,.279,.468,0.189,0.027,12,0,1,0,1,14,11,11,15,86,74,17.4,12.8,16.2,0.189,ok
Michael Busch,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,683737,.232,.349,.704,0.355,0.123,36,8,1,3,12,55,23,27,42,186,155,22.6,14.5,23.2,0.355,ok
Zack Gelof,Athletics,St. Louis Cardinals @ Athletics,,680869,.270,.316,.843,0.527,0.257,20,2,1,5,8,39,13,5,19,81,74,23.5,6.2,27.0,0.527,ok
Yordan Alvarez,Houston Astros,Seattle Mariners @ Houston Astros,,670541,.321,.429,1.071,0.642,0.321,53,11,0,14,25,106,30,28,31,198,165,15.7,14.1,32.1,0.642,ok
Dansby Swanson,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,621020,.190,.302,.654,0.352,0.162,27,3,1,6,10,50,25,23,36,169,142,21.3,13.6,19.0,0.352,ok
Pete Crow-Armstrong,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,691718,.239,.309,.680,0.371,0.132,38,5,2,4,11,59,17,13,45,176,159,25.6,7.4,23.9,0.371,ok
Ivan Herrera,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,671056,.264,.396,.805,0.409,0.145,42,11,0,4,15,65,20,28,33,197,159,16.8,14.2,26.4,0.409,ok
Joc Pederson,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,592626,.214,.322,.659,0.337,0.122,21,3,0,3,6,33,9,16,28,118,98,23.7,13.6,21.4,0.337,ok
Colby Thomas,Athletics,St. Louis Cardinals @ Athletics,,687515,.357,.400,.900,0.500,0.143,10,1,0,1,2,14,3,2,7,31,28,22.6,6.5,35.7,0.500,ok
Byron Buxton,Minnesota Twins,Miami Marlins @ Minnesota Twins,,621439,.260,.319,.899,0.580,0.320,44,7,1,15,23,98,23,13,47,185,169,25.4,7.0,26.0,0.580,ok
Randy Arozarena,Seattle Mariners,Seattle Mariners @ Houston Astros,,668227,.301,.389,.843,0.454,0.153,49,11,1,4,16,74,16,19,45,190,163,23.7,10.0,30.1,0.454,ok
Josh Jung,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,673962,.325,.372,.882,0.510,0.185,49,13,0,5,18,77,20,10,26,164,151,15.9,6.1,32.5,0.510,ok
Alex Bregman,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,608324,.247,.335,.694,0.359,0.112,42,5,1,4,10,61,14,22,33,194,170,17.0,11.3,24.7,0.359,ok
Carlos Narváez,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,,665966,.217,.278,.615,0.337,0.120,18,4,0,2,6,28,3,5,24,91,83,26.4,5.5,21.7,0.337,ok
Carson Kelly,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,608348,.284,.376,.758,0.382,0.098,29,4,0,2,6,39,13,14,19,117,102,16.2,12.0,28.4,0.382,ok
Will Smith,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,669257,.256,.324,.679,0.355,0.099,31,3,0,3,6,43,17,13,23,136,121,16.9,9.6,25.6,0.355,ok
Jackson Chourio,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,694192,.286,.342,.713,0.371,0.086,10,3,0,0,3,13,3,3,10,38,35,26.3,7.9,28.6,0.371,ok
Brendan Donovan,Seattle Mariners,Seattle Mariners @ Houston Astros,,680977,.278,.396,.864,0.468,0.190,22,4,1,3,8,37,8,11,13,96,79,13.5,11.5,27.8,0.468,ok
Zach Cole,Houston Astros,Seattle Mariners @ Houston Astros,,805904,.250,.276,.776,0.500,0.250,7,1,0,2,3,14,6,0,12,29,28,41.4,0.0,25.0,0.500,ok
Freddie Freeman,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,518692,.277,.350,.784,0.434,0.157,44,11,1,4,16,69,20,17,22,177,159,12.4,9.6,27.7,0.434,ok
Owen Caissie,Miami Marlins,Miami Marlins @ Minnesota Twins,,683357,.208,.267,.616,0.349,0.142,22,6,0,3,9,37,19,8,49,120,106,40.8,6.7,20.8,0.349,ok
Alec Burleson,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,676475,.273,.342,.790,0.448,0.176,45,11,0,6,17,74,30,18,29,184,165,15.8,9.8,27.3,0.448,ok
Otto Lopez,Miami Marlins,Miami Marlins @ Minnesota Twins,,672640,.339,.370,.867,0.497,0.158,58,11,2,4,17,85,19,7,32,181,171,17.7,3.9,33.9,0.497,ok
Andy Pages,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,681624,.312,.360,.895,0.535,0.223,49,8,0,9,17,84,35,11,35,172,157,20.3,6.4,31.2,0.535,ok
Dalton Rushing,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,687221,.302,.371,1.038,0.667,0.365,19,2,0,7,9,42,17,4,18,70,63,25.7,5.7,30.2,0.667,ok
Nolan Gorman,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,669357,.227,.304,.666,0.362,0.135,32,4,0,5,9,51,23,17,45,161,141,28.0,10.6,22.7,0.362,ok
Hunter Goodman,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,,696100,.247,.311,.811,0.500,0.253,37,8,0,10,18,75,18,11,59,164,150,36.0,6.7,24.7,0.500,ok
Carter Jensen,Kansas City Royals,Kansas City Royals @ Chicago White Sox,,695600,.234,.326,.737,0.411,0.177,29,4,0,6,10,51,18,17,45,144,124,31.3,11.8,23.4,0.411,ok
Evan Carter,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,694497,.178,.301,.634,0.333,0.155,23,5,0,5,10,43,13,22,34,156,129,21.8,14.1,17.8,0.333,ok
Teoscar Hernández,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,606192,.248,.325,.697,0.372,0.124,34,5,0,4,9,51,18,15,44,154,137,28.6,9.7,24.8,0.372,ok
Christian Walker,Houston Astros,Seattle Mariners @ Houston Astros,,572233,.270,.344,.859,0.515,0.245,44,10,0,10,20,84,29,17,34,183,163,18.6,9.3,27.0,0.515,ok
Ryan Jeffers,Minnesota Twins,Miami Marlins @ Minnesota Twins,,680777,.294,.409,.941,0.532,0.239,32,6,1,6,13,58,25,21,23,133,109,17.3,15.8,29.4,0.532,ok
Casey Schmitt,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,669477,.285,.338,.838,0.500,0.215,37,8,1,6,15,65,18,6,28,142,130,19.7,4.2,28.5,0.500,ok
Danny Jansen,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,643376,.195,.286,.619,0.333,0.138,17,4,1,2,7,29,9,8,28,99,87,28.3,8.1,19.5,0.333,ok
Ceddanne Rafaela,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,,678882,.275,.338,.758,0.420,0.145,38,4,2,4,10,58,19,8,35,151,138,23.2,5.3,27.5,0.420,ok
Jeff McNeil,Athletics,St. Louis Cardinals @ Athletics,,643446,.276,.343,.705,0.362,0.087,35,8,0,1,9,46,12,11,19,144,127,13.2,7.6,27.6,0.362,ok
Fernando Tatis Jr.,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,665487,.244,.318,.606,0.288,0.045,38,5,1,0,6,45,15,18,45,180,156,25.0,10.0,24.4,0.288,ok
Mookie Betts,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,605141,.171,.244,.659,0.415,0.244,7,1,0,3,4,17,8,3,5,45,41,11.1,6.7,17.1,0.415,ok
Ramón Laureano,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,657656,.214,.296,.675,0.379,0.164,30,4,2,5,11,53,19,16,50,159,140,31.4,10.1,21.4,0.379,ok
Kyle Tucker,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,663656,.260,.359,.775,0.416,0.156,40,12,0,4,16,64,20,24,35,181,154,19.3,13.3,26.0,0.416,ok
Jake Bauers,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,641343,.268,.345,.817,0.472,0.205,34,8,0,6,14,60,21,15,31,142,127,21.8,10.6,26.8,0.472,ok
Jackson Merrill,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,701538,.215,.287,.629,0.342,0.127,34,8,0,4,12,54,18,15,44,176,158,25.0,8.5,21.5,0.342,ok
Kody Clemens,Minnesota Twins,Miami Marlins @ Minnesota Twins,,665019,.222,.325,.739,0.414,0.192,22,7,0,4,11,41,10,11,31,116,99,26.7,9.5,22.2,0.414,ok
Brice Turang,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,668930,.298,.422,.933,0.511,0.213,42,10,1,6,17,72,27,31,35,175,141,20.0,17.7,29.8,0.511,ok
Gavin Sheets,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,657757,.229,.289,.747,0.458,0.229,27,9,0,6,15,54,16,9,26,128,118,20.3,7.0,22.9,0.458,ok
Darell Hernaiz,Athletics,St. Louis Cardinals @ Athletics,,687231,.242,.329,.619,0.290,0.048,15,0,0,1,1,18,5,8,13,71,62,18.3,11.3,24.2,0.290,ok
Xavier Edwards,Miami Marlins,Miami Marlins @ Minnesota Twins,,669364,.313,.402,.877,0.475,0.163,50,8,3,4,15,76,15,24,20,185,160,10.8,13.0,31.3,0.475,ok
Heliot Ramos,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,671218,.272,.314,.751,0.437,0.165,43,12,1,4,17,69,20,10,46,169,158,27.2,5.9,27.2,0.437,ok
Cole Young,Seattle Mariners,Seattle Mariners @ Houston Astros,,702284,.248,.328,.691,0.363,0.115,39,7,1,3,11,57,24,15,41,177,157,23.2,8.5,24.8,0.363,ok
Cesar Prieto,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,693409,.000,.000,.000,0.000,0.000,0,0,0,0,0,0,0,0,1,5,5,20.0,0.0,0.0,0.000,ok
Junior Caminero,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,691406,.255,.339,.817,0.478,0.224,41,3,0,11,14,77,19,21,30,183,161,16.4,11.5,25.5,0.478,ok
Jakob Marsee,Miami Marlins,Miami Marlins @ Minnesota Twins,,805300,.176,.298,.562,0.264,0.088,28,4,2,2,8,42,13,24,48,189,159,25.4,12.7,17.6,0.264,ok
Royce Lewis,Minnesota Twins,Miami Marlins @ Minnesota Twins,,668904,.161,.269,.559,0.290,0.129,15,3,0,3,6,27,12,12,31,108,93,28.7,11.1,16.1,0.290,ok
Pedro Pagés,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,686780,.209,.255,.596,0.341,0.132,19,3,0,3,6,31,8,4,25,100,91,25.0,4.0,20.9,0.341,ok
Nathan Church,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,701675,.244,.279,.681,0.402,0.157,31,5,0,5,10,51,18,5,28,136,127,20.6,3.7,24.4,0.402,ok
Rafael Devers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,646240,.247,.295,.690,0.395,0.148,40,9,0,5,14,64,18,12,54,176,162,30.7,6.8,24.7,0.395,ok
Jonathan Aranda,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,666018,.284,.387,.867,0.480,0.196,42,5,0,8,13,71,33,25,42,181,148,23.2,13.8,28.4,0.480,ok
Cam Smith,Houston Astros,Seattle Mariners @ Houston Astros,,701358,.203,.294,.618,0.324,0.122,30,6,0,4,10,48,17,18,48,171,148,28.1,10.5,20.3,0.324,ok
Manny Machado,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,592518,.190,.287,.627,0.340,0.150,28,4,0,6,10,50,20,21,38,172,147,22.1,12.2,19.0,0.340,ok
Nick Yorke,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,,694377,.205,.289,.577,0.288,0.082,15,3,0,1,4,21,6,7,16,83,73,19.3,8.4,20.5,0.288,ok
Liam Hicks,Miami Marlins,Miami Marlins @ Minnesota Twins,,689414,.295,.358,.881,0.523,0.227,39,3,0,9,12,69,38,12,12,151,132,7.9,7.9,29.5,0.523,ok
James McCann,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,,543510,.200,.214,.469,0.255,0.055,11,3,0,0,3,14,6,1,17,58,55,29.3,1.7,20.0,0.255,ok
Billy Cook,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,,695257,.190,.190,.380,0.190,0.000,4,0,0,0,0,4,0,0,8,21,21,38.1,0.0,19.0,0.190,ok
Josh Bell,Minnesota Twins,Miami Marlins @ Minnesota Twins,,605137,.214,.282,.607,0.325,0.110,33,8,0,3,11,50,24,14,41,170,154,24.1,8.2,21.4,0.325,ok
Joe Mack,Miami Marlins,Miami Marlins @ Minnesota Twins,,691788,.222,.250,.583,0.333,0.111,6,3,0,0,3,9,2,1,9,28,27,32.1,3.6,22.2,0.333,ok
J.P. Crawford,Seattle Mariners,Seattle Mariners @ Houston Astros,,641487,.215,.363,.725,0.362,0.146,28,4,0,5,9,47,15,28,24,160,130,15.0,17.5,21.5,0.362,ok
Ezequiel Duran,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,677649,.294,.365,.845,0.480,0.186,30,8,1,3,12,49,16,12,25,116,102,21.6,10.3,29.4,0.480,ok
Ke'Bryan Hayes,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,,663647,.150,.202,.445,0.243,0.093,16,2,1,2,5,26,5,7,19,114,107,16.7,6.1,15.0,0.243,ok
Brice Matthews,Houston Astros,Seattle Mariners @ Houston Astros,,694728,.196,.252,.625,0.373,0.176,20,4,1,4,9,38,13,8,37,112,102,33.0,7.1,19.6,0.373,ok
William Contreras,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,661388,.281,.362,.754,0.392,0.111,43,8,0,3,11,60,26,19,20,174,153,11.5,10.9,28.1,0.392,ok
Garrett Mitchell,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,669003,.216,.343,.671,0.328,0.112,25,8,1,1,10,38,22,22,52,141,116,36.9,15.6,21.6,0.328,ok
Sung-Mun Song,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,823550,.154,.313,.544,0.231,0.077,2,1,0,0,1,3,3,3,4,16,13,25.0,18.8,15.4,0.231,ok
Trea Turner,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,,607208,.230,.282,.621,0.339,0.109,40,7,0,4,11,59,13,13,39,188,174,20.7,6.9,23.0,0.339,ok
Willy Adames,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,642715,.222,.253,.598,0.345,0.123,38,12,0,3,15,59,11,6,53,178,171,29.8,3.4,22.2,0.345,ok
Xander Bogaerts,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,593428,.257,.331,.745,0.414,0.158,39,3,0,7,10,63,23,17,28,169,152,16.6,10.1,25.7,0.414,ok
Jorge Mateo,Atlanta Braves,Chicago Cubs @ Atlanta Braves,,622761,.309,.345,.800,0.455,0.145,17,2,0,2,4,25,6,3,19,58,55,32.8,5.2,30.9,0.455,ok
Andrew Vaughn,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,683734,.292,.433,.933,0.500,0.208,7,2,0,1,3,12,6,4,4,30,24,13.3,13.3,29.2,0.500,ok
Alejandro Osuna,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,696030,.270,.438,.735,0.297,0.027,10,1,0,0,1,11,6,7,10,48,37,20.8,14.6,27.0,0.297,ok
Vidal Bruján,New York Mets,Detroit Tigers @ New York Mets,,660644,.000,.250,.250,0.000,0.000,0,0,0,0,0,0,0,1,0,4,3,0.0,25.0,0.0,0.000,ok
César Salazar,Houston Astros,Seattle Mariners @ Houston Astros,,663967,.125,.300,.425,0.125,0.000,1,0,0,0,0,1,0,2,0,10,8,0.0,20.0,12.5,0.125,ok
Yandy Díaz,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,650490,.297,.375,.807,0.432,0.135,46,4,1,5,10,67,24,14,22,176,155,12.5,8.0,29.7,0.432,ok
Mike Yastrzemski,Atlanta Braves,Chicago Cubs @ Atlanta Braves,,573262,.218,.285,.588,0.303,0.084,26,5,1,1,7,36,10,9,32,130,119,24.6,6.9,21.8,0.303,ok
Nico Hoerner,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,663538,.269,.347,.756,0.409,0.140,46,12,0,4,16,70,29,18,15,196,171,7.7,9.2,26.9,0.409,ok
Christian Yelich,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,592885,.291,.350,.768,0.418,0.127,16,2,1,1,4,23,10,5,16,60,55,26.7,8.3,29.1,0.418,ok
Jose Altuve,Houston Astros,Seattle Mariners @ Houston Astros,,514888,.245,.328,.693,0.365,0.119,39,10,0,3,13,58,11,19,34,181,159,18.8,10.5,24.5,0.365,ok
Miguel Andujar,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,609280,.289,.314,.796,0.482,0.193,33,9,2,3,14,55,12,3,23,118,114,19.5,2.5,28.9,0.482,ok
Harrison Bader,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,664056,.136,.161,.432,0.271,0.136,8,2,0,2,4,16,4,2,19,62,59,30.6,3.2,13.6,0.271,ok
Jake Fraley,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,641584,.241,.310,.715,0.405,0.165,19,7,0,2,9,32,5,8,24,87,79,27.6,9.2,24.1,0.405,ok
Willi Castro,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,,650489,.231,.297,.622,0.325,0.094,27,5,0,2,7,38,13,10,42,128,117,32.8,7.8,23.1,0.325,ok
Trevor Larnach,Minnesota Twins,Miami Marlins @ Minnesota Twins,,663616,.268,.398,.779,0.381,0.113,26,6,1,1,8,37,11,20,21,118,97,17.8,16.9,26.8,0.381,ok
Isaac Paredes,Houston Astros,Seattle Mariners @ Houston Astros,,670623,.255,.345,.711,0.366,0.110,37,7,0,3,10,53,17,15,29,165,145,17.6,9.1,25.5,0.366,ok
Matt Chapman,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,656305,.228,.307,.617,0.310,0.082,36,8,1,1,10,49,14,16,42,176,158,23.9,9.1,22.8,0.310,ok
Brooks Lee,Minnesota Twins,Miami Marlins @ Minnesota Twins,,686797,.260,.316,.720,0.404,0.144,38,6,0,5,11,59,24,11,28,159,146,17.6,6.9,26.0,0.404,ok
Freddy Fermin,San Diego Padres,San Diego Padres @ Milwaukee Brewers,,666023,.176,.267,.497,0.230,0.054,13,4,0,0,4,17,3,8,17,86,74,19.8,9.3,17.6,0.230,ok
Jonny DeLuca,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,676356,.280,.316,.757,0.441,0.161,26,9,0,2,11,41,15,5,19,99,93,19.2,5.1,28.0,0.441,ok
Cedric Mullins,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,656775,.150,.204,.432,0.228,0.079,19,2,1,2,5,29,13,6,26,141,127,18.4,4.3,15.0,0.228,ok
Ryan Vilade,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,668723,.281,.339,.778,0.439,0.158,16,3,0,2,5,25,10,5,12,63,57,19.0,7.9,28.1,0.439,ok
Jung Hoo Lee,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,808982,.265,.309,.686,0.377,0.111,43,10,1,2,13,61,14,10,22,175,162,12.6,5.7,26.5,0.377,ok
Nick Fortes,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,663743,.282,.315,.674,0.359,0.078,29,5,0,1,6,37,8,2,16,108,103,14.8,1.9,28.2,0.359,ok
Masyn Winn,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,691026,.259,.337,.694,0.357,0.098,37,7,2,1,10,51,16,14,30,163,143,18.4,8.6,25.9,0.357,ok
Jesus Rodriguez,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,683679,.250,.308,.683,0.375,0.125,6,0,0,1,1,9,4,1,4,26,24,15.4,3.8,25.0,0.375,ok
Taylor Walls,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,670764,.207,.311,.572,0.261,0.054,19,3,1,0,4,24,8,13,26,111,92,23.4,11.7,20.7,0.261,ok
Luis Rengifo,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,650859,.220,.290,.578,0.288,0.068,26,8,0,0,8,34,14,11,14,132,118,10.6,8.3,22.0,0.288,ok
Ben Williamson,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,810938,.270,.352,.694,0.342,0.072,30,6,1,0,7,38,14,14,23,126,111,18.3,11.1,27.0,0.342,ok
Luis Arraez,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,650333,.310,.347,.727,0.380,0.070,49,7,2,0,9,60,14,10,7,173,158,4.0,5.8,31.0,0.380,ok
Luke Keaschall,Minnesota Twins,Miami Marlins @ Minnesota Twins,,807712,.223,.307,.600,0.293,0.070,35,8,0,1,9,46,15,18,29,179,157,16.2,10.1,22.3,0.293,ok
David Hamilton,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,666152,.232,.327,.580,0.253,0.020,23,2,0,0,2,25,7,13,24,118,99,20.3,11.0,23.2,0.253,ok
Victor Scott II,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,687363,.183,.246,.506,0.260,0.077,19,2,0,2,4,27,6,8,34,122,104,27.9,6.6,18.3,0.260,ok
Sal Frelick,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,,686217,.225,.311,.621,0.310,0.085,29,2,0,3,5,40,12,16,19,151,129,12.6,10.6,22.5,0.310,ok
Austin Martin,Minnesota Twins,Miami Marlins @ Minnesota Twins,,668885,.333,.454,.883,0.429,0.095,35,7,0,1,8,45,11,22,18,130,105,13.8,16.9,33.3,0.429,ok
Chandler Simpson,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,,802415,.306,.335,.685,0.350,0.044,49,1,3,0,4,56,12,8,17,173,160,9.8,4.6,30.6,0.350,ok
