name,team,game,lineup_spot,player_id,avg,obp,ops,slg,iso,hits,doubles,triples,home_runs,extra_base_hits,total_bases,rbi,walks,strikeouts,plate_appearances,at_bats,strikeout_rate,walk_rate,hit_rate,total_bases_per_at_bat,stat_status
Elly De La Cruz,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,2,682829,.299,.359,.884,0.525,0.226,53,10,0,10,20,93,29,17,54,195,177,27.7,8.7,29.9,0.525,ok
Brady House,Washington Nationals,Washington Nationals @ Cincinnati Reds,3,691781,.220,.278,.658,0.380,0.160,33,6,0,6,12,57,21,12,47,162,150,29.0,7.4,22.0,0.380,ok
Sal Stewart,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,3,701398,.244,.328,.798,0.470,0.226,41,8,0,10,18,79,30,22,38,192,168,19.8,11.5,24.4,0.470,ok
CJ Abrams,Washington Nationals,Washington Nationals @ Cincinnati Reds,4,682928,.292,.390,.922,0.532,0.240,45,8,1,9,18,82,36,20,36,182,154,19.8,11.0,29.2,0.532,ok
JJ Bleday,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,4,668709,.321,.455,1.210,0.755,0.434,17,3,1,6,10,40,18,13,10,66,53,15.2,19.7,32.1,0.755,ok
Jacob Young,Washington Nationals,Washington Nationals @ Cincinnati Reds,5,696285,.218,.268,.581,0.313,0.095,32,5,0,3,8,46,17,8,27,158,147,17.1,5.1,21.8,0.313,ok
Spencer Steer,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,5,668715,.259,.333,.782,0.449,0.190,38,7,0,7,14,66,14,14,36,165,147,21.8,8.5,25.9,0.449,ok
Daylen Lile,Washington Nationals,Washington Nationals @ Cincinnati Reds,6,695734,.263,.326,.759,0.433,0.170,45,11,0,6,17,74,22,16,34,190,171,17.9,8.4,26.3,0.433,ok
Nathaniel Lowe,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,6,663993,.244,.330,.842,0.512,0.267,21,5,0,6,11,44,16,11,25,97,86,25.8,11.3,24.4,0.512,ok
Joey Wiemer,Washington Nationals,Washington Nationals @ Cincinnati Reds,7,686894,.288,.382,.897,0.515,0.227,19,4,1,3,8,34,10,10,29,76,66,38.2,13.2,28.8,0.515,ok
Tyler Stephenson,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,7,663886,.187,.285,.593,0.308,0.121,20,4,0,3,7,33,11,15,34,123,107,27.6,12.2,18.7,0.308,ok
Nasim Nuñez,Washington Nationals,Washington Nationals @ Cincinnati Reds,8,683083,.202,.310,.536,0.226,0.024,25,1,1,0,2,28,14,19,29,149,124,19.5,12.8,20.2,0.226,ok
TJ Friedl,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,8,670770,.184,.268,.538,0.270,0.085,26,6,0,2,8,38,7,12,37,160,141,23.1,7.5,18.4,0.270,ok
Keibert Ruiz,Washington Nationals,Washington Nationals @ Cincinnati Reds,9,660688,.207,.224,.639,0.415,0.207,17,8,0,3,11,34,15,1,14,85,82,16.5,1.2,20.7,0.415,ok
Matt McLain,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,9,680574,.214,.320,.664,0.344,0.130,33,8,0,4,12,53,16,22,40,179,154,22.3,12.3,21.4,0.344,ok
Kyle Schwarber,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,1,656941,.222,.354,.947,0.593,0.370,36,7,1,17,25,96,28,29,62,195,162,31.8,14.9,22.2,0.593,ok
Jarren Duran,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,1,680776,.180,.236,.536,0.300,0.120,27,6,0,4,10,45,18,10,42,161,150,26.1,6.2,18.0,0.300,ok
Bryce Harper,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,2,547180,.269,.365,.897,0.532,0.263,42,9,1,10,20,83,24,24,30,181,156,16.6,13.3,26.9,0.532,ok
Mickey Gasper,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,2,681508,.455,.500,1.136,0.636,0.182,5,2,0,0,2,7,1,0,1,12,11,8.3,0.0,45.5,0.636,ok
Adolis García,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,3,666969,.223,.287,.637,0.350,0.127,35,6,1,4,11,55,13,13,47,174,157,27.0,7.5,22.3,0.350,ok
Wilyer Abreu,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,3,677800,.306,.382,.853,0.471,0.166,48,6,1,6,13,74,18,20,33,178,157,18.5,11.2,30.6,0.471,ok
Brandon Marsh,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,4,669016,.336,.364,.847,0.483,0.147,48,7,1,4,12,69,21,7,29,154,143,18.8,4.5,33.6,0.483,ok
Willson Contreras,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,4,575929,.254,.370,.828,0.458,0.204,36,5,0,8,13,65,23,20,48,173,142,27.7,11.6,25.4,0.458,ok
Alec Bohm,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,5,664761,.196,.258,.545,0.287,0.091,28,4,0,3,7,41,20,11,24,159,143,15.1,6.9,19.6,0.287,ok
Masataka Yoshida,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,5,807799,.274,.384,.713,0.329,0.055,20,4,0,0,4,24,5,11,8,86,73,9.3,12.8,27.4,0.329,ok
Bryson Stott,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,6,681082,.215,.261,.623,0.362,0.146,28,6,2,3,11,47,16,7,25,140,130,17.9,5.0,21.5,0.362,ok
Trevor Story,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,6,596115,.207,.246,.551,0.305,0.098,34,7,0,3,10,50,19,8,56,175,164,32.0,4.6,20.7,0.305,ok
J.T. Realmuto,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,7,592663,.231,.283,.591,0.308,0.077,21,4,0,1,5,28,8,5,17,99,91,17.2,5.1,23.1,0.308,ok
Marcelo Mayer,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,7,691785,.234,.301,.616,0.315,0.081,26,6,0,1,7,35,8,9,22,124,111,17.7,7.3,23.4,0.315,ok
