rank,name,team,opponent,game,lineup_spot,pitcher,pitcher_hand,odds,book,final_hr_score,decision_tier,confidence,agreement_count,signal_flags,master_score,master_tier,matchup_score,matchup_grade,split_score,split_grade,per_pitch_score,per_pitch_grade,contact_score,environment_score,recent_score,market_score,value_score,barrel_rate,hard_hit_rate,primary_pitch_match,primary_pitch_usage_pct,best_hitter_pitch,weakest_pitcher_pitch,pitcher_vulnerability_score,handedness_split_score,note
55,Jarren Duran,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,,Andrew Painter,,690,DraftKings,61.4,WATCH,SPECULATIVE,0,,70.6,GOOD,60.5,NEUTRAL,69.7,PLUS,69.3,NEUTRAL,54.6,48.6,50,54.6,60,9.9,39.8,4-Seam Fastball,39.2,4-Seam Fastball,4-Seam Fastball,96,62,Thin profile
56,Josh Naylor,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,,Lance McCullers Jr.,,567,DraftKings,61.1,WATCH,SPECULATIVE,0,,73.6,GOOD,60.7,NEUTRAL,65.8,PLUS,63.3,NEUTRAL,48.4,57.2,50,65.5,60,6.8,41.7,Cutter,21.8,4-Seam Fastball,Sinker,87.2,62,Thin profile
57,Owen Caissie,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,,Simeon Woods Richardson,,850,BetMGM,60.9,WATCH,SPECULATIVE,1,,68.5,GOOD,62.6,NEUTRAL,72.5,PLUS,68.3,NEUTRAL,58.2,50.8,50,49.3,54,10.3,43.1,Splitter,28.5,Splitter,Slider,99,62,Thin profile
58,Josh Jung,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,,Ryne Nelson,,550,DraftKings,60.7,WATCH,SPECULATIVE,0,,70,GOOD,57.7,NEUTRAL,62.8,NEUTRAL,69.5,NEUTRAL,50.7,51.4,50,66.5,64,5.7,48,4-Seam Fastball,61,4-Seam Fastball,4-Seam Fastball,77.5,50,Thin profile
59,Freddie Freeman,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,,Robbie Ray,,520,FanDuel,60.6,WATCH,SPECULATIVE,1,,68.6,GOOD,55.3,NEUTRAL,59.4,NEUTRAL,75.4,PLUS,66,53.3,50,68.3,64,11.9,47.8,4-Seam Fastball,52.4,4-Seam Fastball,4-Seam Fastball,45.3,43,Thin profile
60,Miguel Vargas,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,,Seth Lugo,,550,BetMGM,60.4,WATCH,SPECULATIVE,1,,71.3,GOOD,55.8,NEUTRAL,60.6,NEUTRAL,70.4,PLUS,72,53.3,50,66.5,64,15.5,44,Sweeper,12.6,4-Seam Fastball,Cutter,35,50,Thin profile
61,Salvador Perez,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,,Noah Schultz,,430,FanDuel,60.3,WATCH,SPECULATIVE,0,,69,GOOD,57.2,NEUTRAL,59.5,NEUTRAL,67.6,NEUTRAL,52.7,52.7,50,78,64,9,40.2,4-Seam Fastball,25.1,4-Seam Fastball,Sweeper,59.6,62,Thin profile
62,Colby Thomas,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,Matthew Liberatore,,430,FanDuel,60,WATCH,SPECULATIVE,0,,70.8,GOOD,57.3,NEUTRAL,59.4,NEUTRAL,63.7,NEUTRAL,38.6,53.3,50,78,64,5.6,33.3,Slider,25.7,Slider,4-Seam Fastball,79.2,62,Thin profile
63,Dillon Dingler,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,,Christian Scott,,525,BetMGM,59.7,WATCH,SPECULATIVE,0,,70,GOOD,55.9,NEUTRAL,59.6,NEUTRAL,68.8,NEUTRAL,76.8,48.4,50,68,64,15.2,51,Sweeper,15.6,Slider,Sweeper,34.7,50,Thin profile
64,Randy Arozarena,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,,Lance McCullers Jr.,,591,DraftKings,59.4,WATCH,SPECULATIVE,0,,70.1,GOOD,60,NEUTRAL,63.5,NEUTRAL,62.2,NEUTRAL,46.6,57.2,50,64.2,60,6.1,41.7,Cutter,21.8,4-Seam Fastball,Sinker,87.2,50,Thin profile
