stack_id,game,stack_size,stack_type,players,teams,pitcher,odds,avg_correlation_score,avg_environment_score,avg_pitcher_collapse_score,avg_batter_power_score,avg_vegas_total,avg_weather_boost,lineup_correlation_bonus,same_team_bonus,environment_bonus,stack_score,stack_grade,payout_profile
Miami Marlins @ Minnesota Twins | 3 MAN | Otto Lopez + Xavier Edwards + Connor Norby,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Otto Lopez + Xavier Edwards + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Xavier Edwards | Connor Norby,51.73,34.00,81.18,41.43,,,2.00,7.00,0.00,55.72,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Liam Hicks + Owen Caissie + Connor Norby,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Owen Caissie + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Owen Caissie | Connor Norby,51.71,34.00,81.28,41.30,,,2.00,7.00,0.00,55.72,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Liam Hicks + Xavier Edwards + Connor Norby,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Xavier Edwards + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Xavier Edwards | Connor Norby,51.74,34.00,81.06,41.55,,,2.00,7.00,0.00,55.72,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Heriberto Hernández + Connor Norby,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Heriberto Hernández + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Heriberto Hernández | Connor Norby,51.68,34.00,81.43,41.07,,,2.00,7.00,0.00,55.70,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Owen Caissie + Xavier Edwards + Heriberto Hernández,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Owen Caissie + Xavier Edwards + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Owen Caissie | Xavier Edwards | Heriberto Hernández,51.70,34.00,81.20,41.33,,,2.00,7.00,0.00,55.70,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Kyle Stowers + Liam Hicks + Owen Caissie,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Kyle Stowers + Liam Hicks + Owen Caissie,Miami Marlins,Simeon Woods Richardson,Kyle Stowers | Liam Hicks | Owen Caissie,51.67,34.00,81.30,41.16,,,2.00,7.00,0.00,55.69,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 3 MAN | Kyle Stowers + Liam Hicks + Xavier Edwards,Miami Marlins @ Minnesota Twins,3,TEAMMATE_HR_STACK,Kyle Stowers + Liam Hicks + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,Kyle Stowers | Liam Hicks | Xavier Edwards,51.70,34.00,81.00,41.50,,,2.00,7.00,0.00,55.69,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Kyle Stowers + Liam Hicks + Christopher Morel,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Kyle Stowers + Liam Hicks + Christopher Morel,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Kyle Stowers | Liam Hicks | Christopher Morel,51.65,34.00,81.44,41.00,,,2.00,7.00,0.00,55.69,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Liam Hicks + Heriberto Hernández + Connor Norby,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Liam Hicks + Heriberto Hernández + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Liam Hicks | Heriberto Hernández | Connor Norby,51.69,34.00,81.14,41.33,,,2.00,7.00,0.00,55.69,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 4 MAN | Otto Lopez + Owen Caissie + Xavier Edwards + Connor Norby,Miami Marlins @ Minnesota Twins,4,TEAMMATE_HR_STACK,Otto Lopez + Owen Caissie + Xavier Edwards + Connor Norby,Miami Marlins,Simeon Woods Richardson,Otto Lopez | Owen Caissie | Xavier Edwards | Connor Norby,51.68,34.00,81.25,41.23,,,2.00,7.00,0.00,55.69,DEEP_ONLY,NO_ODDS
Miami Marlins @ Minnesota Twins | 2 MAN | Kyle Stowers + Owen Caissie,Miami Marlins @ Minnesota Twins,2,TEAMMATE_HR_STACK,Kyle Stowers + Owen Caissie,Miami Marlins,Simeon Woods Richardson,Kyle Stowers | Owen Caissie,51.63,34.00,81.62,40.77,,,2.00,7.00,0.00,55.68,DEEP_ONLY,NO_ODDS
