game,stack_type,stack_size,players,teams,pitcher,payout_profile,avg_correlation_score,avg_environment_score,avg_pitcher_collapse_score,avg_batter_power_score,stack_score,combined_implied_probability,adjusted_probability,correlation_synergy_boost,parlay_score,parlay_grade,confidence,risk_profile,odds
Colorado Rockies @ Pittsburgh Pirates,TEAMMATE_HR_STACK,3,Oneil Cruz + Brandon Lowe + Nick Yorke,Pittsburgh Pirates,Jose Quintana,NO_ODDS,46.30,34.00,69.27,35.45,50.80,0.1728%,0.2389%,38.24%,48.08,C,LOW,HIGH_RISK,Oneil Cruz | Brandon Lowe | Nick Yorke
Philadelphia Phillies @ Boston Red Sox,GAME_ENVIRONMENT_STACK,4,Jarren Duran + Marcelo Mayer + Masataka Yoshida + Kyle Schwarber,Boston Red Sox / Philadelphia Phillies,Andrew Painter / Sonny Gray,NO_ODDS,48.67,34.00,75.37,37.34,48.02,0.0207%,0.0291%,40.42%,48.08,C,LOW,HIGH_RISK,Jarren Duran | Marcelo Mayer | Masataka Yoshida | Kyle Schwarber
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Kyle Stowers + Connor Norby + Joe Mack + Byron Buxton,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.78,34.00,74.24,38.54,48.00,0.0207%,0.0291%,40.21%,48.08,C,LOW,HIGH_RISK,Kyle Stowers | Connor Norby | Joe Mack | Byron Buxton
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Liam Hicks + Heriberto Hernández + Joe Mack + Byron Buxton,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.81,34.00,73.91,38.89,48.00,0.0207%,0.0291%,40.14%,48.08,C,LOW,HIGH_RISK,Liam Hicks | Heriberto Hernández | Joe Mack | Byron Buxton
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Heriberto Hernández + Connor Norby + Jakob Marsee + Ryan Jeffers,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.80,34.00,73.98,38.80,48.00,0.0207%,0.0291%,40.16%,48.08,C,LOW,HIGH_RISK,Heriberto Hernández | Connor Norby | Jakob Marsee | Ryan Jeffers
Washington Nationals @ Cincinnati Reds,GAME_ENVIRONMENT_STACK,4,CJ Abrams + Joey Wiemer + Sal Stewart + Nasim Nuñez,Washington Nationals / Cincinnati Reds,Nick Lodolo / Jake Irvin,NO_ODDS,48.83,34.00,73.67,39.13,47.99,0.0207%,0.0291%,40.10%,48.08,C,LOW,HIGH_RISK,CJ Abrams | Joey Wiemer | Sal Stewart | Nasim Nuñez
St. Louis Cardinals @ Athletics,GAME_ENVIRONMENT_STACK,4,Nick Kurtz + Tyler Soderstrom + Brent Rooker + Jordan Walker,Athletics / St. Louis Cardinals,Matthew Liberatore / J.T. Ginn,NO_ODDS,48.90,34.00,72.94,39.95,47.99,0.0207%,0.0290%,39.96%,48.08,C,LOW,HIGH_RISK,Nick Kurtz | Tyler Soderstrom | Brent Rooker | Jordan Walker
Washington Nationals @ Cincinnati Reds,GAME_ENVIRONMENT_STACK,2,CJ Abrams + Tyler Stephenson,Washington Nationals / Cincinnati Reds,Nick Lodolo / Jake Irvin,NO_ODDS,48.92,34.00,72.70,40.19,47.98,1.4400%,2.0148%,39.92%,48.08,C,LOW,HIGH_RISK,CJ Abrams | Tyler Stephenson
Chicago Cubs @ Atlanta Braves,GAME_ENVIRONMENT_STACK,3,Carson Kelly + Nico Hoerner + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,NO_ODDS,47.75,43.20,67.13,34.72,47.90,0.1728%,0.2421%,40.12%,48.08,C,LOW,HIGH_RISK,Carson Kelly | Nico Hoerner | Drake Baldwin
Tampa Bay Rays @ Toronto Blue Jays,GAME_ENVIRONMENT_STACK,4,Kazuma Okamoto + Jesús Sánchez + Tyler Heineman + Jonathan Aranda,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,NO_ODDS,47.73,43.32,67.10,34.61,47.90,0.0207%,0.0291%,40.13%,48.08,C,LOW,HIGH_RISK,Kazuma Okamoto | Jesús Sánchez | Tyler Heineman | Jonathan Aranda
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,4,Isaac Collins + Nick Loftin + Lane Thomas + Colson Montgomery,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.84,43.20,66.25,35.69,47.89,0.0207%,0.0290%,39.96%,48.08,C,LOW,HIGH_RISK,Isaac Collins | Nick Loftin | Lane Thomas | Colson Montgomery
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,4,Isaac Collins + Nick Loftin + Munetaka Murakami + Miguel Vargas,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.82,43.80,65.19,36.05,47.87,0.0207%,0.0290%,39.84%,48.08,C,LOW,HIGH_RISK,Isaac Collins | Nick Loftin | Munetaka Murakami | Miguel Vargas
Chicago Cubs @ Atlanta Braves,GAME_ENVIRONMENT_STACK,2,Alex Bregman + Michael Harris II,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,NO_ODDS,47.88,43.78,64.61,36.70,47.86,1.4400%,2.0121%,39.73%,48.08,C,LOW,HIGH_RISK,Alex Bregman | Michael Harris II
Detroit Tigers @ New York Mets,TEAMMATE_HR_STACK,3,Juan Soto + Mark Vientos + Tyrone Taylor,New York Mets,Framber Valdez,NO_ODDS,46.25,34.00,69.69,34.98,50.80,0.1728%,0.2390%,38.32%,48.07,C,LOW,HIGH_RISK,Juan Soto | Mark Vientos | Tyrone Taylor
Colorado Rockies @ Pittsburgh Pirates,TEAMMATE_HR_STACK,4,Oneil Cruz + Brandon Lowe + Marcell Ozuna + Ryan O'Hearn,Pittsburgh Pirates,Jose Quintana,NO_ODDS,46.30,34.00,69.25,35.46,50.79,0.0207%,0.0287%,38.24%,48.07,C,LOW,HIGH_RISK,Oneil Cruz | Brandon Lowe | Marcell Ozuna | Ryan O'Hearn
Philadelphia Phillies @ Boston Red Sox,GAME_ENVIRONMENT_STACK,4,Willson Contreras + Ceddanne Rafaela + Caleb Durbin + Kyle Schwarber,Boston Red Sox / Philadelphia Phillies,Andrew Painter / Sonny Gray,NO_ODDS,48.62,34.00,75.79,36.85,48.02,0.0207%,0.0291%,40.49%,48.07,C,LOW,HIGH_RISK,Willson Contreras | Ceddanne Rafaela | Caleb Durbin | Kyle Schwarber
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Otto Lopez + Christopher Morel + Joe Mack + Ryan Jeffers,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.77,34.00,74.17,38.59,48.00,0.0207%,0.0291%,40.19%,48.07,C,LOW,HIGH_RISK,Otto Lopez | Christopher Morel | Joe Mack | Ryan Jeffers
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Kyle Stowers + Xavier Edwards + Joe Mack + Ryan Jeffers,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.80,34.00,73.83,38.94,47.99,0.0207%,0.0291%,40.12%,48.07,C,LOW,HIGH_RISK,Kyle Stowers | Xavier Edwards | Joe Mack | Ryan Jeffers
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Liam Hicks + Connor Norby + Joe Mack + Byron Buxton,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.79,34.00,73.95,38.80,47.99,0.0207%,0.0291%,40.15%,48.07,C,LOW,HIGH_RISK,Liam Hicks | Connor Norby | Joe Mack | Byron Buxton
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Owen Caissie + Xavier Edwards + Joe Mack + Byron Buxton,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.79,34.00,73.97,38.80,47.99,0.0207%,0.0291%,40.15%,48.07,C,LOW,HIGH_RISK,Owen Caissie | Xavier Edwards | Joe Mack | Byron Buxton
Miami Marlins @ Minnesota Twins,GAME_ENVIRONMENT_STACK,4,Xavier Edwards + Christopher Morel + Jakob Marsee + Byron Buxton,Miami Marlins / Minnesota Twins,Simeon Woods Richardson / Max Meyer,NO_ODDS,48.77,34.00,74.14,38.59,47.99,0.0207%,0.0291%,40.18%,48.07,C,LOW,HIGH_RISK,Xavier Edwards | Christopher Morel | Jakob Marsee | Byron Buxton
Washington Nationals @ Cincinnati Reds,GAME_ENVIRONMENT_STACK,4,CJ Abrams + Daylen Lile + Sal Stewart + Nasim Nuñez,Washington Nationals / Cincinnati Reds,Nick Lodolo / Jake Irvin,NO_ODDS,48.85,34.00,73.35,39.45,47.98,0.0207%,0.0290%,40.03%,48.07,C,LOW,HIGH_RISK,CJ Abrams | Daylen Lile | Sal Stewart | Nasim Nuñez
Tampa Bay Rays @ Toronto Blue Jays,GAME_ENVIRONMENT_STACK,4,Kazuma Okamoto + George Springer + Ernie Clement + Yandy Díaz,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,NO_ODDS,47.79,42.89,67.17,35.03,47.89,0.0207%,0.0290%,40.08%,48.07,C,LOW,HIGH_RISK,Kazuma Okamoto | George Springer | Ernie Clement | Yandy Díaz
Tampa Bay Rays @ Toronto Blue Jays,GAME_ENVIRONMENT_STACK,4,Vladimir Guerrero Jr. + Daulton Varsho + George Springer + Jake Fraley,Toronto Blue Jays / Tampa Bay Rays,Griffin Jax / Dylan Cease,NO_ODDS,47.91,42.52,66.74,35.98,47.89,0.0207%,0.0290%,39.96%,48.07,C,LOW,HIGH_RISK,Vladimir Guerrero Jr. | Daulton Varsho | George Springer | Jake Fraley
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,3,Isaac Collins + Nick Loftin + Colson Montgomery,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.81,43.39,66.00,35.68,47.88,0.1728%,0.2418%,39.93%,48.07,C,LOW,HIGH_RISK,Isaac Collins | Nick Loftin | Colson Montgomery
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,4,Salvador Perez + Nick Loftin + Lane Thomas + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.83,43.20,66.17,35.72,47.88,0.0207%,0.0290%,39.94%,48.07,C,LOW,HIGH_RISK,Salvador Perez | Nick Loftin | Lane Thomas | Andrew Benintendi
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,4,Maikel Garcia + Carter Jensen + Lane Thomas + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.84,43.20,66.11,35.80,47.88,0.0207%,0.0290%,39.93%,48.07,C,LOW,HIGH_RISK,Maikel Garcia | Carter Jensen | Lane Thomas | Andrew Benintendi
Kansas City Royals @ Chicago White Sox,GAME_ENVIRONMENT_STACK,3,Isaac Collins + Nick Loftin + Miguel Vargas,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,NO_ODDS,47.86,43.28,65.71,36.13,47.87,0.1728%,0.2417%,39.86%,48.07,C,LOW,HIGH_RISK,Isaac Collins | Nick Loftin | Miguel Vargas
