player,player_key,player_id,team,game,event_id,market,line,best_odds,best_book,book_count,market_average_odds,all_books
CJ Abrams,cj abrams,CJ_ABRAMS_1_MLB,WASHINGTON_NATIONALS_MLB,Baltimore Orioles @ Washington Nationals,jkvwAdFvDLQY4Xvktwk1,2+ TB,1.5,130,espnbet,6,122,espnbet:+130 | betmgm:+130 | bovada:+125 | draftkings:+124 | caesars:+122 | fanduel:+100
Coby Mayo,coby mayo,COBY_MAYO_1_MLB,BALTIMORE_ORIOLES_MLB,Baltimore Orioles @ Washington Nationals,jkvwAdFvDLQY4Xvktwk1,2+ TB,1.5,158,bovada,6,-2,bovada:+158 | draftkings:+153 | fanduel:+140 | betmgm:-150 | caesars:-152 | espnbet:-160
Cody Bellinger,cody bellinger,CODY_BELLINGER_1_MLB,NEW_YORK_YANKEES_MLB,New York Yankees @ New York Mets,EfX5X71vGSjFXKmbIcxY,2+ TB,1.5,140,espnbet,6,131,espnbet:+140 | draftkings:+136 | bovada:+135 | caesars:+132 | betmgm:+130 | fanduel:+115
Cole Young,cole young,COLE_YOUNG_1_MLB,SEATTLE_MARINERS_MLB,San Diego Padres @ Seattle Mariners,t1ipmAaZhJ0nLxBz9tIk,2+ TB,1.5,210,draftkings,6,-18,draftkings:+210 | fanduel:+195 | betmgm:-125 | bovada:-127 | caesars:-129 | espnbet:-130
Colson Montgomery,colson montgomery,COLSON_MONTGOMERY_1_MLB,CHICAGO_WHITE_SOX_MLB,Chicago Cubs @ Chicago White Sox,5V5IFTF9KGU3FYQtIb6f,2+ TB,1.5,158,bovada,5,26,bovada:+158 | draftkings:+154 | fanduel:+140 | betmgm:-160 | caesars:-162
Colt Keith,colt keith,COLT_KEITH_1_MLB,DETROIT_TIGERS_MLB,Toronto Blue Jays @ Detroit Tigers,T9qul5Ie7BmzUPHcKAdN,2+ TB,1.5,164,bovada,6,-4,bovada:+164 | draftkings:+158 | fanduel:+150 | betmgm:-160 | espnbet:-165 | caesars:-173
Colton Cowser,colton cowser,COLTON_COWSER_1_MLB,BALTIMORE_ORIOLES_MLB,Baltimore Orioles @ Washington Nationals,jkvwAdFvDLQY4Xvktwk1,2+ TB,1.5,-135,betmgm,1,-135,betmgm:-135
Connor Norby,connor norby,CONNOR_NORBY_1_MLB,MIAMI_MARLINS_MLB,Miami Marlins @ Tampa Bay Rays,fPt7sNscCxaj4iQ94hIH,2+ TB,1.5,171,bovada,6,-10,bovada:+171 | draftkings:+166 | fanduel:+150 | espnbet:-180 | caesars:-182 | betmgm:-185
Corbin Carroll,corbin carroll,CORBIN_CARROLL_1_MLB,ARIZONA_DIAMONDBACKS_MLB,Arizona Diamondbacks @ Colorado Rockies,riD2wa1xBCGVtP6u4lHX,2+ TB,1.5,-135,bovada,6,-142,bovada:-135 | draftkings:-137 | espnbet:-140 | betmgm:-140 | caesars:-143 | fanduel:-155
Corey Seager,corey seager,COREY_SEAGER_1_MLB,TEXAS_RANGERS_MLB,Texas Rangers @ Houston Astros,2arMilGiaVhajMn8oOwm,2+ TB,1.5,120,betmgm,6,108,betmgm:+120 | espnbet:+110 | caesars:+109 | draftkings:+105 | bovada:+105 | fanduel:+100
Daniel Schneemann,daniel schneemann,DANIEL_SCHNEEMANN_1_MLB,CLEVELAND_GUARDIANS_MLB,Cincinnati Reds @ Cleveland Guardians,j7zaXsZeq04dwou0QAaZ,2+ TB,1.5,196,draftkings,3,84,draftkings:+196 | fanduel:+190 | bovada:-135
Danny Jansen,danny jansen,DANNY_JANSEN_1_MLB,TEXAS_RANGERS_MLB,Texas Rangers @ Houston Astros,2arMilGiaVhajMn8oOwm,2+ TB,1.5,191,draftkings,3,-12,draftkings:+191 | bovada:-112 | betmgm:-115
Dansby Swanson,dansby swanson,DANSBY_SWANSON_1_MLB,CHICAGO_CUBS_MLB,Chicago Cubs @ Chicago White Sox,5V5IFTF9KGU3FYQtIb6f,2+ TB,1.5,178,bovada,4,93,bovada:+178 | draftkings:+174 | fanduel:+155 | betmgm:-135
Darell Hernaiz,darell hernaiz,DARELL_HERNAIZ_1_MLB,OAKLAND_ATHLETICS_MLB,San Francisco Giants @ Athletics,H8XBXLklWHd2ErXIGMUd,2+ TB,1.5,185,draftkings,4,8,draftkings:+185 | fanduel:+170 | betmgm:-160 | bovada:-164
Daulton Varsho,daulton varsho,DAULTON_VARSHO_1_MLB,TORONTO_BLUE_JAYS_MLB,Toronto Blue Jays @ Detroit Tigers,T9qul5Ie7BmzUPHcKAdN,2+ TB,1.5,136,draftkings,6,76,draftkings:+136 | bovada:+135 | espnbet:+130 | caesars:+127 | fanduel:+110 | betmgm:-185
David Fry,david fry,DAVID_FRY_1_MLB,CLEVELAND_GUARDIANS_MLB,Cincinnati Reds @ Cleveland Guardians,j7zaXsZeq04dwou0QAaZ,2+ TB,1.5,-135,betmgm,1,-135,betmgm:-135
David Hamilton,david hamilton,DAVID_HAMILTON_1_MLB,MILWAUKEE_BREWERS_MLB,Milwaukee Brewers @ Minnesota Twins,3itxNJYiA3Wh4p2bJOJs,2+ TB,1.5,180,draftkings,1,180,draftkings:+180
Daylen Lile,daylen lile,DAYLEN_LILE_1_MLB,WASHINGTON_NATIONALS_MLB,Baltimore Orioles @ Washington Nationals,jkvwAdFvDLQY4Xvktwk1,2+ TB,1.5,135,betmgm,6,123,betmgm:+135 | draftkings:+126 | bovada:+125 | espnbet:+125 | caesars:+124 | fanduel:+100
Dillon Dingler,dillon dingler,DILLON_DINGLER_1_MLB,DETROIT_TIGERS_MLB,Toronto Blue Jays @ Detroit Tigers,T9qul5Ie7BmzUPHcKAdN,2+ TB,1.5,161,bovada,5,81,bovada:+161 | draftkings:+160 | caesars:+136 | fanduel:+135 | betmgm:-185
Dominic Canzone,dominic canzone,DOMINIC_CANZONE_1_MLB,SEATTLE_MARINERS_MLB,San Diego Padres @ Seattle Mariners,t1ipmAaZhJ0nLxBz9tIk,2+ TB,1.5,204,draftkings,6,-22,draftkings:+204 | fanduel:+190 | bovada:-130 | caesars:-130 | espnbet:-130 | betmgm:-135
Drake Baldwin,drake baldwin,DRAKE_BALDWIN_1_MLB,ATLANTA_BRAVES_MLB,Boston Red Sox @ Atlanta Braves,azr6g0BYc5oimCrDM5DD,2+ TB,1.5,145,betmgm,6,118,betmgm:+145 | espnbet:+120 | bovada:+115 | caesars:+114 | draftkings:+113 | fanduel:+100
Drew Millas,drew millas,DREW_MILLAS_1_MLB,WASHINGTON_NATIONALS_MLB,Baltimore Orioles @ Washington Nationals,jkvwAdFvDLQY4Xvktwk1,2+ TB,1.5,-135,betmgm,1,-135,betmgm:-135
Edouard Julien,edouard julien,EDOUARD_JULIEN_1_MLB,COLORADO_ROCKIES_MLB,Arizona Diamondbacks @ Colorado Rockies,riD2wa1xBCGVtP6u4lHX,2+ TB,1.5,110,draftkings,6,73,draftkings:+110 | bovada:+110 | espnbet:+110 | caesars:+106 | betmgm:+105 | fanduel:-105
Elly De La Cruz,elly de la cruz,ELLY_DE_LA_CRUZ_1_MLB,CINCINNATI_REDS_MLB,Cincinnati Reds @ Cleveland Guardians,j7zaXsZeq04dwou0QAaZ,2+ TB,1.5,135,draftkings,6,127,draftkings:+135 | bovada:+135 | espnbet:+130 | caesars:+129 | fanduel:+115 | betmgm:+115
Ernie Clement,ernie clement,ERNIE_CLEMENT_1_MLB,TORONTO_BLUE_JAYS_MLB,Toronto Blue Jays @ Detroit Tigers,T9qul5Ie7BmzUPHcKAdN,2+ TB,1.5,150,bovada,6,147,bovada:+150 | espnbet:+150 | betmgm:+150 | draftkings:+148 | caesars:+146 | fanduel:+135
Evan Carter,evan carter,EVAN_CARTER_1_MLB,TEXAS_RANGERS_MLB,Texas Rangers @ Houston Astros,2arMilGiaVhajMn8oOwm,2+ TB,1.5,199,draftkings,6,-28,draftkings:+199 | fanduel:+175 | bovada:-130 | caesars:-130 | betmgm:-140 | espnbet:-140
Ezequiel Duran,ezequiel duran,EZEQUIEL_DURAN_1_MLB,TEXAS_RANGERS_MLB,Texas Rangers @ Houston Astros,2arMilGiaVhajMn8oOwm,2+ TB,1.5,187,draftkings,4,164,draftkings:+187 | fanduel:+170 | bovada:+164 | betmgm:+135
Ezequiel Tovar,ezequiel tovar,EZEQUIEL_TOVAR_1_MLB,COLORADO_ROCKIES_MLB,Arizona Diamondbacks @ Colorado Rockies,riD2wa1xBCGVtP6u4lHX,2+ TB,1.5,125,betmgm,6,77,betmgm:+125 | draftkings:+111 | bovada:+110 | espnbet:+110 | caesars:+109 | fanduel:-105
Fernando Tatis Jr.,fernando tatis,FERNANDO_TATIS_JR_1_MLB,SAN_DIEGO_PADRES_MLB,San Diego Padres @ Seattle Mariners,t1ipmAaZhJ0nLxBz9tIk,2+ TB,1.5,152,draftkings,5,75,draftkings:+152 | bovada:+152 | fanduel:+130 | caesars:+130 | betmgm:-190
Freddie Freeman,freddie freeman,FREDDIE_FREEMAN_1_MLB,LOS_ANGELES_DODGERS_MLB,Los Angeles Dodgers @ Los Angeles Angels,ocN7K0W6fGdkYTeIusGv,2+ TB,1.5,105,betmgm,6,-76,betmgm:+105 | caesars:-108 | draftkings:-110 | bovada:-110 | espnbet:-110 | fanduel:-125
