rank,name,team,opponent,game,batter_hand,pitcher,pitcher_hand,odds,barrel_rate,hard_hit_rate,pitcher_hr9,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_k9,pitcher_bb9,pitcher_attack_score,batter_power_score,pitcher_vulnerability_score,handedness_split_score,pitch_type_score,environment_score,contact_score,split_engine_score,split_grade,matchup_intel_score,matchup_grade,master_score,master_tier
1,James Wood,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,L,Nick Lodolo,,362,27.6,61.2,3.38,6.75,,,,,77.2,99,95.3,50,90.5,35,92,81.2,ATTACK,70,PLUS,88.4,ELITE
2,Ian Happ,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,S,JR Ritchie,R,430,18.3,41.9,2.08,3.63,1.50,6.63,6.75,6.23,78.2,83.2,92.5,58,89.1,50.3,76.5,78,ATTACK,68.2,PLUS,79.3,STRONG
3,Moisés Ballesteros,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,L,JR Ritchie,R,610,13.4,48.8,2.08,3.63,1.50,6.63,6.75,6.23,78.2,74.8,92.5,62,92.1,50.3,70.5,76.4,ATTACK,64.3,NEUTRAL,74.2,GOOD
4,Willson Contreras,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,R,Andrew Painter,,490,18,46.2,1.65,6.89,,,,,86.7,95.4,83.3,50,89.9,35,80,76.1,ATTACK,68,PLUS,83.4,STRONG
5,Corey Seager,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,L,Ryne Nelson,R,441,16,46.2,1.89,5.68,1.26,4.83,8.29,3.32,69.3,80.4,77.5,62,94.6,51.4,75,74.7,PLUS,65.9,PLUS,78.2,STRONG
6,Luke Raley,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,L,Lance McCullers Jr.,,474,22.2,54,1.32,7.41,,,,,80.6,99,78.3,50,71.2,35,86.2,74,PLUS,68.3,PLUS,85.2,ELITE
7,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,R,Griffin Jax,R,398,15.5,53.4,1.5,5,1.44,5.39,8.50,5.00,67.8,88,76.7,50,85.4,53.8,79.5,73.8,PLUS,67.9,PLUS,79.8,STRONG
8,Mickey Gasper,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,S,Andrew Painter,,790,14.3,85.7,1.65,6.89,,,,,86.7,99,83.3,50,50,35,85.8,72.8,PLUS,65.6,PLUS,75.1,STRONG
9,Shea Langeliers,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,R,Matthew Liberatore,,240,17.1,48.7,1.71,4.07,,,,,71.5,96.9,67.8,50,91.2,35,79.7,72.6,PLUS,66.1,PLUS,84.4,STRONG
10,CJ Abrams,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,L,Nick Lodolo,,543,12.2,41.7,3.38,6.75,,,,,77.2,74.2,95.3,50,92,35,61.9,72.6,PLUS,59.6,NEUTRAL,81.1,STRONG
11,Nick Kurtz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,L,Matthew Liberatore,,333,15.4,59.3,1.71,4.07,,,,,71.5,94.2,67.8,50,90.7,35,83.9,72.2,PLUS,66.6,PLUS,82.8,STRONG
12,Juan Soto,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,L,Framber Valdez,,470,19,47.5,1.04,4.57,,,,,59.3,99,55.9,50,97.8,35,81,71,PLUS,61.9,NEUTRAL,77.5,STRONG
13,Oneil Cruz,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,L,Jose Quintana,,400,19.8,60.7,1.5,3.9,,,,,59.2,99,59.2,50,79.8,35,91.6,70.5,PLUS,65.6,PLUS,78.7,STRONG
14,Wilyer Abreu,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,L,Andrew Painter,,490,12,46.6,1.65,6.89,,,,,86.7,75.6,83.3,50,94.5,35,65.3,70.4,PLUS,64.1,NEUTRAL,79.7,STRONG
15,JJ Bleday,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,L,Jake Irvin,,390,15.8,55.3,1.13,5.22,,,,,54.3,99,56.9,50,89,35,81.7,70.3,PLUS,61.9,NEUTRAL,82.1,STRONG
16,Bobby Witt Jr.,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,R,Noah Schultz,L,475,13.2,51.8,0.72,4.68,1.32,5.21,8.28,5.76,56.5,80.6,59.6,62,92,52.3,72.4,69.7,PLUS,62.1,NEUTRAL,77.1,STRONG
17,Brandon Nimmo,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,L,Ryne Nelson,R,573,9.7,51.6,1.89,5.68,1.26,4.83,8.29,3.32,69.3,66,77.5,62,90.2,51.4,63.5,69.5,PLUS,60.8,NEUTRAL,72.8,GOOD
18,Dominic Canzone,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,L,Lance McCullers Jr.,,529,15.4,49.2,1.32,7.41,,,,,80.6,86,78.3,50,65.7,35,75.9,69.2,PLUS,64.2,NEUTRAL,80.8,STRONG
19,Pete Crow-Armstrong,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,L,JR Ritchie,R,550,8.1,46.8,2.08,3.63,1.50,6.63,6.75,6.23,78.2,56.6,92.5,62,81.3,50.3,55.7,69.2,PLUS,60.9,NEUTRAL,71.4,GOOD
20,Sal Stewart,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,R,Jake Irvin,,369,18.7,43.3,1.13,5.22,,,,,54.3,95.5,56.9,50,89.1,35,77.6,69,PLUS,60.8,NEUTRAL,81.2,STRONG
21,Brady House,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,R,Nick Lodolo,,680,11.2,42.9,3.38,6.75,,,,,77.2,63.3,95.3,50,87,35,60.3,69,PLUS,57.3,NEUTRAL,74.2,GOOD
22,Munetaka Murakami,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,L,Seth Lugo,R,293,21.7,63.9,0.19,3.21,1.36,4.25,7.93,3.21,37,99,35,62,84.2,52.9,94.1,68.9,PLUS,64.8,NEUTRAL,77,STRONG
23,Joey Wiemer,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,R,Nick Lodolo,,610,12.1,41.2,3.38,6.75,,,,,77.2,65.5,95.3,50,79.9,35,61.2,68.8,PLUS,58.8,NEUTRAL,75.8,STRONG
24,Corbin Carroll,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,L,Kumar Rocker,R,451,12,43,1.11,5.01,1.52,5.11,7.52,3.62,68.6,69,72.5,62,90,51.2,62.4,68.8,PLUS,62.4,NEUTRAL,74.6,GOOD
25,Otto Lopez,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,R,Simeon Woods Richardson,,850,9.8,46.6,1.85,6.92,,,,,93.6,65.1,88.9,50,93.8,35,59.8,68.6,PLUS,60.2,NEUTRAL,68.2,GOOD
26,Max Muncy,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,L,Robbie Ray,L,320,19.6,55.7,1.58,2.76,1.09,4.28,9.26,3.55,40.3,97.4,45.3,43,93.6,53.7,87.6,68.4,PLUS,63.4,NEUTRAL,76.6,STRONG
27,Dansby Swanson,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,R,JR Ritchie,R,650,9.4,45.8,2.08,3.63,1.50,6.63,6.75,6.23,78.2,59.7,92.5,50,83.4,50.3,58.1,68.3,PLUS,60.8,NEUTRAL,71.4,GOOD
28,Jordan Walker,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,R,J.T. Ginn,,650,18.3,53.8,1.21,3.62,,,,,43.6,99,47.8,50,87,35,86,68,PLUS,56.9,NEUTRAL,75.5,STRONG
29,Elly De La Cruz,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,S,Jake Irvin,,310,15,51.3,1.13,5.22,,,,,54.3,92,56.9,50,87.1,35,76.5,67.8,PLUS,60.5,NEUTRAL,80.8,STRONG
30,Michael Busch,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,L,JR Ritchie,R,450,8.8,39.8,2.08,3.63,1.50,6.63,6.75,6.23,78.2,52.3,92.5,62,80.5,50.3,51.8,67.6,PLUS,61.8,NEUTRAL,72.2,GOOD
31,Seiya Suzuki,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,R,JR Ritchie,R,425,9.5,43.2,2.08,3.63,1.50,6.63,6.75,6.23,78.2,57.6,92.5,50,81.3,50.3,56.3,67.3,PLUS,62.9,NEUTRAL,74.6,GOOD
32,Kyle Schwarber,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,L,Sonny Gray,,250,24.5,50,0.96,3.54,,,,,44.8,99,45.1,50,87.3,35,83,67.1,PLUS,60.6,NEUTRAL,76.7,STRONG
33,Joc Pederson,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,L,Ryne Nelson,R,590,7.2,50.7,1.89,5.68,1.26,4.83,8.29,3.32,69.3,57.5,77.5,62,93.1,51.4,56.6,67.1,PLUS,58.9,NEUTRAL,70.9,GOOD
34,Carson Kelly,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,R,JR Ritchie,R,680,8.8,45,2.08,3.63,1.50,6.63,6.75,6.23,78.2,57.1,92.5,50,80.5,50.3,56,67.1,PLUS,59.2,NEUTRAL,69.6,GOOD
35,Jake Burger,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,R,Ryne Nelson,R,470,9.8,47.3,1.89,5.68,1.26,4.83,8.29,3.32,69.3,62.3,77.5,50,88.1,51.4,60.3,65.9,PLUS,61.9,NEUTRAL,73.7,GOOD
36,Gabriel Moreno,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,R,Kumar Rocker,R,1000,13.2,43.4,1.11,5.01,1.52,5.11,7.52,3.62,68.6,65.7,72.5,50,87.7,51.2,65.7,65.8,PLUS,57.1,NEUTRAL,58.7,STANDARD
37,Ketel Marte,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,S,Kumar Rocker,R,426,9.7,46.8,1.11,5.01,1.52,5.11,7.52,3.62,68.6,59.5,72.5,58,92.3,51.2,59.7,65.7,PLUS,61.7,NEUTRAL,71.6,GOOD
38,Owen Caissie,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,L,Simeon Woods Richardson,,850,10.3,43.1,1.85,6.92,,,,,93.6,56.9,88.9,50,85.7,35,58.2,65.4,PLUS,59.8,NEUTRAL,68.5,GOOD
39,Kyle Stowers,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,L,Simeon Woods Richardson,,400,3.8,58.5,1.85,6.92,,,,,93.6,52.5,88.9,50,94.3,35,54.8,65,PLUS,64.3,NEUTRAL,77.9,STRONG
40,Tyler Soderstrom,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,L,Matthew Liberatore,,475,13.3,47.4,1.71,4.07,,,,,71.5,73.9,67.8,50,84.5,35,69.2,65,PLUS,61.7,NEUTRAL,77.6,STRONG
41,Caleb Durbin,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,R,Andrew Painter,,1220,90,30.9,1.65,6.89,,,,,86.7,60.6,83.3,50,80,35,67.7,64.9,NEUTRAL,58.5,NEUTRAL,61.6,STANDARD
42,Spencer Steer,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,R,Jake Irvin,,470,16.2,38.5,1.13,5.22,,,,,54.3,80.6,56.9,50,91.8,35,69.3,64.8,NEUTRAL,57.6,NEUTRAL,77.5,STRONG
43,Brent Rooker,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,R,Matthew Liberatore,,310,15,41.7,1.71,4.07,,,,,71.5,72,67.8,50,85.8,35,68.9,64.7,NEUTRAL,62.6,NEUTRAL,78.2,STRONG
44,Evan Carter,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,L,Ryne Nelson,R,770,8.4,38.9,1.89,5.68,1.26,4.83,8.29,3.32,69.3,50.2,77.5,62,93.4,51.4,50.1,64.7,NEUTRAL,55.2,NEUTRAL,67,GOOD
45,Alex Bregman,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,R,JR Ritchie,R,576,6,45.1,2.08,3.63,1.50,6.63,6.75,6.23,78.2,48.6,92.5,50,80.8,50.3,49.1,64.3,NEUTRAL,59,NEUTRAL,69.7,GOOD
46,Liam Hicks,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,L,Simeon Woods Richardson,,900,6.9,39.7,1.85,6.92,,,,,93.6,48.6,88.9,50,99.4,35,47,63.9,NEUTRAL,55.7,NEUTRAL,59.3,STANDARD
47,Daylen Lile,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,L,Nick Lodolo,,820,6.9,36.6,3.38,6.75,,,,,77.2,46,95.3,50,91.1,35,44.5,63.7,NEUTRAL,52.4,THIN,67.7,GOOD
48,Adrian Del Castillo,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,L,Kumar Rocker,R,780,9.1,39.3,1.11,5.01,1.52,5.11,7.52,3.62,68.6,50.4,72.5,62,93.8,51.2,52.2,63.6,NEUTRAL,55.5,NEUTRAL,65.2,GOOD
49,Jeff McNeil,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,L,Matthew Liberatore,,1200,90,30.3,1.71,4.07,,,,,71.5,70.8,67.8,50,78.9,35,67.2,63.4,NEUTRAL,54.7,THIN,64.6,STANDARD
50,Jesús Sánchez,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,L,Griffin Jax,R,690,6.9,45.5,1.5,5,1.44,5.39,8.50,5.00,67.8,51.7,76.7,62,74.8,53.8,51.7,63,NEUTRAL,56.1,NEUTRAL,66.2,GOOD
51,Christopher Morel,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,R,Simeon Woods Richardson,,520,0,44.4,1.85,6.92,,,,,93.6,46.1,88.9,50,90.8,35,53.5,62.8,NEUTRAL,61.6,NEUTRAL,75.1,STRONG
52,Connor Norby,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,R,Simeon Woods Richardson,,650,9.1,36.4,1.85,6.92,,,,,93.6,46,88.9,50,93.3,35,49.9,62.8,NEUTRAL,59.5,NEUTRAL,73.4,GOOD
53,Josh Jung,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,R,Ryne Nelson,R,550,5.7,48,1.89,5.68,1.26,4.83,8.29,3.32,69.3,50.4,77.5,50,95,51.4,50.7,62.8,NEUTRAL,57.7,NEUTRAL,70,GOOD
54,Vladimir Guerrero Jr.,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,R,Griffin Jax,R,544,9,42.5,1.5,5,1.44,5.39,8.50,5.00,67.8,53.9,76.7,50,84.6,53.8,54.5,62.8,NEUTRAL,58.8,NEUTRAL,67.3,GOOD
55,Brandon Lowe,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,L,Jose Quintana,,543,12.5,42.3,1.5,3.9,,,,,59.2,77.1,59.2,50,80.5,35,63.1,62.7,NEUTRAL,55.6,NEUTRAL,72.4,GOOD
56,Julio Rodríguez,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,R,Lance McCullers Jr.,,470,8.7,41.7,1.32,7.41,,,,,80.6,55.9,78.3,50,89.6,35,53.1,62.4,NEUTRAL,59.8,NEUTRAL,76,STRONG
57,Jarren Duran,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,L,Andrew Painter,,690,9.9,39.8,1.65,6.89,,,,,86.7,49.7,83.3,50,91.4,35,54.6,62.4,NEUTRAL,58,NEUTRAL,70.6,GOOD
58,Ezequiel Duran,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,R,Ryne Nelson,R,930,6.6,44.2,1.89,5.68,1.26,4.83,8.29,3.32,69.3,49.6,77.5,50,93.7,51.4,49.9,62.4,NEUTRAL,53.5,THIN,58.6,STANDARD
59,Xavier Edwards,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,S,Simeon Woods Richardson,,950,6.7,37.3,1.85,6.92,,,,,93.6,44.8,88.9,50,92.8,35,44.6,62,NEUTRAL,54.9,THIN,62.3,STANDARD
60,Heriberto Hernández,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,R,Simeon Woods Richardson,,598,5.1,44.1,1.85,6.92,,,,,93.6,42.5,88.9,50,94.2,35,46,61.6,NEUTRAL,58.9,NEUTRAL,72.4,GOOD
61,Bryce Harper,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,L,Sonny Gray,,490,14.6,40.7,0.96,3.54,,,,,44.8,85.1,45.1,50,82.5,35,67.1,61.6,NEUTRAL,54.6,THIN,72.4,GOOD
62,Cal Raleigh,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,S,Lance McCullers Jr.,,310,12.5,30.8,1.32,7.41,,,,,80.6,54.5,78.3,50,83.7,35,53.9,61.4,NEUTRAL,60.9,NEUTRAL,77.3,STRONG
63,Jackson Chourio,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,R,Michael King,,725,19,42.9,0.79,2.76,,,,,27.6,95.8,32.7,50,77.4,35,77.3,61.4,NEUTRAL,49.6,THIN,69.4,GOOD
64,Dillon Dingler,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,R,Christian Scott,,525,15.2,51,0.82,3.27,,,,,34.6,92.6,37.9,50,71.7,35,76.8,61.2,NEUTRAL,53.4,THIN,70,GOOD
65,Byron Buxton,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,R,Max Meyer,,330,20,46.7,0.43,2.79,,,,,11.9,92.3,24.6,50,97,35,80.4,61,NEUTRAL,51.3,THIN,70.4,GOOD
66,Colson Montgomery,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,L,Seth Lugo,R,350,14.3,41.8,0.19,3.21,1.36,4.25,7.93,3.21,37,73.9,35,62,90.1,52.9,67.2,60.9,NEUTRAL,57.1,NEUTRAL,71.4,GOOD
67,Mark Vientos,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,R,Framber Valdez,,570,10.3,46,1.04,4.57,,,,,59.3,67.8,55.9,50,94.8,35,60.6,60.9,NEUTRAL,54.7,THIN,69.7,GOOD
68,Carlos Narváez,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,R,Andrew Painter,,850,8.6,39.7,1.65,6.89,,,,,86.7,49.2,83.3,50,80.3,35,51.3,60.7,NEUTRAL,56.3,NEUTRAL,69.6,GOOD
69,Spencer Torkelson,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,R,Christian Scott,,500,16.3,48.3,0.82,3.27,,,,,34.6,85.1,37.9,50,83.6,35,77.4,60.7,NEUTRAL,54.7,THIN,69.3,GOOD
70,Miguel Vargas,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,R,Seth Lugo,R,550,15.5,44,0.19,3.21,1.36,4.25,7.93,3.21,37,79.9,35,50,88.8,52.9,72,60.6,NEUTRAL,55.7,NEUTRAL,71.3,GOOD
71,Alejandro Osuna,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,L,Ryne Nelson,R,1220,0,26.9,1.89,5.68,1.26,4.83,8.29,3.32,69.3,38.5,77.5,62,91.1,51.4,40,60.6,NEUTRAL,50,THIN,55.6,STANDARD
72,Riley Greene,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,L,Christian Scott,,423,13.9,50.5,0.82,3.27,,,,,34.6,85.3,37.9,50,84.6,35,73.2,60.5,NEUTRAL,54.1,THIN,70.3,GOOD
73,Cole Young,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,L,Lance McCullers Jr.,,1000,8,41.1,1.32,7.41,,,,,80.6,51.5,78.3,50,84.7,35,50.9,60.5,NEUTRAL,53.2,THIN,61.8,STANDARD
74,Will Smith,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,R,Robbie Ray,L,420,13.4,38.1,1.58,2.76,1.09,4.28,9.26,3.55,40.3,64.8,45.3,62,85.9,53.7,62,60.4,NEUTRAL,55.9,NEUTRAL,69.4,GOOD
75,Michael Harris II,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,L,Shota Imanaga,L,590,17,58.9,0.76,2.28,0.93,3.12,10.08,2.47,10.7,99,15.3,43,89.1,50.1,87.6,60.2,NEUTRAL,52.6,THIN,68.9,GOOD
76,Tyler Stephenson,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,R,Jake Irvin,,540,13.2,47.9,1.13,5.22,,,,,54.3,68,56.9,50,77.8,35,69.3,59.8,NEUTRAL,56.1,NEUTRAL,72.8,GOOD
77,Marcelo Mayer,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,L,Andrew Painter,,820,7,41.4,1.65,6.89,,,,,86.7,39.5,83.3,50,95,35,48.6,59.7,NEUTRAL,55.8,NEUTRAL,65.5,GOOD
78,Isaac Collins,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,S,Noah Schultz,L,850,9.3,41.3,0.72,4.68,1.32,5.21,8.28,5.76,56.5,53.2,59.6,58,86.5,52.3,54.3,59.7,NEUTRAL,53,THIN,64.6,STANDARD
79,Keibert Ruiz,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,S,Nick Lodolo,,880,4.5,40.9,3.38,6.75,,,,,77.2,33.8,95.3,50,84.8,35,42,59.6,NEUTRAL,50.5,THIN,68.7,GOOD
80,George Springer,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,R,Griffin Jax,R,503,8.5,39.4,1.5,5,1.44,5.39,8.50,5.00,67.8,47.4,76.7,50,74.3,53.8,50.8,59.6,NEUTRAL,58.3,NEUTRAL,67.4,GOOD
81,Carter Jensen,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,L,Noah Schultz,L,800,11.4,43,0.72,4.68,1.32,5.21,8.28,5.76,56.5,63.2,59.6,43,81.4,52.3,60.9,59.6,NEUTRAL,54.9,THIN,67.1,GOOD
82,Daulton Varsho,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,L,Griffin Jax,R,520,5.4,37.8,1.5,5,1.44,5.39,8.50,5.00,67.8,38.9,76.7,62,80.5,53.8,41.7,59.6,NEUTRAL,55.7,NEUTRAL,66.1,GOOD
83,Freddie Freeman,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,L,Robbie Ray,L,520,11.9,47.8,1.58,2.76,1.09,4.28,9.26,3.55,40.3,69.3,45.3,43,94,53.7,66,59.5,NEUTRAL,55.4,NEUTRAL,68.6,GOOD
84,Masataka Yoshida,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,L,Andrew Painter,,1040,0,42.9,1.65,6.89,,,,,86.7,43,83.3,50,83.7,35,52.3,59.5,NEUTRAL,54.9,THIN,62.3,STANDARD
85,Josh Naylor,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,L,Lance McCullers Jr.,,567,6.8,41.7,1.32,7.41,,,,,80.6,48.8,78.3,50,82.9,35,48.4,59.4,NEUTRAL,56.7,NEUTRAL,73.6,GOOD
86,Salvador Perez,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,R,Noah Schultz,L,430,9,40.2,0.72,4.68,1.32,5.21,8.28,5.76,56.5,50.3,59.6,62,85.4,52.3,52.7,59.4,NEUTRAL,57.2,NEUTRAL,69,GOOD
87,J.P. Crawford,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,L,Lance McCullers Jr.,,1060,8.3,36.1,1.32,7.41,,,,,80.6,47.9,78.3,50,86,35,47.6,59.4,NEUTRAL,52.2,THIN,58.6,STANDARD
88,Andy Pages,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,R,Robbie Ray,L,490,7.4,52.5,1.58,2.76,1.09,4.28,9.26,3.55,40.3,59.8,45.3,62,88.6,53.7,58.5,59.2,NEUTRAL,54.6,THIN,68.1,GOOD
89,Maikel Garcia,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,R,Noah Schultz,L,725,6.1,43.9,0.72,4.68,1.32,5.21,8.28,5.76,56.5,48.7,59.6,62,90.1,52.3,48.4,59.2,NEUTRAL,52.1,THIN,64.7,STANDARD
90,Ceddanne Rafaela,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,R,Andrew Painter,,980,7.2,36,1.65,6.89,,,,,86.7,40.4,83.3,50,90,35,44.8,59,NEUTRAL,53.2,THIN,65,GOOD
91,Will Benson,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,L,Jake Irvin,,323,13.2,39,1.13,5.22,,,,,54.3,60.8,56.9,50,88.4,35,62.2,58.7,NEUTRAL,56.8,NEUTRAL,73,GOOD
92,Alec Burleson,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,L,J.T. Ginn,,575,11.4,46.2,1.21,3.62,,,,,43.6,72.8,47.8,50,81.6,35,63.5,58.7,NEUTRAL,51.7,THIN,68.4,GOOD
93,Randy Arozarena,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,R,Lance McCullers Jr.,,591,6.1,41.7,1.32,7.41,,,,,80.6,44.2,78.3,50,87.8,35,46.6,58.6,NEUTRAL,56,NEUTRAL,70.1,GOOD
94,Jakob Marsee,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,L,Simeon Woods Richardson,,900,3.8,40.2,1.85,6.92,,,,,93.6,31.6,88.9,50,96.1,35,40.2,58.6,NEUTRAL,53.9,THIN,61.3,STANDARD
95,Hunter Goodman,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,R,Mitch Keller,,407,15.1,52.9,0.38,2.87,,,,,15.8,84.7,24.2,50,91.2,35,78.1,58,NEUTRAL,50.9,THIN,67.2,GOOD
96,Andrew Benintendi,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,L,Seth Lugo,R,650,10.3,53.2,0.19,3.21,1.36,4.25,7.93,3.21,37,67.1,35,62,80.7,52.9,66.3,58,NEUTRAL,53.4,THIN,65.9,GOOD
97,Matt Olson,Atlanta Braves,Chicago Cubs,Chicago Cubs @ Atlanta Braves,L,Shota Imanaga,L,400,19,51.2,0.76,2.28,0.93,3.12,10.08,2.47,10.7,99,15.3,43,72.6,50.1,84,57.9,NEUTRAL,54.7,THIN,71.6,GOOD
98,James McCann,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,R,Kumar Rocker,R,950,5,42.5,1.11,5.01,1.52,5.11,7.52,3.62,68.6,43.1,72.5,50,85.1,51.2,44.5,57.9,NEUTRAL,51.8,THIN,59.3,STANDARD
