name,mlbam,team,game,reason,available_log_teams
Kyle Higashioka,,Texas Rangers,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Angel Martínez,,Cleveland Guardians,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Jazz Chisholm Jr.,,New York Yankees,New York Yankees @ New York Mets,NO_LOG_MATCH,
Willi Castro,,Colorado Rockies,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Adley Rutschman,,Baltimore Orioles,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Juan Soto,,New York Mets,New York Yankees @ New York Mets,NO_LOG_MATCH,
Andy Pages,,Los Angeles Dodgers,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Riley Greene,,Detroit Tigers,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Vladimir Guerrero Jr.,,Toronto Blue Jays,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Ezequiel Tovar,,Colorado Rockies,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Carter Jensen,,Kansas City Royals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Jose Altuve,,Houston Astros,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Drake Baldwin,,Atlanta Braves,Boston Red Sox @ Atlanta Braves,NO_LOG_MATCH,
Spencer Steer,,Cincinnati Reds,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Manny Machado,,San Diego Padres,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
Jackson Merrill,,San Diego Padres,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
Ozzie Albies,,Atlanta Braves,Boston Red Sox @ Atlanta Braves,NO_LOG_MATCH,
Lourdes Gurriel Jr.,,Arizona Diamondbacks,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Daulton Varsho,,Toronto Blue Jays,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Jeremiah Jackson,,Baltimore Orioles,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Jonathan Aranda,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Bryce Harper,,Philadelphia Phillies,Philadelphia Phillies @ Pittsburgh Pirates,NO_LOG_MATCH,
Miguel Vargas,,Chicago White Sox,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Troy Johnston,,Colorado Rockies,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Danny Jansen,,Texas Rangers,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Matt Chapman,,San Francisco Giants,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Brice Matthews,,Houston Astros,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Taylor Ward,,Baltimore Orioles,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Alec Burleson,,St. Louis Cardinals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Lawrence Butler,,Athletics,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Kyle Tucker,,Los Angeles Dodgers,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Bobby Witt Jr.,,Kansas City Royals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Pete Crow-Armstrong,,Chicago Cubs,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Jorge Soler,,Los Angeles Angels,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Michael Busch,,Chicago Cubs,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Josh Naylor,,Seattle Mariners,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
George Springer,,Toronto Blue Jays,Toronto Blue Jays @ Detroit Tigers,NO_LOG_MATCH,
Salvador Perez,,Kansas City Royals,Kansas City Royals @ St. Louis Cardinals,NO_LOG_MATCH,
Julio Rodríguez,,Seattle Mariners,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
Luke Raley,,Seattle Mariners,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
Alex Bregman,,Chicago Cubs,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Coby Mayo,,Baltimore Orioles,Baltimore Orioles @ Washington Nationals,NO_LOG_MATCH,
Edouard Julien,,Colorado Rockies,Arizona Diamondbacks @ Colorado Rockies,NO_LOG_MATCH,
Austin Riley,,Atlanta Braves,Boston Red Sox @ Atlanta Braves,NO_LOG_MATCH,
Mike Trout,,Los Angeles Angels,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Fernando Tatis Jr.,,San Diego Padres,San Diego Padres @ Seattle Mariners,NO_LOG_MATCH,
Zack Gelof,,Athletics,San Francisco Giants @ Athletics,NO_LOG_MATCH,
Elly De La Cruz,,Cincinnati Reds,Cincinnati Reds @ Cleveland Guardians,NO_LOG_MATCH,
Kyle Stowers,,Miami Marlins,Miami Marlins @ Tampa Bay Rays,NO_LOG_MATCH,
Ian Happ,,Chicago Cubs,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Freddie Freeman,,Los Angeles Dodgers,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Will Smith,,Los Angeles Dodgers,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Isaac Paredes,,Houston Astros,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Jo Adell,,Los Angeles Angels,Los Angeles Dodgers @ Los Angeles Angels,NO_LOG_MATCH,
Moisés Ballesteros,,Chicago Cubs,Chicago Cubs @ Chicago White Sox,NO_LOG_MATCH,
Ben Rice,,New York Yankees,New York Yankees @ New York Mets,NO_LOG_MATCH,
Christian Walker,,Houston Astros,Texas Rangers @ Houston Astros,NO_LOG_MATCH,
Willson Contreras,,Boston Red Sox,Boston Red Sox @ Atlanta Braves,NO_LOG_MATCH,
