name,team,opponent,pitcher,pitch_type_score,pitch_type_grade,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,hitter_pitch_sample,pitcher_pitch_sample,matchup_note
Jonathan Aranda,Tampa Bay Rays,Toronto Blue Jays,Dylan Cease,81.48,STRONG,4-Seam Fastball,31.9,100.0,100.0,Cutter,100.0,Sinker,100.0,Slider 33.2% | 4-Seam Fastball 31.9% | Changeup 13.5% | Sinker 9.7%,247,310,Jonathan Aranda profiles best against 4-Seam Fastball | Dylan Cease grades weakest on Sinker
Dalton Rushing,Los Angeles Dodgers,San Francisco Giants,Robbie Ray,81.48,STRONG,4-Seam Fastball,52.4,84.3,100.0,Split-Finger,95.0,4-Seam Fastball,100.0,4-Seam Fastball 52.4% | Slider 23.6% | Changeup 18.8% | Knuckle Curve 5.1%,126,292,Dalton Rushing profiles best against 4-Seam Fastball | Robbie Ray grades weakest on 4-Seam Fastball
Nasim Nuñez,Washington Nationals,Cincinnati Reds,Nick Lodolo,81.43,STRONG,Curveball,20.5,75.7,99.5,Split-Finger,100.0,Sinker,100.0,Changeup 32.1% | Sinker 24.4% | 4-Seam Fastball 23.1% | Curveball 20.5%,207,78,Nasim Nuñez profiles best against Curveball | Nick Lodolo grades weakest on Sinker
Geraldo Perdomo,Arizona Diamondbacks,Texas Rangers,Kumar Rocker,81.39,STRONG,Sinker,32.6,87.7,100.0,4-Seam Fastball,100.0,Changeup,100.0,Slider 34.9% | Sinker 32.6% | Cutter 12.1% | 4-Seam Fastball 11.2%,259,215,Geraldo Perdomo profiles best against Sinker | Kumar Rocker grades weakest on Changeup
Carter Jensen,Kansas City Royals,Chicago White Sox,Noah Schultz,81.38,STRONG,Sinker,23.1,100.0,77.6,Curveball,100.0,Sweeper,100.0,Sweeper 26.3% | 4-Seam Fastball 25.1% | Sinker 23.1% | Cutter 17.5%,248,251,Carter Jensen profiles best against Sinker | Noah Schultz grades weakest on Sweeper
William Contreras,Milwaukee Brewers,San Diego Padres,Michael King,81.33,STRONG,4-Seam Fastball,22.9,100.0,78.5,4-Seam Fastball,100.0,Sweeper,100.0,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,239,284,William Contreras profiles best against 4-Seam Fastball | Michael King grades weakest on Sweeper
Pete Crow-Armstrong,Chicago Cubs,Atlanta Braves,JR Ritchie,81.27,STRONG,4-Seam Fastball,25.7,100.0,100.0,4-Seam Fastball,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,231,249,Pete Crow-Armstrong profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup
Seiya Suzuki,Chicago Cubs,Atlanta Braves,JR Ritchie,81.25,STRONG,4-Seam Fastball,25.7,100.0,100.0,4-Seam Fastball,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,297,249,Seiya Suzuki profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup
Alec Bohm,Philadelphia Phillies,Boston Red Sox,Sonny Gray,80.92,STRONG,Cutter,30.0,100.0,96.1,Cutter,100.0,Cutter,96.1,Cutter 30.0% | Curveball 21.4% | Sinker 18.6% | Sweeper 11.4%,210,70,Alec Bohm profiles best against Cutter | Sonny Gray grades weakest on Cutter | Direct pitch type overlap
Brett Baty,New York Mets,Detroit Tigers,Framber Valdez,80.82,STRONG,Changeup,24.2,82.0,100.0,4-Seam Fastball,100.0,Sinker,100.0,Sinker 39.9% | Curveball 31.9% | Changeup 24.2% | Slider 3.6%,213,248,Brett Baty profiles best against Changeup | Framber Valdez grades weakest on Sinker
Andrew Vaughn,Milwaukee Brewers,San Diego Padres,Michael King,80.81,STRONG,4-Seam Fastball,22.9,100.0,78.5,4-Seam Fastball,100.0,Sweeper,100.0,Changeup 28.2% | 4-Seam Fastball 22.9% | Sweeper 22.5% | Sinker 20.8%,64,284,Andrew Vaughn profiles best against 4-Seam Fastball | Michael King grades weakest on Sweeper
Alex Bregman,Chicago Cubs,Atlanta Braves,JR Ritchie,80.78,STRONG,4-Seam Fastball,25.7,85.4,100.0,Cutter,100.0,Changeup,100.0,Curveball 25.7% | 4-Seam Fastball 25.7% | Changeup 16.9% | Sinker 14.5%,265,249,Alex Bregman profiles best against 4-Seam Fastball | JR Ritchie grades weakest on Changeup
Ernie Clement,Toronto Blue Jays,Tampa Bay Rays,Griffin Jax,80.75,STRONG,4-Seam Fastball,30.4,78.3,100.0,Changeup,100.0,4-Seam Fastball,100.0,4-Seam Fastball 30.4% | Changeup 18.5% | Sinker 17.0% | Sweeper 17.0%,209,135,Ernie Clement profiles best against 4-Seam Fastball | Griffin Jax grades weakest on 4-Seam Fastball
Andrew Benintendi,Chicago White Sox,Kansas City Royals,Seth Lugo,80.68,STRONG,4-Seam Fastball,15.6,100.0,85.1,4-Seam Fastball,100.0,Cutter,100.0,Sinker 18.2% | Cutter 15.9% | 4-Seam Fastball 15.6% | Curveball 14.9%,187,302,Andrew Benintendi profiles best against 4-Seam Fastball | Seth Lugo grades weakest on Cutter
