rank,game,stack_size,players,teams,pitcher,stack_type,simulation_stack_type,base_stack_score,avg_player_hr_probability,simulated_any_hr_probability,simulated_all_hr_probability,adjusted_all_hr_probability,correlation_boost,avg_ev_percent,simulation_stack_score,simulation_stack_grade,payout_profile
1024,Chicago Cubs @ Atlanta Braves,4,Ian Happ + Pete Crow-Armstrong + Carson Kelly + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.80,10.31%,35.39%,0.0103%,0.0123%,19.61%,-34.80%,60.68,SIM_THIN_4MAN,NO_ODDS
1025,Arizona Diamondbacks @ Texas Rangers,3,Brandon Nimmo + Joc Pederson + Ezequiel Duran,Texas Rangers,Ryne Nelson,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.83,9.81%,26.67%,0.0899%,0.1080%,20.13%,-24.51%,60.67,SIM_THIN_3MAN,NO_ODDS
1026,Chicago Cubs @ Atlanta Braves,4,Seiya Suzuki + Dansby Swanson + Alex Bregman + Nico Hoerner,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.82,8.94%,31.34%,0.0054%,0.0065%,20.22%,-32.91%,60.67,SIM_THIN_4MAN,NO_ODDS
1027,Arizona Diamondbacks @ Texas Rangers,4,Corbin Carroll + Joc Pederson + Josh Jung + Nolan Arenado,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.63,9.85%,34.03%,0.0084%,0.0101%,20.03%,-33.29%,60.67,SIM_THIN_4MAN,NO_ODDS
1028,Arizona Diamondbacks @ Texas Rangers,4,Ketel Marte + Josh Jung + Evan Carter + Gabriel Moreno,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.56,9.73%,33.63%,0.0086%,0.0103%,20.02%,-26.44%,60.67,SIM_THIN_4MAN,NO_ODDS
1029,Tampa Bay Rays @ Toronto Blue Jays,4,Kazuma Okamoto + Daulton Varsho + Jesús Sánchez + George Springer,Toronto Blue Jays,Griffin Jax,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.24,9.48%,32.97%,0.0071%,0.0086%,19.86%,-42.60%,60.66,SIM_THIN_4MAN,NO_ODDS
1030,Chicago Cubs @ Atlanta Braves,3,Seiya Suzuki + Carson Kelly + Alex Bregman,Chicago Cubs,JR Ritchie,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,56.35,9.81%,26.66%,0.0921%,0.1108%,20.35%,-36.48%,60.64,SIM_THIN_3MAN,NO_ODDS
1031,Arizona Diamondbacks @ Texas Rangers,4,Joc Pederson + Jake Burger + Gabriel Moreno + Adrian Del Castillo,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.44,9.71%,33.56%,0.0084%,0.0101%,19.99%,-24.30%,60.64,SIM_THIN_4MAN,NO_ODDS
1032,Arizona Diamondbacks @ Texas Rangers,4,Corey Seager + Joc Pederson + Ezequiel Duran + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.67,9.68%,33.59%,0.0073%,0.0087%,20.07%,-28.11%,60.63,SIM_THIN_4MAN,NO_ODDS
1033,Arizona Diamondbacks @ Texas Rangers,4,Brandon Nimmo + Joc Pederson + Gabriel Moreno + Adrian Del Castillo,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.57,9.60%,33.24%,0.0081%,0.0098%,20.04%,-21.98%,60.63,SIM_THIN_4MAN,NO_ODDS
1034,Arizona Diamondbacks @ Texas Rangers,4,Jake Burger + Josh Jung + Evan Carter + Gabriel Moreno,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.55,9.68%,33.48%,0.0084%,0.0101%,20.03%,-25.40%,60.63,SIM_THIN_4MAN,NO_ODDS
1035,Chicago Cubs @ Atlanta Braves,4,Ian Happ + Pete Crow-Armstrong + Alex Bregman + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.79,10.33%,35.45%,0.0104%,0.0124%,19.61%,-36.96%,60.63,SIM_THIN_4MAN,NO_ODDS
1036,Chicago Cubs @ Atlanta Braves,4,Moisés Ballesteros + Pete Crow-Armstrong + Michael Busch + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.78,10.29%,35.26%,0.0108%,0.0129%,19.62%,-34.64%,60.63,SIM_THIN_4MAN,NO_ODDS
1037,Chicago Cubs @ Atlanta Braves,4,Moisés Ballesteros + Michael Busch + Carson Kelly + Michael Harris II,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.86,10.18%,34.95%,0.0104%,0.0125%,19.64%,-31.07%,60.62,SIM_THIN_4MAN,NO_ODDS
1038,Arizona Diamondbacks @ Texas Rangers,4,Brandon Nimmo + Josh Jung + Evan Carter + Gabriel Moreno,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.68,9.57%,33.16%,0.0081%,0.0098%,20.07%,-23.08%,60.61,SIM_THIN_4MAN,NO_ODDS
1039,Chicago Cubs @ Atlanta Braves,4,Ian Happ + Carson Kelly + Alex Bregman + Michael Harris II,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.86,10.23%,35.13%,0.0101%,0.0120%,19.63%,-33.39%,60.61,SIM_THIN_4MAN,NO_ODDS
1040,Chicago Cubs @ Atlanta Braves,4,Ian Happ + Dansby Swanson + Carson Kelly + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.84,10.22%,35.11%,0.0099%,0.0118%,19.63%,-32.94%,60.61,SIM_THIN_4MAN,NO_ODDS
1041,Arizona Diamondbacks @ Texas Rangers,3,Corey Seager + Evan Carter + Gabriel Moreno,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.80,10.40%,28.17%,0.1026%,0.1233%,20.16%,-18.81%,60.60,SIM_THIN_3MAN,NO_ODDS
1042,Arizona Diamondbacks @ Texas Rangers,4,Corbin Carroll + Joc Pederson + Ezequiel Duran + Adrian Del Castillo,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.53,9.72%,33.62%,0.0082%,0.0099%,20.01%,-26.99%,60.60,SIM_THIN_4MAN,NO_ODDS
1043,Chicago Cubs @ Atlanta Braves,4,Seiya Suzuki + Pete Crow-Armstrong + Carson Kelly + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.75,10.37%,35.49%,0.0114%,0.0136%,19.58%,-37.34%,60.60,SIM_THIN_4MAN,NO_ODDS
