rank,game,stack_size,players,teams,pitcher,stack_type,simulation_stack_type,base_stack_score,avg_player_hr_probability,simulated_any_hr_probability,simulated_all_hr_probability,adjusted_all_hr_probability,correlation_boost,avg_ev_percent,simulation_stack_score,simulation_stack_grade,payout_profile
1636,Kansas City Royals @ Chicago White Sox,4,Bobby Witt Jr. + Maikel Garcia + Carter Jensen + Vinnie Pasquantino,Kansas City Royals,Noah Schultz,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,53.90,8.59%,30.25%,0.0049%,0.0058%,19.19%,-36.43%,57.91,SIM_THIN_4MAN,NO_ODDS
1637,Arizona Diamondbacks @ Texas Rangers,4,Ketel Marte + Ezequiel Duran + Adrian Del Castillo + Nolan Arenado,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.18,8.56%,30.17%,0.0048%,0.0058%,19.84%,-31.47%,57.90,SIM_THIN_4MAN,NO_ODDS
1638,Chicago Cubs @ Atlanta Braves,4,Michael Busch + Alex Bregman + Michael Harris II + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.85,9.95%,34.25%,0.0096%,0.0114%,18.67%,-40.63%,57.90,SIM_THIN_4MAN,NO_ODDS
1639,Chicago Cubs @ Atlanta Braves,4,Seiya Suzuki + Pete Crow-Armstrong + Nico Hoerner + Michael Harris II,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.16,9.07%,31.72%,0.0057%,0.0068%,19.41%,-34.26%,57.89,SIM_THIN_4MAN,NO_ODDS
1640,Chicago Cubs @ Atlanta Braves,4,Dansby Swanson + Michael Busch + Matt Olson + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.82,9.94%,34.23%,0.0094%,0.0112%,18.67%,-40.19%,57.89,SIM_THIN_4MAN,NO_ODDS
1641,Tampa Bay Rays @ Toronto Blue Jays,3,Kazuma Okamoto + Vladimir Guerrero Jr. + Ernie Clement,Toronto Blue Jays,Griffin Jax,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,54.80,9.01%,24.88%,0.0543%,0.0651%,19.75%,-38.79%,57.88,SIM_THIN_3MAN,NO_ODDS
1642,Kansas City Royals @ Chicago White Sox,4,Bobby Witt Jr. + Salvador Perez + Isaac Collins + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.41,9.52%,33.04%,0.0075%,0.0089%,19.00%,-36.28%,57.88,SIM_THIN_4MAN,NO_ODDS
1643,San Francisco Giants @ Los Angeles Dodgers,3,Freddie Freeman + Will Smith + Teoscar Hernández,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.10,10.50%,28.30%,0.1152%,0.1365%,18.44%,-41.42%,57.86,SIM_THIN_3MAN,NO_ODDS
1644,Arizona Diamondbacks @ Texas Rangers,4,Jake Burger + Ezequiel Duran + Adrian Del Castillo + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.17,8.52%,30.02%,0.0048%,0.0057%,19.85%,-30.43%,57.86,SIM_THIN_4MAN,NO_ODDS
1645,Kansas City Royals @ Chicago White Sox,4,Salvador Perez + Vinnie Pasquantino + Nick Loftin + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.24,9.70%,33.73%,0.0067%,0.0080%,18.90%,-41.89%,57.86,SIM_THIN_4MAN,NO_ODDS
1646,Kansas City Royals @ Chicago White Sox,4,Salvador Perez + Nick Loftin + Munetaka Murakami + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.72,9.92%,34.36%,0.0075%,0.0089%,18.68%,-40.80%,57.86,SIM_THIN_4MAN,NO_ODDS
1647,San Francisco Giants @ Los Angeles Dodgers,4,Will Smith + Dalton Rushing + Teoscar Hernández + Kyle Tucker,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,51.75,9.70%,33.54%,0.0086%,0.0102%,18.29%,-44.45%,57.85,SIM_THIN_4MAN,NO_ODDS
1648,San Francisco Giants @ Los Angeles Dodgers,4,Andy Pages + Will Smith + Kyle Tucker + Mookie Betts,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,51.61,9.79%,33.81%,0.0089%,0.0106%,18.22%,-45.56%,57.85,SIM_THIN_4MAN,NO_ODDS
1649,Chicago Cubs @ Atlanta Braves,3,Dansby Swanson + Michael Busch + Michael Harris II,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.26,10.06%,27.26%,0.1007%,0.1202%,19.36%,-33.80%,57.85,SIM_THIN_3MAN,NO_ODDS
1650,San Francisco Giants @ Los Angeles Dodgers,4,Freddie Freeman + Will Smith + Dalton Rushing + Kyle Tucker,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,51.96,9.58%,33.19%,0.0082%,0.0097%,18.35%,-43.09%,57.84,SIM_THIN_4MAN,NO_ODDS
1651,San Francisco Giants @ Los Angeles Dodgers,4,Andy Pages + Dalton Rushing + Teoscar Hernández + Mookie Betts,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,51.61,9.79%,33.78%,0.0091%,0.0107%,18.21%,-45.16%,57.84,SIM_THIN_4MAN,NO_ODDS
1652,Arizona Diamondbacks @ Texas Rangers,4,Brandon Nimmo + Ezequiel Duran + Adrian Del Castillo + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.30,8.41%,29.68%,0.0046%,0.0055%,19.89%,-28.11%,57.84,SIM_THIN_4MAN,NO_ODDS
1653,San Francisco Giants @ Los Angeles Dodgers,4,Freddie Freeman + Andy Pages + Dalton Rushing + Mookie Betts,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,51.81,9.67%,33.43%,0.0087%,0.0102%,18.28%,-43.80%,57.83,SIM_THIN_4MAN,NO_ODDS
1654,Arizona Diamondbacks @ Texas Rangers,2,Joc Pederson + Gabriel Moreno,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.49,9.35%,17.85%,0.8594%,1.0315%,20.02%,-18.83%,57.83,SIM_THIN_2MAN,NO_ODDS
1655,Chicago Cubs @ Atlanta Braves,4,Dansby Swanson + Pete Crow-Armstrong + Nico Hoerner + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.08,9.04%,31.63%,0.0057%,0.0068%,19.39%,-33.18%,57.83,SIM_THIN_4MAN,NO_ODDS
1656,Kansas City Royals @ Chicago White Sox,4,Salvador Perez + Carter Jensen + Nick Loftin + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.25,9.63%,33.53%,0.0065%,0.0077%,18.92%,-40.27%,57.83,SIM_THIN_4MAN,NO_ODDS
1657,Kansas City Royals @ Chicago White Sox,3,Bobby Witt Jr. + Salvador Perez + Nick Loftin,Kansas City Royals,Noah Schultz,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,53.99,9.49%,25.96%,0.0732%,0.0873%,19.25%,-38.19%,57.82,SIM_THIN_3MAN,NO_ODDS
1658,Arizona Diamondbacks @ Texas Rangers,3,Ketel Marte + Ezequiel Duran + Gabriel Moreno,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.41,9.18%,25.13%,0.0724%,0.0869%,19.96%,-23.67%,57.82,SIM_THIN_3MAN,NO_ODDS
1659,Kansas City Royals @ Chicago White Sox,3,Bobby Witt Jr. + Lane Thomas + Colson Montgomery,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.30,10.64%,28.73%,0.1077%,0.1282%,18.95%,-39.43%,57.82,SIM_THIN_3MAN,NO_ODDS
1660,Kansas City Royals @ Chicago White Sox,4,Salvador Perez + Maikel Garcia + Nick Loftin + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.27,9.65%,33.60%,0.0066%,0.0078%,18.92%,-41.43%,57.82,SIM_THIN_4MAN,NO_ODDS
1661,Arizona Diamondbacks @ Texas Rangers,2,Ketel Marte + Nolan Arenado,Arizona Diamondbacks,Kumar Rocker,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,55.30,9.21%,17.65%,0.7732%,0.9268%,19.87%,-38.16%,57.81,SIM_THIN_2MAN,NO_ODDS
1662,Arizona Diamondbacks @ Texas Rangers,4,Joc Pederson + Evan Carter + Ezequiel Duran + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.29,8.38%,29.57%,0.0046%,0.0055%,19.90%,-27.78%,57.81,SIM_THIN_4MAN,NO_ODDS
1663,Chicago Cubs @ Atlanta Braves,4,Seiya Suzuki + Dansby Swanson + Nico Hoerner + Michael Harris II,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.20,8.97%,31.43%,0.0055%,0.0065%,19.42%,-32.39%,57.81,SIM_THIN_4MAN,NO_ODDS
1664,Kansas City Royals @ Chicago White Sox,4,Salvador Perez + Vinnie Pasquantino + Colson Montgomery + Miguel Vargas,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.73,9.95%,34.29%,0.0091%,0.0108%,18.67%,-42.37%,57.80,SIM_THIN_4MAN,NO_ODDS
1665,Kansas City Royals @ Chicago White Sox,4,Vinnie Pasquantino + Munetaka Murakami + Miguel Vargas + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.33,10.08%,34.77%,0.0088%,0.0104%,18.48%,-39.76%,57.80,SIM_THIN_4MAN,NO_ODDS
1666,Kansas City Royals @ Chicago White Sox,4,Salvador Perez + Colson Montgomery + Miguel Vargas + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.20,10.16%,34.91%,0.0102%,0.0120%,18.45%,-41.27%,57.80,SIM_THIN_4MAN,NO_ODDS
1667,Kansas City Royals @ Chicago White Sox,4,Bobby Witt Jr. + Vinnie Pasquantino + Nick Loftin + Colson Montgomery,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.36,9.54%,33.20%,0.0066%,0.0079%,18.96%,-38.64%,57.79,SIM_THIN_4MAN,NO_ODDS
1668,Chicago Cubs @ Atlanta Braves,4,Moisés Ballesteros + Carson Kelly + Matt Olson + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.87,9.78%,33.79%,0.0088%,0.0104%,18.68%,-36.28%,57.79,SIM_THIN_4MAN,NO_ODDS
1669,Kansas City Royals @ Chicago White Sox,4,Bobby Witt Jr. + Nick Loftin + Colson Montgomery + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.84,9.77%,33.84%,0.0074%,0.0088%,18.73%,-37.54%,57.79,SIM_THIN_4MAN,NO_ODDS
1670,Arizona Diamondbacks @ Texas Rangers,4,Joc Pederson + Gabriel Moreno + Adrian Del Castillo + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.14,8.38%,29.58%,0.0046%,0.0056%,19.85%,-25.85%,57.78,SIM_THIN_4MAN,NO_ODDS
1671,Tampa Bay Rays @ Toronto Blue Jays,3,Kazuma Okamoto + Vladimir Guerrero Jr. + Tyler Heineman,Toronto Blue Jays,Griffin Jax,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,54.52,9.02%,24.89%,0.0546%,0.0653%,19.68%,-37.51%,57.77,SIM_THIN_3MAN,NO_ODDS
1672,Kansas City Royals @ Chicago White Sox,4,Bobby Witt Jr. + Carter Jensen + Vinnie Pasquantino + Isaac Collins,Kansas City Royals,Noah Schultz,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,53.85,8.49%,29.98%,0.0046%,0.0055%,19.18%,-34.99%,57.77,SIM_THIN_4MAN,NO_ODDS
1673,Arizona Diamondbacks @ Texas Rangers,3,Jake Burger + Ezequiel Duran + Gabriel Moreno,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.39,9.11%,24.97%,0.0713%,0.0855%,19.97%,-22.28%,57.77,SIM_THIN_3MAN,NO_ODDS
1674,Kansas City Royals @ Chicago White Sox,4,Carter Jensen + Vinnie Pasquantino + Munetaka Murakami + Miguel Vargas,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.87,9.79%,33.95%,0.0076%,0.0090%,18.72%,-39.23%,57.77,SIM_THIN_4MAN,NO_ODDS
1675,Kansas City Royals @ Chicago White Sox,4,Salvador Perez + Carter Jensen + Colson Montgomery + Miguel Vargas,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.74,9.88%,34.10%,0.0088%,0.0104%,18.69%,-40.75%,57.77,SIM_THIN_4MAN,NO_ODDS
1676,Kansas City Royals @ Chicago White Sox,4,Carter Jensen + Munetaka Murakami + Miguel Vargas + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.35,10.01%,34.58%,0.0085%,0.0100%,18.49%,-38.13%,57.77,SIM_THIN_4MAN,NO_ODDS
1677,Kansas City Royals @ Chicago White Sox,4,Bobby Witt Jr. + Maikel Garcia + Vinnie Pasquantino + Isaac Collins,Kansas City Royals,Noah Schultz,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,53.86,8.52%,30.04%,0.0047%,0.0056%,19.18%,-36.15%,57.76,SIM_THIN_4MAN,NO_ODDS
1678,Arizona Diamondbacks @ Texas Rangers,3,Brandon Nimmo + Ezequiel Duran + Gabriel Moreno,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.56,8.97%,24.61%,0.0686%,0.0824%,20.02%,-19.19%,57.76,SIM_THIN_3MAN,NO_ODDS
1679,Arizona Diamondbacks @ Texas Rangers,4,Josh Jung + Evan Carter + Gabriel Moreno + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.24,8.36%,29.49%,0.0046%,0.0056%,19.88%,-26.94%,57.76,SIM_THIN_4MAN,NO_ODDS
1680,Chicago Cubs @ Atlanta Braves,4,Ian Happ + Carson Kelly + Nico Hoerner + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.02,9.03%,31.70%,0.0052%,0.0062%,19.36%,-33.60%,57.76,SIM_THIN_4MAN,NO_ODDS
1681,Kansas City Royals @ Chicago White Sox,4,Bobby Witt Jr. + Carter Jensen + Nick Loftin + Colson Montgomery,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.38,9.48%,33.01%,0.0064%,0.0076%,18.98%,-37.02%,57.76,SIM_THIN_4MAN,NO_ODDS
1682,Kansas City Royals @ Chicago White Sox,4,Maikel Garcia + Vinnie Pasquantino + Munetaka Murakami + Miguel Vargas,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.88,9.81%,34.01%,0.0077%,0.0091%,18.71%,-40.40%,57.76,SIM_THIN_4MAN,NO_ODDS
1683,Kansas City Royals @ Chicago White Sox,4,Salvador Perez + Maikel Garcia + Colson Montgomery + Miguel Vargas,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.75,9.90%,34.16%,0.0089%,0.0105%,18.68%,-41.91%,57.76,SIM_THIN_4MAN,NO_ODDS
1684,Kansas City Royals @ Chicago White Sox,4,Maikel Garcia + Munetaka Murakami + Miguel Vargas + Andrew Benintendi,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.36,10.03%,34.64%,0.0086%,0.0102%,18.49%,-39.30%,57.76,SIM_THIN_4MAN,NO_ODDS
1685,San Francisco Giants @ Los Angeles Dodgers,2,Freddie Freeman + Will Smith,Los Angeles Dodgers,Robbie Ray,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,52.33,10.55%,19.99%,1.1091%,1.3144%,18.52%,-40.17%,57.75,SIM_THIN_2MAN,NO_ODDS
1686,Arizona Diamondbacks @ Texas Rangers,3,Ketel Marte + Josh Jung + Nolan Arenado,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.48,9.44%,25.81%,0.0766%,0.0919%,19.94%,-37.31%,57.75,SIM_THIN_3MAN,NO_ODDS
1687,Kansas City Royals @ Chicago White Sox,4,Bobby Witt Jr. + Maikel Garcia + Nick Loftin + Colson Montgomery,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.39,9.50%,33.07%,0.0065%,0.0077%,18.97%,-38.18%,57.75,SIM_THIN_4MAN,NO_ODDS
1688,Chicago Cubs @ Atlanta Braves,3,Moisés Ballesteros + Pete Crow-Armstrong + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.23,10.00%,27.12%,0.0963%,0.1149%,19.35%,-33.34%,57.74,SIM_THIN_3MAN,NO_ODDS
1689,Chicago Cubs @ Atlanta Braves,4,Moisés Ballesteros + Alex Bregman + Matt Olson + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.86,9.80%,33.85%,0.0088%,0.0105%,18.68%,-38.43%,57.74,SIM_THIN_4MAN,NO_ODDS
1690,Kansas City Royals @ Chicago White Sox,4,Bobby Witt Jr. + Maikel Garcia + Carter Jensen + Isaac Collins,Kansas City Royals,Noah Schultz,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,53.88,8.45%,29.84%,0.0045%,0.0054%,19.20%,-34.53%,57.73,SIM_THIN_4MAN,NO_ODDS
1691,Chicago Cubs @ Atlanta Braves,3,Moisés Ballesteros + Carson Kelly + Michael Harris II,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.33,9.85%,26.77%,0.0934%,0.1115%,19.37%,-28.58%,57.73,SIM_THIN_3MAN,NO_ODDS
1692,Kansas City Royals @ Chicago White Sox,4,Maikel Garcia + Carter Jensen + Munetaka Murakami + Miguel Vargas,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.90,9.75%,33.82%,0.0074%,0.0088%,18.73%,-38.77%,57.73,SIM_THIN_4MAN,NO_ODDS
1693,Arizona Diamondbacks @ Texas Rangers,3,Jake Burger + Josh Jung + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.46,9.38%,25.65%,0.0754%,0.0904%,19.95%,-35.92%,57.70,SIM_THIN_3MAN,NO_ODDS
1694,Chicago Cubs @ Atlanta Braves,4,Pete Crow-Armstrong + Carson Kelly + Alex Bregman + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.36,9.03%,31.52%,0.0065%,0.0078%,19.42%,-38.36%,57.70,SIM_THIN_4MAN,NO_ODDS
1695,Chicago Cubs @ Atlanta Braves,4,Ian Happ + Alex Bregman + Nico Hoerner + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.01,9.05%,31.76%,0.0052%,0.0063%,19.35%,-35.75%,57.70,SIM_THIN_4MAN,NO_ODDS
1696,Chicago Cubs @ Atlanta Braves,4,Moisés Ballesteros + Michael Busch + Nico Hoerner + Drake Baldwin,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.00,9.01%,31.56%,0.0054%,0.0065%,19.36%,-33.43%,57.70,SIM_THIN_4MAN,NO_ODDS
1697,Tampa Bay Rays @ Toronto Blue Jays,3,Kazuma Okamoto + Daulton Varsho + Andrés Giménez,Toronto Blue Jays,Griffin Jax,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,54.82,8.94%,24.69%,0.0539%,0.0645%,19.76%,-40.80%,57.69,SIM_THIN_3MAN,NO_ODDS
1698,Arizona Diamondbacks @ Texas Rangers,3,Brandon Nimmo + Josh Jung + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.63,9.24%,25.29%,0.0726%,0.0872%,20.01%,-32.83%,57.69,SIM_THIN_3MAN,NO_ODDS
1699,Arizona Diamondbacks @ Texas Rangers,3,Ketel Marte + Ezequiel Duran + Adrian Del Castillo,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.35,9.26%,25.34%,0.0746%,0.0895%,19.92%,-28.91%,57.69,SIM_THIN_3MAN,NO_ODDS
1700,Arizona Diamondbacks @ Texas Rangers,4,Evan Carter + Ezequiel Duran + Gabriel Moreno + Adrian Del Castillo,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.15,8.22%,29.05%,0.0045%,0.0054%,19.86%,-20.64%,57.69,SIM_THIN_4MAN,NO_ODDS
1701,Kansas City Royals @ Chicago White Sox,4,Salvador Perez + Isaac Collins + Nick Loftin + Munetaka Murakami,Kansas City Royals / Chicago White Sox,Noah Schultz / Seth Lugo,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.22,9.56%,33.34%,0.0062%,0.0074%,18.91%,-40.00%,57.69,SIM_THIN_4MAN,NO_ODDS
1702,Arizona Diamondbacks @ Texas Rangers,3,Corbin Carroll + Evan Carter + Nolan Arenado,Arizona Diamondbacks / Texas Rangers,Kumar Rocker / Ryne Nelson,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.39,9.28%,25.42%,0.0719%,0.0863%,19.94%,-30.97%,57.68,SIM_THIN_3MAN,NO_ODDS
1703,Chicago Cubs @ Atlanta Braves,4,Seiya Suzuki + Carson Kelly + Nico Hoerner + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.97,9.09%,31.79%,0.0057%,0.0068%,19.32%,-36.13%,57.68,SIM_THIN_4MAN,NO_ODDS
1704,Arizona Diamondbacks @ Texas Rangers,4,Josh Jung + Evan Carter + Adrian Del Castillo + Nolan Arenado,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.20,8.42%,29.69%,0.0048%,0.0057%,19.85%,-30.87%,57.67,SIM_THIN_4MAN,NO_ODDS
1705,Chicago Cubs @ Atlanta Braves,4,Pete Crow-Armstrong + Carson Kelly + Michael Harris II + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.90,9.72%,33.59%,0.0088%,0.0105%,18.69%,-37.03%,57.67,SIM_THIN_4MAN,NO_ODDS
1706,Chicago Cubs @ Atlanta Braves,4,Ian Happ + Nico Hoerner + Michael Harris II + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,47.55,9.75%,33.82%,0.0071%,0.0084%,18.63%,-34.41%,57.67,SIM_THIN_4MAN,NO_ODDS
1707,Tampa Bay Rays @ Toronto Blue Jays,4,Vladimir Guerrero Jr. + Daulton Varsho + Jesús Sánchez + George Springer,Toronto Blue Jays,Griffin Jax,TEAMMATE_HR_STACK,LOW_CORRELATION_STACK,54.83,8.18%,28.93%,0.0045%,0.0053%,19.67%,-45.90%,57.66,SIM_THIN_4MAN,NO_ODDS
1708,Arizona Diamondbacks @ Texas Rangers,2,Joc Pederson + Adrian Del Castillo,Texas Rangers / Arizona Diamondbacks,Ryne Nelson / Kumar Rocker,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,50.40,9.48%,18.07%,0.8859%,1.0628%,19.97%,-26.68%,57.66,SIM_THIN_2MAN,NO_ODDS
1709,Chicago Cubs @ Atlanta Braves,3,Moisés Ballesteros + Alex Bregman + Michael Harris II,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,49.32,9.88%,26.83%,0.0942%,0.1125%,19.37%,-31.45%,57.66,SIM_THIN_3MAN,NO_ODDS
1710,Chicago Cubs @ Atlanta Braves,3,Michael Busch + Carson Kelly + Matt Olson,Chicago Cubs / Atlanta Braves,JR Ritchie / Shota Imanaga,GAME_ENVIRONMENT_STACK,LOW_CORRELATION_STACK,48.96,10.22%,27.65%,0.1052%,0.1254%,19.22%,-38.78%,57.66,SIM_THIN_3MAN,NO_ODDS
