rank,date,season,name,mlbam,team,opponent,game,game_pk,game_date,game_status,venue,home_away,is_home,pitcher,probable_pitcher,opposing_pitcher,pitcher_mlbam,pitcher_hand,opponent_probable_pitcher,opponent_probable_pitcher_mlbam,team_probable_pitcher,team_probable_pitcher_mlbam,odds,book,implied,score,statcast,barrel_pct,hard_hit_pct,avg_ev,xslg,xwoba,launch_angle,raw_team,raw_game,odds_source_row,weather_boost,weather_match,weather_temp,weather_wind,weather_wind_deg,weather_desc,weather_park,trend,trend_score,hot_score,l5_games,l10_games,l15_games,l5_hr,l10_hr,l15_hr,l5_hits,l10_hits,l5_tb,l10_tb,l5_tbpg,l10_tbpg,l5_hitpg,l10_hitpg,l5_papg,l10_papg,trend_last_game,trend_match_type,pitcher_team,pitcher_status,pitcher_gs,pitcher_ip,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_team_so,pitcher_last3,pitcher_k9,pitcher_bb9,pitcher_hr9,pitcher_attack_score,pitcher_attack_tag,pAtk,pitcher_match_type,park,ballpark,home_team,hr_park_score,parkScore,park_score,park_label,park_note,park_match_type,vegas_game_total,vegas_total_boost,vegas_total_match,vegas_total_game_key,vegas_total_source,pitch_type_score,pitch_type_grade,primary_pitch_match,primary_pitch_usage_pct,primary_pitch_hitter_score,primary_pitch_pitcher_weakness,best_hitter_pitch,best_hitter_pitch_score,weakest_pitcher_pitch,weakest_pitcher_pitch_score,pitcher_primary_mix,hitter_pitch_sample,pitcher_pitch_sample,pitch_type_note,bullpen_attack_score,bullpen_grade,bullpen_quality_score,bullpen_quality_grade,bullpen_fatigue_score,bullpen_fatigue_grade,bullpen_total_pitches_last_3,bullpen_innings_last_3,bullpen_pitchers_used_last_3,bullpen_relievers_20_plus,bullpen_relievers_25_plus,bullpen_relievers_30_plus,bullpen_back_to_back_relievers,bullpen_high_usage_relievers,bullpen_era,bullpen_whip,bullpen_hr_per_9,bullpen_k_per_9,bullpen_note,market_score,power_score,statcast_score,pitcher_score,park_score_model,vegas_score,lineup_score,odds_quality_score,final_score,tier
118,2026-05-13,2026,Heliot Ramos,,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,823952,2026-05-14T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,away,0,Yoshinobu Yamamoto,Shohei Ohtani,Shohei Ohtani,660271,R,Shohei Ohtani,660271,Robbie Ray,592662,590,DraftKings,14.49,25.60,missing,,,,,,,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,"{""player"":""Heliot Ramos"",""player_key"":""heliot ramos"",""team"":""San Francisco Giants"",""team_key"":""san francisco giants"",""game"":""San Francisco Giants @ Los Angeles Dodgers"",""game_key"":""san francisco giants @ los angeles dodgers"",""market"":""HR"",""line"":""0.5"",""odds"":""590"",""book"":""DraftKings"",""consensus_odds"":""573"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+590 | BetMGM:+575 | FanDuel:+570 | Caesars:+525"",""raw_books_seen"":""DraftKings:+590 | BetMGM:+575 | FanDuel:+570 | Caesars:+525"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Los Angeles Dodgers,probable,7,43.7,3.09,1.01,3.71,8.04,4.50,8.24,2.06,1.03,26.08,AVOID,26.08,MATCH,Dodger Stadium,Dodger Stadium,Los Angeles Dodgers,52.00,52.00,52.00,SLIGHT_BOOST,Slight HR boost,MATCH,,0.00,NO_MATCH,los angeles dodgers vs san francisco giants,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,34.79,AVOID,35.04,RESPECT,34.45,FRESH,103,4.3,6,2,1,1,1,Wyatt Mills 48 pitches 2 app,3.42,1.14,0.92,9.05,Opponent bullpen AVOID | Quality RESPECT | Fatigue FRESH,100.00,0.00,55.00,35.00,52.00,50.00,50.00,52.00,25.60,LONGSHOT
119,2026-05-13,2026,Casey Schmitt,,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,823952,2026-05-14T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,away,0,Yoshinobu Yamamoto,Shohei Ohtani,Shohei Ohtani,660271,R,Shohei Ohtani,660271,Robbie Ray,592662,572,DraftKings,14.88,25.60,missing,,,,,,,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,"{""player"":""Casey Schmitt"",""player_key"":""casey schmitt"",""team"":""San Francisco Giants"",""team_key"":""san francisco giants"",""game"":""San Francisco Giants @ Los Angeles Dodgers"",""game_key"":""san francisco giants @ los angeles dodgers"",""market"":""HR"",""line"":""0.5"",""odds"":""572"",""book"":""DraftKings"",""consensus_odds"":""560"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+572 | FanDuel:+570 | BetMGM:+550 | Caesars:+525"",""raw_books_seen"":""DraftKings:+572 | FanDuel:+570 | BetMGM:+550 | Caesars:+525 | DraftKings:+572"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Los Angeles Dodgers,probable,7,43.7,3.09,1.01,3.71,8.04,4.50,8.24,2.06,1.03,26.08,AVOID,26.08,MATCH,Dodger Stadium,Dodger Stadium,Los Angeles Dodgers,52.00,52.00,52.00,SLIGHT_BOOST,Slight HR boost,MATCH,,0.00,NO_MATCH,los angeles dodgers vs san francisco giants,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,34.79,AVOID,35.04,RESPECT,34.45,FRESH,103,4.3,6,2,1,1,1,Wyatt Mills 48 pitches 2 app,3.42,1.14,0.92,9.05,Opponent bullpen AVOID | Quality RESPECT | Fatigue FRESH,100.00,0.00,55.00,35.00,52.00,50.00,50.00,52.00,25.60,LONGSHOT
120,2026-05-13,2026,Willson Contreras,,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,824763,2026-05-13T22:45:00Z,Scheduled,Fenway Park,home,1,Zack Wheeler,Andrew Painter,Andrew Painter,691725,R,Andrew Painter,691725,Sonny Gray,543243,525,BetMGM,16.00,25.60,missing,,,,,,,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,"{""player"":""Willson Contreras"",""player_key"":""willson contreras"",""team"":""Boston Red Sox"",""team_key"":""boston red sox"",""game"":""Philadelphia Phillies @ Boston Red Sox"",""game_key"":""philadelphia phillies @ boston red sox"",""market"":""HR"",""line"":""0.5"",""odds"":""525"",""book"":""BetMGM"",""consensus_odds"":""481"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+525 | FanDuel:+490 | DraftKings:+472 | Caesars:+425"",""raw_books_seen"":""BetMGM:+525 | FanDuel:+490 | DraftKings:+472 | Caesars:+425 | BetMGM:+400"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Philadelphia Phillies,probable,4,24.7,2.55,0.93,3.42,8.40,2.29,8.03,2.19,0.36,4.87,AVOID,4.87,MATCH,Fenway Park,Fenway Park,Boston Red Sox,52.00,52.00,52.00,NEUTRAL,Neutral HR environment,MATCH,,0.00,NO_MATCH,boston red sox vs philadelphia phillies,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,35.74,RESPECT,52.93,NEUTRAL,12.00,FRESH,30,2.7,3,0,0,0,0,,4.50,1.40,0.99,9.59,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,35.00,52.00,50.00,50.00,52.00,25.60,LONGSHOT
121,2026-05-13,2026,Rafael Devers,,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,823952,2026-05-14T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,away,0,Yoshinobu Yamamoto,Shohei Ohtani,Shohei Ohtani,660271,R,Shohei Ohtani,660271,Robbie Ray,592662,490,FanDuel,16.95,25.60,missing,,,,,,,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,"{""player"":""Rafael Devers"",""player_key"":""rafael devers"",""team"":""San Francisco Giants"",""team_key"":""san francisco giants"",""game"":""San Francisco Giants @ Los Angeles Dodgers"",""game_key"":""san francisco giants @ los angeles dodgers"",""market"":""HR"",""line"":""0.5"",""odds"":""490"",""book"":""FanDuel"",""consensus_odds"":""439"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+490 | DraftKings:+452 | Caesars:+425 | BetMGM:+425"",""raw_books_seen"":""FanDuel:+490 | DraftKings:+452 | Caesars:+425 | BetMGM:+425 | FanDuel:+490"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Los Angeles Dodgers,probable,7,43.7,3.09,1.01,3.71,8.04,4.50,8.24,2.06,1.03,26.08,AVOID,26.08,MATCH,Dodger Stadium,Dodger Stadium,Los Angeles Dodgers,52.00,52.00,52.00,SLIGHT_BOOST,Slight HR boost,MATCH,,0.00,NO_MATCH,los angeles dodgers vs san francisco giants,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,34.79,AVOID,35.04,RESPECT,34.45,FRESH,103,4.3,6,2,1,1,1,Wyatt Mills 48 pitches 2 app,3.42,1.14,0.92,9.05,Opponent bullpen AVOID | Quality RESPECT | Fatigue FRESH,100.00,0.00,55.00,35.00,52.00,50.00,50.00,52.00,25.60,LONGSHOT
122,2026-05-13,2026,Wilyer Abreu,,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,824763,2026-05-13T22:45:00Z,Scheduled,Fenway Park,home,1,Zack Wheeler,Andrew Painter,Andrew Painter,691725,R,Andrew Painter,691725,Sonny Gray,543243,490,FanDuel,16.95,25.60,missing,,,,,,,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,"{""player"":""Wilyer Abreu"",""player_key"":""wilyer abreu"",""team"":""Boston Red Sox"",""team_key"":""boston red sox"",""game"":""Philadelphia Phillies @ Boston Red Sox"",""game_key"":""philadelphia phillies @ boston red sox"",""market"":""HR"",""line"":""0.5"",""odds"":""490"",""book"":""FanDuel"",""consensus_odds"":""475"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+490 | BetMGM:+475 | DraftKings:+475 | Caesars:+425"",""raw_books_seen"":""FanDuel:+2000 | DraftKings:+1600 | Caesars:+1500 | FanDuel:+490 | BetMGM:+475 | DraftKings:+475 | Caesars:+425 | BetMGM:+400 | FanDuel:+2000"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Philadelphia Phillies,probable,4,24.7,2.55,0.93,3.42,8.40,2.29,8.03,2.19,0.36,4.87,AVOID,4.87,MATCH,Fenway Park,Fenway Park,Boston Red Sox,52.00,52.00,52.00,NEUTRAL,Neutral HR environment,MATCH,,0.00,NO_MATCH,boston red sox vs philadelphia phillies,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,35.74,RESPECT,52.93,NEUTRAL,12.00,FRESH,30,2.7,3,0,0,0,0,,4.50,1.40,0.99,9.59,Opponent bullpen RESPECT | Quality NEUTRAL | Fatigue FRESH,100.00,0.00,55.00,35.00,52.00,50.00,50.00,52.00,25.60,LONGSHOT
123,2026-05-13,2026,Garrett Mitchell,,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,home,1,Bradgley Rodriguez,Michael King,Michael King,650633,R,Michael King,650633,Jacob Misiorowski,694819,1000,BetMGM,9.09,25.59,missing,,,,,,,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,"{""player"":""Garrett Mitchell"",""player_key"":""garrett mitchell"",""team"":""Milwaukee Brewers"",""team_key"":""milwaukee brewers"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""1000"",""book"":""BetMGM"",""consensus_odds"":""850"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1000 | FanDuel:+880 | DraftKings:+820 | Caesars:+750"",""raw_books_seen"":""BetMGM:+1000 | FanDuel:+880 | DraftKings:+820 | DraftKings:+800 | FanDuel:+800 | Caesars:+750 | Caesars:+700 | BetMGM:+525 | BetMGM:+1000"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,San Diego Padres,probable,2,20.7,1.74,0.97,3.71,7.71,3.00,6.53,2.18,0.00,9.35,AVOID,9.35,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH,,0.00,NO_MATCH,milwaukee brewers vs san diego padres,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,42.37,RESPECT,45.26,RESPECT,38.37,NORMAL,114,6.7,5,2,2,2,0,Matt Waldron 59 pitches 1 app,4.18,1.25,0.90,8.81,Opponent bullpen RESPECT | Quality RESPECT | Fatigue NORMAL,94.88,0.00,55.00,35.00,65.00,50.00,50.00,52.00,25.59,LONGSHOT
124,2026-05-13,2026,William Contreras,,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,home,1,Bradgley Rodriguez,Michael King,Michael King,650633,R,Michael King,650633,Jacob Misiorowski,694819,1000,DraftKings,9.09,25.59,missing,,,,,,,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,"{""player"":""William Contreras"",""player_key"":""william contreras"",""team"":""Milwaukee Brewers"",""team_key"":""milwaukee brewers"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""1000"",""book"":""DraftKings"",""consensus_odds"":""865"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1000 | FanDuel:+880 | Caesars:+850 | BetMGM:+800"",""raw_books_seen"":""FanDuel:+1200 | DraftKings:+1000 | DraftKings:+900 | FanDuel:+880 | Caesars:+850 | BetMGM:+800 | Caesars:+750 | BetMGM:+375 | FanDuel:+1200"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,San Diego Padres,probable,2,20.7,1.74,0.97,3.71,7.71,3.00,6.53,2.18,0.00,9.35,AVOID,9.35,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH,,0.00,NO_MATCH,milwaukee brewers vs san diego padres,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,42.37,RESPECT,45.26,RESPECT,38.37,NORMAL,114,6.7,5,2,2,2,0,Matt Waldron 59 pitches 1 app,4.18,1.25,0.90,8.81,Opponent bullpen RESPECT | Quality RESPECT | Fatigue NORMAL,94.88,0.00,55.00,35.00,65.00,50.00,50.00,52.00,25.59,LONGSHOT
125,2026-05-13,2026,Ryan Vilade,,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,822815,2026-05-13T23:07:00Z,Scheduled,Rogers Centre,away,0,Patrick Corbin,Dylan Cease,Dylan Cease,656302,R,Dylan Cease,656302,Griffin Jax,643377,1060,DraftKings,8.62,25.47,missing,,,,,,,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,"{""player"":""Ryan Vilade"",""player_key"":""ryan vilade"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Tampa Bay Rays @ Toronto Blue Jays"",""game_key"":""tampa bay rays @ toronto blue jays"",""market"":""HR"",""line"":""0.5"",""odds"":""1060"",""book"":""DraftKings"",""consensus_odds"":""1045"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1060 | BetMGM:+1050 | FanDuel:+1040 | Caesars:+950"",""raw_books_seen"":""DraftKings:+2200 | FanDuel:+2200 | Caesars:+2000 | DraftKings:+1060 | BetMGM:+1050 | FanDuel:+1040 | Caesars:+950 | BetMGM:+875 | DraftKings:+2200"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Toronto Blue Jays,probable,7,34.3,3.93,1.40,4.97,6.97,4.20,5.77,2.62,0.79,45.65,NEUTRAL,45.65,MATCH,Rogers Centre,Rogers Centre,Toronto Blue Jays,62.00,62.00,62.00,BOOST,Good HR park,MATCH,,0.00,NO_MATCH,tampa bay rays vs toronto blue jays,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,58.06,NEUTRAL,48.88,NEUTRAL,70.74,TIRED,184,12.0,7,2,2,2,0,Tommy Nance 40 pitches 2 app | Eric Lauer 80 pitches 1 app,4.19,1.30,1.03,9.06,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue TIRED,89.00,0.00,55.00,45.65,62.00,50.00,50.00,52.00,25.47,LONGSHOT
126,2026-05-13,2026,Heriberto Hernández,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Bailey Ober,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,950,FanDuel,9.52,25.44,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Heriberto Hernández"",""player_key"":""heriberto hernandez"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""950"",""book"":""FanDuel"",""consensus_odds"":""875"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+950 | DraftKings:+900 | Caesars:+850 | BetMGM:+725"",""raw_books_seen"":""FanDuel:+950 | DraftKings:+900 | Caesars:+850 | BetMGM:+725 | FanDuel:+950"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,9,48.0,3.75,1.10,4.41,8.23,3.38,6.94,2.81,0.94,34.07,AVOID,34.07,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,,0.00,NO_MATCH,miami marlins vs minnesota twins,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,52.05,NEUTRAL,57.07,NEUTRAL,45.12,NORMAL,152,8.0,5,3,2,2,0,Kendry Rojas 60 pitches 1 app | Travis Adams 43 pitches 1 app,4.56,1.37,0.96,7.77,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue NORMAL,100.00,0.00,55.00,35.00,50.00,50.00,50.00,52.00,25.44,LONGSHOT
127,2026-05-13,2026,Kyle Stowers,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Bailey Ober,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,950,FanDuel,9.52,25.44,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Kyle Stowers"",""player_key"":""kyle stowers"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""950"",""book"":""FanDuel"",""consensus_odds"":""750"",""trusted_books_count"":""3"",""trusted_books"":""FanDuel:+950 | DraftKings:+750 | Caesars:+700"",""raw_books_seen"":""FanDuel:+950 | DraftKings:+750 | Caesars:+700 | BetMGM:+390 | FanDuel:+950"",""removed_outliers"":""2"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,9,48.0,3.75,1.10,4.41,8.23,3.38,6.94,2.81,0.94,34.07,AVOID,34.07,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,,0.00,NO_MATCH,miami marlins vs minnesota twins,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,52.05,NEUTRAL,57.07,NEUTRAL,45.12,NORMAL,152,8.0,5,3,2,2,0,Kendry Rojas 60 pitches 1 app | Travis Adams 43 pitches 1 app,4.56,1.37,0.96,7.77,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue NORMAL,100.00,0.00,55.00,35.00,50.00,50.00,50.00,52.00,25.44,LONGSHOT
128,2026-05-13,2026,Owen Caissie,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Bailey Ober,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,625,BetMGM,13.79,25.44,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Owen Caissie"",""player_key"":""owen caissie"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""625"",""book"":""BetMGM"",""consensus_odds"":""500"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+625 | DraftKings:+500 | Caesars:+500 | FanDuel:+490"",""raw_books_seen"":""BetMGM:+625 | DraftKings:+500 | Caesars:+500 | FanDuel:+490 | BetMGM:+625"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,9,48.0,3.75,1.10,4.41,8.23,3.38,6.94,2.81,0.94,34.07,AVOID,34.07,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH,,0.00,NO_MATCH,miami marlins vs minnesota twins,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,52.05,NEUTRAL,57.07,NEUTRAL,45.12,NORMAL,152,8.0,5,3,2,2,0,Kendry Rojas 60 pitches 1 app | Travis Adams 43 pitches 1 app,4.56,1.37,0.96,7.77,Opponent bullpen NEUTRAL | Quality NEUTRAL | Fatigue NORMAL,100.00,0.00,55.00,35.00,50.00,50.00,50.00,52.00,25.44,LONGSHOT
129,2026-05-13,2026,Cole Young,,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,824195,2026-05-14T00:10:00Z,Scheduled,Daikin Park,away,0,Tatsuya Imai,Lance McCullers Jr.,Lance McCullers Jr.,621121,R,Lance McCullers Jr.,621121,Bryce Miller,682243,1300,Caesars,7.14,25.43,missing,,,,,,,Seattle Mariners,Seattle Mariners @ Houston Astros,"{""player"":""Cole Young"",""player_key"":""cole young"",""team"":""Seattle Mariners"",""team_key"":""seattle mariners"",""game"":""Seattle Mariners @ Houston Astros"",""game_key"":""seattle mariners @ houston astros"",""market"":""HR"",""line"":""0.5"",""odds"":""1300"",""book"":""Caesars"",""consensus_odds"":""1100"",""trusted_books_count"":""4"",""trusted_books"":""Caesars:+1300 | FanDuel:+1100 | DraftKings:+1100 | BetMGM:+900"",""raw_books_seen"":""Caesars:+1300 | FanDuel:+1100 | DraftKings:+1100 | BetMGM:+900 | Caesars:+1300"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Houston Astros,probable,4,10.7,7.59,2.06,6.45,9.21,5.63,12.66,10.12,0.84,77.48,ATTACK,77.48,MATCH,Daikin Park,Daikin Park,Houston Astros,59.00,59.00,59.00,SLIGHT_BOOST,Slight HR boost,MATCH,,0.00,NO_MATCH,houston astros vs seattle mariners,best_lines.csv,,NO MATCH,,,,,,,,,,,,No pitch type matchup row found,60.02,NEUTRAL,77.77,LIVE,35.52,FRESH,117,7.0,6,2,1,1,0,Cody Bolton 50 pitches 1 app,5.51,1.58,1.36,9.09,Opponent bullpen NEUTRAL | Quality LIVE | Fatigue FRESH,70.50,0.00,55.00,77.48,59.00,50.00,50.00,52.00,25.43,LONGSHOT
