player,player_key,player_id,team,game,event_id,market,line,best_odds,best_book,book_count,market_average_odds,all_books,source
Jake Burger,jake burger,JACOB_BURGER_1_MLB,TEXAS_RANGERS_MLB,Arizona Diamondbacks @ Texas Rangers,vkPBrqakh6I8g5MslwZk,1+ Hit,0.5,-180,espnbet,6,-186,espnbet:-180 | draftkings:-184 | fanduel:-185 | caesars:-190 | bovada:-190 | betmgm:-190,SportsGameOdds
Jake Fraley,jake fraley,JAKE_FRALEY_1_MLB,TAMPA_BAY_RAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,-125,draftkings,6,-134,draftkings:-125 | caesars:-130 | espnbet:-130 | fanduel:-140 | betmgm:-140 | bovada:-141,SportsGameOdds
Jake McCarthy,jake mccarthy,JAKE_MCCARTHY_1_MLB,COLORADO_ROCKIES_MLB,Colorado Rockies @ Pittsburgh Pirates,fEtn3RRaeEUtiYmpKR2B,1+ Hit,0.5,-150,betmgm,6,-166,betmgm:-150 | espnbet:-160 | caesars:-162 | draftkings:-174 | fanduel:-175 | bovada:-176,SportsGameOdds
Jakob Marsee,jakob marsee,JAKOB_MARSEE_1_MLB,MIAMI_MARLINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-165,espnbet,6,-170,espnbet:-165 | betmgm:-165 | draftkings:-169 | caesars:-170 | fanduel:-175 | bovada:-176,SportsGameOdds
James McCann,james mccann,JAMES_MCCANN_1_MLB,ARIZONA_DIAMONDBACKS_MLB,Arizona Diamondbacks @ Texas Rangers,vkPBrqakh6I8g5MslwZk,1+ Hit,0.5,-145,bovada,3,-149,bovada:-145 | draftkings:-149 | caesars:-152,SportsGameOdds
James Wood,james wood,JAMES_WOOD_1_MLB,WASHINGTON_NATIONALS_MLB,Washington Nationals @ Cincinnati Reds,9WCX5PHvY5z4Ssc6Rkjl,1+ Hit,0.5,-200,espnbet,6,-218,espnbet:-200 | betmgm:-200 | caesars:-218 | draftkings:-221 | fanduel:-230 | bovada:-240,SportsGameOdds
Jared Triolo,jared triolo,JARED_TRIOLO_1_MLB,PITTSBURGH_PIRATES_MLB,Colorado Rockies @ Pittsburgh Pirates,fEtn3RRaeEUtiYmpKR2B,1+ Hit,0.5,-161,draftkings,6,-169,draftkings:-161 | betmgm:-165 | caesars:-170 | fanduel:-170 | bovada:-170 | espnbet:-180,SportsGameOdds
Jarren Duran,jarren duran,JARREN_DURAN_1_MLB,BOSTON_RED_SOX_MLB,Philadelphia Phillies @ Boston Red Sox,23gDRALOAsa1y24kImKW,1+ Hit,0.5,-250,fanduel,12,-275,fanduel:-250 | caesars:-250 | betmgm:-250 | bovada:-256 | draftkings:-270 | bovada:-275 | betmgm:-275 | fanduel:-280 | draftkings:-289 | caesars:-290 | espnbet:-300 | espnbet:-320,SportsGameOdds
Javier Sanoja,javier sanoja,JAVIER_SANOJA_1_MLB,MIAMI_MARLINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-190,betmgm,2,-191,betmgm:-190 | caesars:-193,SportsGameOdds
Jeff McNeil,jeff mcneil,JEFF_MCNEIL_1_MLB,OAKLAND_ATHLETICS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,-180,espnbet,6,-186,espnbet:-180 | fanduel:-185 | betmgm:-185 | bovada:-186 | caesars:-190 | draftkings:-192,SportsGameOdds
Jesus Rodriguez,jesus rodriguez,JESUS_RODRIGUEZ_1_MLB,SAN_FRANCISCO_GIANTS_MLB,San Francisco Giants @ Los Angeles Dodgers,wPt49zIIwlxXYLw2I1u8,1+ Hit,0.5,-115,betmgm,6,-123,betmgm:-115 | caesars:-120 | espnbet:-120 | draftkings:-122 | fanduel:-130 | bovada:-130,SportsGameOdds
Jesús Sánchez,jesús sánchez,JESUS_SANCHEZ_1_MLB,TORONTO_BLUE_JAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,-155,betmgm,6,-174,betmgm:-155 | draftkings:-161 | espnbet:-165 | caesars:-170 | fanduel:-195 | bovada:-200,SportsGameOdds
JJ Bleday,jj bleday,JJ_BLEDAY_1_MLB,CINCINNATI_REDS_MLB,Washington Nationals @ Cincinnati Reds,9WCX5PHvY5z4Ssc6Rkjl,1+ Hit,0.5,-150,betmgm,6,-176,betmgm:-150 | espnbet:-165 | caesars:-173 | draftkings:-175 | fanduel:-195 | bovada:-197,SportsGameOdds
Joc Pederson,joc pederson,JOC_PEDERSON_1_MLB,TEXAS_RANGERS_MLB,Arizona Diamondbacks @ Texas Rangers,vkPBrqakh6I8g5MslwZk,1+ Hit,0.5,-133,draftkings,6,-142,draftkings:-133 | fanduel:-140 | espnbet:-140 | bovada:-141 | caesars:-143 | betmgm:-155,SportsGameOdds
Joe Mack,joe mack,JOE_MACK_1_MLB,MIAMI_MARLINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-130,betmgm,6,-147,betmgm:-130 | espnbet:-140 | caesars:-145 | draftkings:-148 | bovada:-159 | fanduel:-160,SportsGameOdds
Joey Ortiz,joey ortiz,JOEY_ORTIZ_1_MLB,MILWAUKEE_BREWERS_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,1+ Hit,0.5,-115,caesars,2,-117,caesars:-115 | betmgm:-120,SportsGameOdds
Joey Wiemer,joey wiemer,JOEY_WIEMER_1_MLB,WASHINGTON_NATIONALS_MLB,Washington Nationals @ Cincinnati Reds,9WCX5PHvY5z4Ssc6Rkjl,1+ Hit,0.5,-132,draftkings,6,-139,draftkings:-132 | betmgm:-135 | caesars:-139 | espnbet:-140 | fanduel:-145 | bovada:-145,SportsGameOdds
Jonathan Aranda,jonathan aranda,JONATHAN_ARANDA_1_MLB,TAMPA_BAY_RAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,-147,draftkings,12,-174,draftkings:-147 | fanduel:-160 | bovada:-161 | espnbet:-165 | caesars:-170 | fanduel:-175 | bovada:-176 | espnbet:-180 | betmgm:-185 | betmgm:-185 | caesars:-190 | draftkings:-191,SportsGameOdds
Jonny DeLuca,jonny deluca,JONNY_DELUCA_1_MLB,TAMPA_BAY_RAYS_MLB,Tampa Bay Rays @ Toronto Blue Jays,hfvdlXay68k08F2DyA3c,1+ Hit,0.5,-140,fanduel,8,-148,fanduel:-140 | espnbet:-140 | draftkings:-142 | caesars:-145 | bovada:-145 | betmgm:-155 | bovada:-159 | fanduel:-160,SportsGameOdds
Jordan Walker,jordan walker,JORDAN_WALKER_1_MLB,STLOUIS_CARDINALS_MLB,St. Louis Cardinals @ Athletics,e2nlMFGSQ0jUFI0WGwsy,1+ Hit,0.5,-200,espnbet,12,-234,espnbet:-200 | betmgm:-220 | fanduel:-220 | bovada:-222 | betmgm:-225 | draftkings:-226 | caesars:-230 | espnbet:-240 | caesars:-250 | fanduel:-250 | bovada:-250 | draftkings:-273,SportsGameOdds
Jorge Mateo,jorge mateo,JORGE_MATEO_1_MLB,ATLANTA_BRAVES_MLB,Chicago Cubs @ Atlanta Braves,zmLQnKq5pQ9vXZHpJCFP,1+ Hit,0.5,-137,caesars,5,-140,caesars:-137 | draftkings:-138 | bovada:-139 | betmgm:-140 | fanduel:-145,SportsGameOdds
Jose Altuve,jose altuve,JOSE_ALTUVE_1_MLB,HOUSTON_ASTROS_MLB,Seattle Mariners @ Houston Astros,GLtZ31RmCQ7wT445NXwl,1+ Hit,0.5,-220,betmgm,6,-249,betmgm:-220 | caesars:-240 | espnbet:-240 | fanduel:-260 | bovada:-265 | draftkings:-272,SportsGameOdds
Josh Bell,josh bell,JOSHUA_BELL_1_MLB,MINNESOTA_TWINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-179,bovada,6,-189,bovada:-179 | fanduel:-180 | espnbet:-180 | betmgm:-190 | caesars:-197 | draftkings:-207,SportsGameOdds
Josh Jung,josh jung,JOSH_JUNG_1_MLB,TEXAS_RANGERS_MLB,Arizona Diamondbacks @ Texas Rangers,vkPBrqakh6I8g5MslwZk,1+ Hit,0.5,-220,espnbet,6,-247,espnbet:-220 | draftkings:-240 | caesars:-250 | betmgm:-250 | fanduel:-260 | bovada:-265,SportsGameOdds
Josh Naylor,josh naylor,JOSH_NAYLOR_1_MLB,SEATTLE_MARINERS_MLB,Seattle Mariners @ Houston Astros,GLtZ31RmCQ7wT445NXwl,1+ Hit,0.5,-220,espnbet,6,-254,espnbet:-220 | betmgm:-225 | caesars:-235 | fanduel:-270 | bovada:-275 | draftkings:-300,SportsGameOdds
