updatedAt,team,opponent,game,venue,opposingPitcher,stackSize,players,batSides,avgHrScore,avgOps,avgSlg,totalSeasonHr,redAttackZones,pitcherCollapseProbability,bullpenCollapseScore,weatherBoost,parkBoost,correlationScore,leverageScore,leverageProfile,volatilityScore,volatilityMeter,hrChainReactionProbability,finalStackScore,stackGrade,correlatedHrLane,sprayDistribution,topAttackZones
2026-05-23T14:34:16.238Z,Atlanta Braves,Washington Nationals,Washington Nationals at Atlanta Braves,Truist Park,Jake Irvin,2,Dominic Smith | Michael Harris II,L | L,48,0.863,0.524,16,1,89,86,10,0,67,63,SOLID LEVERAGE,82,CHAOTIC,79,72,ATTACK STACK,SAME SIDE POWER LANE,L SIDE CLUSTER,Dominic Smith: 7:76 | 8:75 | 9:75 | 13:72 | 14:72 || Michael Harris II: 7:78 | 8:77 | 9:77 | 13:74 | 14:74
2026-05-23T14:34:16.238Z,Atlanta Braves,Washington Nationals,Washington Nationals at Atlanta Braves,Truist Park,Jake Irvin,3,Dominic Smith | Michael Harris II | Chadwick Tromp,L | L | R,46.67,0.956,0.539,16,2,89,86,10,0,62,63,SOLID LEVERAGE,86,CHAOTIC,80,72,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Dominic Smith: 7:76 | 8:75 | 9:75 | 13:72 | 14:72 || Michael Harris II: 7:78 | 8:77 | 9:77 | 13:74 | 14:74 || Chadwick Tromp: 7:81 | 8:73 | 13:70 | 18:68 | 12:67
2026-05-23T14:34:16.238Z,St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals at Cincinnati Reds,Great American Ball Park,Chris Paddack,2,Alec Burleson | Iván Herrera,L | R,45,0.82,0.447,13,4,97,89,9,0,65,63,SOLID LEVERAGE,80,CHAOTIC,80,71,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Alec Burleson: 7:79 | 8:78 | 9:78 | 13:75 | 14:75 || Iván Herrera: 7:84 | 8:76 | 13:73 | 18:71 | 12:70
2026-05-23T14:34:16.242Z,Chicago White Sox,San Francisco Giants,Chicago White Sox at San Francisco Giants,Oracle Park,Adrian Houser,2,Munetaka Murakami | Miguel Vargas,L | R,49,0.894,0.517,28,8,87,77,5,0,65,62,SOLID LEVERAGE,94,NUCLEAR,71,71,ATTACK STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Munetaka Murakami: 7:84 | 8:83 | 9:83 | 13:80 | 14:80 || Miguel Vargas: 7:85 | 8:77 | 13:74 | 18:72 | 12:71
2026-05-23T14:34:16.238Z,Houston Astros,Chicago Cubs,Houston Astros at Chicago Cubs,Wrigley Field,Colin Rea,2,Yordan Alvarez | Christian Walker,L | R,51,0.912,0.541,26,4,71,69,5,5.6,62,60,SOLID LEVERAGE,87,CHAOTIC,72,69,LIVE STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Yordan Alvarez: 7:81 | 8:80 | 9:80 | 13:77 | 14:77 || Christian Walker: 7:80 | 8:72 | 13:69 | 18:67 | 12:66
2026-05-23T14:34:16.242Z,Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals at Cincinnati Reds,Great American Ball Park,Kyle Leahy,3,JJ Bleday | Elly De La Cruz | Sal Stewart,L | S | R,49.33,0.925,0.555,29,2,71,73,9,0,57,59,LIGHT LEVERAGE,94,NUCLEAR,71,68,LIVE STACK,MIXED DAMAGE LANE,BALANCED SPRAY,JJ Bleday: 7:72 | 8:71 | 9:71 | 13:68 | 14:68 || Elly De La Cruz: 8:78 | 13:75 | 18:73 | 7:72 | 9:64 || Sal Stewart: 7:78 | 8:70 | 13:67 | 18:65 | 12:64
2026-05-23T14:34:16.238Z,Atlanta Braves,Washington Nationals,Washington Nationals at Atlanta Braves,Truist Park,Jake Irvin,2,Michael Harris II | Chadwick Tromp,L | R,45.5,0.988,0.542,11,2,89,86,10,0,61,59,LIGHT LEVERAGE,74,AGGRESSIVE,77,67,LIVE STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Michael Harris II: 7:78 | 8:77 | 9:77 | 13:74 | 14:74 || Chadwick Tromp: 7:81 | 8:73 | 13:70 | 18:68 | 12:67
2026-05-23T14:34:16.238Z,Atlanta Braves,Washington Nationals,Washington Nationals at Atlanta Braves,Truist Park,Jake Irvin,2,Dominic Smith | Chadwick Tromp,L | R,46.5,1.018,0.552,5,1,89,86,10,0,60,59,LIGHT LEVERAGE,67,AGGRESSIVE,77,66,LIVE STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Dominic Smith: 7:76 | 8:75 | 9:75 | 13:72 | 14:72 || Chadwick Tromp: 7:81 | 8:73 | 13:70 | 18:68 | 12:67
2026-05-23T14:34:16.242Z,Chicago White Sox,San Francisco Giants,Chicago White Sox at San Francisco Giants,Oracle Park,Adrian Houser,2,Miguel Vargas | Colson Montgomery,R | L,43,0.826,0.481,24,4,87,77,5,0,57,57,LIGHT LEVERAGE,87,CHAOTIC,68,65,LIVE STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Miguel Vargas: 7:85 | 8:77 | 13:74 | 18:72 | 12:71 || Colson Montgomery: 7:79 | 8:78 | 9:78 | 13:75 | 14:75
2026-05-23T14:34:16.242Z,New York Yankees,Tampa Bay Rays,Tampa Bay Rays at New York Yankees,Yankee Stadium,Drew Rasmussen,2,Ben Rice | Aaron Judge,L | R,47.5,0.969,0.589,32,1,62,63,5,8.4,56,54,LIGHT LEVERAGE,89,CHAOTIC,70,65,LIVE STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Ben Rice: 7:75 | 8:74 | 9:74 | 13:71 | 14:71 || Aaron Judge: 7:78 | 8:70 | 13:67 | 18:65 | 12:64
2026-05-23T14:34:16.242Z,Washington Nationals,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,Grant Holmes,2,CJ Abrams | James Wood,L | L,47.5,0.927,0.536,24,0,62,69,10,0,58,56,LIGHT LEVERAGE,81,CHAOTIC,66,64,LIVE STACK,SAME SIDE POWER LANE,L SIDE CLUSTER,CJ Abrams: 7:73 | 8:72 | 9:72 | 13:69 | 14:69 || James Wood: 7:73 | 8:72 | 9:72 | 13:69 | 14:69
2026-05-23T14:34:16.242Z,Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals at Cincinnati Reds,Great American Ball Park,Kyle Leahy,2,JJ Bleday | Elly De La Cruz,L | S,52,0.96,0.581,17,1,71,73,9,0,57,56,LIGHT LEVERAGE,75,AGGRESSIVE,68,63,LIVE STACK,MIXED DAMAGE LANE,BALANCED SPRAY,JJ Bleday: 7:72 | 8:71 | 9:71 | 13:68 | 14:68 || Elly De La Cruz: 8:78 | 13:75 | 18:73 | 7:72 | 9:64
2026-05-23T14:34:16.242Z,Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals at Cincinnati Reds,Great American Ball Park,Kyle Leahy,2,Elly De La Cruz | Sal Stewart,S | R,46,0.869,0.514,23,2,71,73,9,0,56,54,LIGHT LEVERAGE,82,CHAOTIC,67,63,LIVE STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Elly De La Cruz: 8:78 | 13:75 | 18:73 | 7:72 | 9:64 || Sal Stewart: 7:78 | 8:70 | 13:67 | 18:65 | 12:64
2026-05-23T14:34:16.242Z,Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals at Cincinnati Reds,Great American Ball Park,Kyle Leahy,2,JJ Bleday | Sal Stewart,L | R,50,0.947,0.57,18,1,71,73,9,0,56,55,LIGHT LEVERAGE,76,AGGRESSIVE,67,62,LIVE STACK,MIXED DAMAGE LANE,BALANCED SPRAY,JJ Bleday: 7:72 | 8:71 | 9:71 | 13:68 | 14:68 || Sal Stewart: 7:78 | 8:70 | 13:67 | 18:65 | 12:64
2026-05-23T14:34:16.242Z,Milwaukee Brewers,Los Angeles Dodgers,Los Angeles Dodgers at Milwaukee Brewers,American Family Field,Roki Sasaki,2,Brice Turang | Jake Bauers,L | L,46,0.873,0.489,14,1,89,69,0,0,54,57,LIGHT LEVERAGE,73,AGGRESSIVE,60,60,LIVE STACK,SAME SIDE POWER LANE,L SIDE CLUSTER,Brice Turang: 7:78 | 8:77 | 9:77 | 13:74 | 14:74 || Jake Bauers: 7:77 | 8:76 | 9:76 | 13:73 | 14:73
2026-05-23T14:34:16.244Z,Milwaukee Brewers,Los Angeles Dodgers,Los Angeles Dodgers at Milwaukee Brewers,American Family Field,Roki Sasaki,3,Brice Turang | Jake Bauers | Andrew Vaughn,L | L | R,45,0.902,0.497,15,2,89,69,0,0,49,58,LIGHT LEVERAGE,77,AGGRESSIVE,61,59,WATCH STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Brice Turang: 7:78 | 8:77 | 9:77 | 13:74 | 14:74 || Jake Bauers: 7:77 | 8:76 | 9:76 | 13:73 | 14:73 || Andrew Vaughn: 7:81 | 8:73 | 13:70 | 18:68 | 12:67
2026-05-23T14:34:16.242Z,Milwaukee Brewers,Los Angeles Dodgers,Los Angeles Dodgers at Milwaukee Brewers,American Family Field,Roki Sasaki,2,Brice Turang | Andrew Vaughn,L | R,45,0.927,0.499,8,2,89,69,0,0,49,55,LIGHT LEVERAGE,64,STABLE,58,56,WATCH STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Brice Turang: 7:78 | 8:77 | 9:77 | 13:74 | 14:74 || Andrew Vaughn: 7:81 | 8:73 | 13:70 | 18:68 | 12:67
2026-05-23T14:34:16.244Z,Milwaukee Brewers,Los Angeles Dodgers,Los Angeles Dodgers at Milwaukee Brewers,American Family Field,Roki Sasaki,2,Jake Bauers | Andrew Vaughn,L | R,44,0.905,0.503,8,1,89,69,0,0,47,54,LIGHT LEVERAGE,63,STABLE,57,54,WATCH STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Jake Bauers: 7:77 | 8:76 | 9:76 | 13:73 | 14:73 || Andrew Vaughn: 7:81 | 8:73 | 13:70 | 18:68 | 12:67
2026-05-23T14:34:16.244Z,Athletics,San Diego Padres,Athletics at San Diego Padres,Petco Park,Lucas Giolito,2,Shea Langeliers | Carlos Cortes,R | L,45.5,0.953,0.549,16,0,63,51,0,-3.5,36,41,CHALKY,61,STABLE,39,42,THIN STACK,MIXED DAMAGE LANE,BALANCED SPRAY,Shea Langeliers: 7:68 | 8:60 | 13:57 | 18:55 | 12:54 || Carlos Cortes: 7:56 | 8:55 | 9:55 | 13:52 | 14:52
