rank,player,team,game,pitcher,odds,consensus_score,composite_sim_score,correlation_score,matchup_score,pitcher_splits_score,per_pitch_score,weather_environment_score,market_score,estimated_plate_appearances,raw_hr_probability,adjusted_hr_probability,no_hr_probability,two_plus_hr_probability,market_implied_probability,model_fair_odds,ev_percent,edge_vs_market,book_tax_estimate,probability_tier,value_label,betting_tier,consensus_decision,consensus_confidence
157,Nick Fortes,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,1100,38.48,43.62,40.63,39.80,41.80,56.80,47.10,48.00,3.93,3.35%,3.95%,96.05%,0.065%,8.33%,2434,-52.65%,-4.39%,4.39%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
158,Jung Hoo Lee,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1080,37.83,43.29,39.94,33.00,38.00,61.30,55.60,52.00,3.93,3.29%,3.91%,96.09%,0.064%,8.47%,2456,-53.83%,-4.56%,4.56%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
159,Jesus Rodriguez,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1220,38.57,43.52,38.82,36.70,40.40,55.90,55.60,52.00,3.93,3.33%,3.84%,96.16%,0.062%,7.58%,2504,-49.31%,-3.74%,3.74%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
160,Freddy Fermin,San Diego Padres,San Diego Padres @ Milwaukee Brewers,Jacob Misiorowski,1050,36.82,41.96,40.39,37.70,39.40,54.00,47.80,48.00,3.93,3.07%,3.74%,96.26%,0.059%,8.70%,2573,-56.98%,-4.95%,4.95%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
161,Cedric Mullins,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,980,36.19,41.52,41.02,36.10,38.20,55.20,47.10,48.00,3.93,2.99%,3.74%,96.26%,0.059%,9.26%,2572,-59.58%,-5.52%,5.52%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
162,Taylor Walls,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,1300,37.57,42.68,38.78,37.80,41.10,56.00,47.10,48.00,3.93,3.19%,3.66%,96.34%,0.056%,7.14%,2631,-48.73%,-3.48%,3.48%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
163,Zach McKinstry,Detroit Tigers,Detroit Tigers @ New York Mets,Christian Scott,1260,37.62,42.38,39.90,38.70,40.20,48.30,53.70,54.00,3.93,3.14%,3.64%,96.36%,0.056%,7.35%,2645,-50.46%,-3.71%,3.71%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
164,Ben Williamson,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,1300,37.20,42.36,39.31,37.50,40.00,56.00,47.10,48.00,3.93,3.13%,3.61%,96.39%,0.055%,7.14%,2667,-49.40%,-3.53%,3.53%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
165,Jonny DeLuca,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,990,35.55,40.69,41.17,37.00,37.40,51.30,47.10,48.00,3.93,2.85%,3.61%,96.39%,0.055%,9.17%,2672,-60.67%,-5.57%,5.57%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
166,Luis Arraez,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1500,37.62,42.66,37.27,33.80,40.00,56.00,55.60,52.00,3.93,3.18%,3.55%,96.45%,0.053%,6.25%,2715,-43.17%,-2.70%,2.70%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
167,Ryan Vilade,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Dylan Cease,1060,35.76,40.77,40.51,37.50,38.70,49.80,47.10,48.00,3.93,2.86%,3.55%,96.45%,0.053%,8.62%,2714,-58.77%,-5.07%,5.07%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
168,Austin Martin,Minnesota Twins,Miami Marlins @ Minnesota Twins,Max Meyer,1800,37.97,43.19,37.29,34.30,40.40,59.40,53.90,50.00,3.93,3.27%,3.51%,96.49%,0.052%,5.26%,2746,-33.25%,-1.75%,1.75%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
169,David Hamilton,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Michael King,1600,37.45,42.54,39.00,37.30,42.40,54.00,47.80,48.00,3.93,3.16%,3.49%,96.51%,0.051%,5.88%,2765,-40.67%,-2.39%,2.39%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
170,Luke Keaschall,Minnesota Twins,Miami Marlins @ Minnesota Twins,Max Meyer,1360,36.31,41.55,38.43,33.00,37.90,55.80,53.90,50.00,3.93,3.00%,3.46%,96.54%,0.050%,6.85%,2792,-49.51%,-3.39%,3.39%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
171,Sal Frelick,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,Michael King,2000,37.19,42.16,37.97,37.30,42.30,52.70,47.80,48.00,3.93,3.10%,3.30%,96.70%,0.046%,4.76%,2931,-30.72%,-1.46%,1.46%,THIN_PROBABILITY,OVERPRICED,PASS_OVERPRICED,FADE,LOW
