rank,player,team,game,pitcher,odds,consensus_score,composite_sim_score,correlation_score,matchup_score,pitcher_splits_score,per_pitch_score,weather_environment_score,market_score,estimated_plate_appearances,raw_hr_probability,adjusted_hr_probability,no_hr_probability,two_plus_hr_probability,market_implied_probability,model_fair_odds,ev_percent,edge_vs_market,book_tax_estimate,probability_tier,value_label,betting_tier,consensus_decision,consensus_confidence
48,Max Muncy,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,320,69.93,68.08,48.54,63.40,68.50,83.90,55.60,63.00,4.05,13.34%,15.85%,84.15%,1.056%,23.81%,531,-33.42%,-7.96%,7.96%,STRONG_PROBABILITY,OVERPRICED,PASS_OVERPRICED,LEANS_PLAYABLE,LOW_MEDIUM
49,Munetaka Murakami,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Seth Lugo,293,68.14,66.32,47.68,64.90,68.90,78.50,51.50,59.00,4.05,12.46%,15.58%,84.42%,1.019%,25.45%,542,-38.79%,-9.87%,9.87%,STRONG_PROBABILITY,OVERPRICED,PASS_OVERPRICED,LEANS_PLAYABLE,LOW_MEDIUM
50,Cal Raleigh,Seattle Mariners,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,310,66.70,64.59,53.13,64.90,67.60,67.20,57.80,59.00,4.05,11.60%,14.67%,85.33%,0.903%,24.39%,582,-39.87%,-9.72%,9.72%,STRONG_PROBABILITY,OVERPRICED,PASS_OVERPRICED,LEANS_PLAYABLE,LOW_MEDIUM
51,Colson Montgomery,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Seth Lugo,350,62.17,61.31,46.70,57.20,61.00,74.80,51.50,59.00,4.05,10.01%,12.94%,87.06%,0.703%,22.22%,673,-41.78%,-9.28%,9.28%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
52,Byron Buxton,Minnesota Twins,Miami Marlins @ Minnesota Twins,Max Meyer,330,62.46,61.46,44.22,54.00,60.10,78.20,53.90,61.00,4.05,9.67%,12.93%,87.07%,0.702%,23.26%,673,-44.39%,-10.32%,10.32%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
53,Seiya Suzuki,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,425,66.94,64.64,52.29,63.20,67.50,66.60,57.60,64.00,4.05,11.22%,12.79%,87.21%,0.687%,19.05%,682,-32.87%,-6.26%,6.26%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,LEANS_PLAYABLE,LOW_MEDIUM
54,Corbin Carroll,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,451,66.00,64.37,51.16,62.40,68.80,72.50,52.20,56.00,4.05,11.09%,12.50%,87.50%,0.656%,18.15%,700,-31.13%,-5.65%,5.65%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,LEANS_PLAYABLE,LOW_MEDIUM
55,Michael Busch,Chicago Cubs,Chicago Cubs @ Atlanta Braves,JR Ritchie,450,65.09,63.77,51.70,62.10,67.80,65.60,57.60,64.00,4.05,10.78%,12.26%,87.74%,0.632%,18.18%,715,-32.55%,-5.92%,5.92%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
56,Zack Gelof,Athletics,St. Louis Cardinals @ Athletics,Matthew Liberatore,450,64.08,62.56,51.62,59.50,62.60,65.80,61.30,66.00,4.05,10.78%,12.26%,87.74%,0.631%,18.18%,716,-32.56%,-5.92%,5.92%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
57,Ketel Marte,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Kumar Rocker,426,63.47,62.76,51.02,61.70,65.70,71.50,52.20,56.00,4.05,10.28%,12.03%,87.97%,0.608%,19.01%,731,-36.74%,-6.98%,6.98%,PLAYABLE_PROBABILITY,OVERPRICED,PASS_OVERPRICED,THIN,LOW
