game,stack_type,stack_size,players,teams,pitcher,payout_profile,avg_correlation_score,avg_environment_score,avg_pitcher_collapse_score,avg_batter_power_score,stack_score,combined_implied_probability,adjusted_probability,correlation_synergy_boost,parlay_score,parlay_grade,confidence,risk_profile,odds
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Xavier Edwards + Heriberto Hernández + Connor Norby,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.66,34.00,81.11,41.27,55.66,0.0207%,0.0296%,42.73%,53.14,C,LOW,HIGH_RISK,Otto Lopez | Xavier Edwards | Heriberto Hernández | Connor Norby
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Kyle Stowers + Liam Hicks + Owen Caissie + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.66,34.00,81.11,41.29,55.66,0.0207%,0.0296%,42.73%,53.14,C,LOW,HIGH_RISK,Kyle Stowers | Liam Hicks | Owen Caissie | Xavier Edwards
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Liam Hicks + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.70,34.00,80.59,41.80,55.65,1.4400%,2.0538%,42.62%,53.14,C,LOW,HIGH_RISK,Liam Hicks | Xavier Edwards
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Owen Caissie + Christopher Morel,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.59,34.00,81.63,40.68,55.66,0.0207%,0.0296%,42.82%,53.13,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Owen Caissie | Christopher Morel
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Owen Caissie + Jakob Marsee,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.62,34.00,81.40,40.92,55.66,0.0207%,0.0296%,42.77%,53.13,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Owen Caissie | Jakob Marsee
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Kyle Stowers + Xavier Edwards + Christopher Morel,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.62,34.00,81.39,40.94,55.66,0.0207%,0.0296%,42.77%,53.13,C,LOW,HIGH_RISK,Otto Lopez | Kyle Stowers | Xavier Edwards | Christopher Morel
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,2,Liam Hicks + Owen Caissie,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.64,34.00,81.05,41.28,55.65,1.4400%,2.0550%,42.71%,53.13,C,LOW,HIGH_RISK,Liam Hicks | Owen Caissie
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Kyle Stowers + Liam Hicks + Heriberto Hernández,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.63,34.00,81.12,41.20,55.65,0.1728%,0.2466%,42.72%,53.13,C,LOW,HIGH_RISK,Kyle Stowers | Liam Hicks | Heriberto Hernández
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,3,Kyle Stowers + Owen Caissie + Xavier Edwards,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.63,34.00,81.25,41.08,55.65,0.1728%,0.2467%,42.75%,53.13,C,LOW,HIGH_RISK,Kyle Stowers | Owen Caissie | Xavier Edwards
Miami Marlins @ Minnesota Twins,TEAMMATE_HR_STACK,4,Otto Lopez + Liam Hicks + Owen Caissie + Christopher Morel,Miami Marlins,Simeon Woods Richardson,NO_ODDS,51.60,34.00,81.34,40.94,55.64,0.0207%,0.0296%,42.75%,53.12,C,LOW,HIGH_RISK,Otto Lopez | Liam Hicks | Owen Caissie | Christopher Morel
